milliseconds,E,T
0,1708110.0,8286380.0
100,1708073.3669764062,8277238.493176817
200,1708033.0664872576,8268111.064072393
300,1707988.7133532818,8258999.475921197
400,1707940.165089391,8249904.703226766
500,1707887.3877563518,8240827.193786569
600,1707830.3830915438,8231767.706365987
700,1707769.1541931895,8222726.123741352
800,1707703.7096123304,8213702.717988487
900,1707634.0587520297,8204698.324219879
1000,1707560.1964669696,8195712.485465374
1100,1707482.152437386,8186746.446465024
1200,1707399.9181243656,8177799.849110887
1300,1707313.5152080476,8168873.373900775
1400,1707222.976182677,8159968.068617632
1500,1707128.2862917338,8151083.457434733
1600,1707029.4484449888,8142219.634178172
1700,1706926.4655522122,8133376.692674037
1800,1706819.340523175,8124554.726748417
1900,1706708.1332212694,8115755.329490825
2000,1706592.8345549738,8106978.278801896
2100,1706473.442604193,8098223.541364957
2200,1706349.965656715,8089491.352578555
2300,1706222.4120003271,8080781.94784124
2400,1706090.7958454962,8072095.670199521
2500,1705955.161266436,8063433.4054900035
2600,1705815.4969953087,8054795.033676935
2700,1705671.8145719066,8046180.849265853
2800,1705524.1255360222,8037591.14676229
2900,1705372.4414274488,8029026.220671782
3000,1705216.7840694503,8020486.390185734
3100,1705057.1722457968,8011971.967199126
3200,1704893.6117376343,8003483.232393641
3300,1704726.1157275138,7995020.484218318
3400,1704554.697397987,7986584.021122198
3500,1704379.3699316047,7978174.14155432
3600,1704200.1693112433,7969790.734500585
3700,1704017.098351681,7961434.284601284
3800,1703830.1679728755,7953105.130938587
3900,1703639.391965241,7944803.561045138
4000,1703444.7841191909,7936529.862453588
4100,1703246.3582251393,7928284.322696584
4200,1703044.1280735002,7920067.229306774
4300,1702838.107454687,7911878.869816807
4400,1702628.3101591137,7903719.531759328
4500,1702414.755074651,7895589.400521092
4600,1702197.4957177755,7887487.967580052
4700,1701976.5153511306,7879416.132202644
4800,1701751.829080572,7871374.155561903
4900,1701523.4520119552,7863362.298830859
5000,1701291.3992511362,7855380.823182549
