milliseconds,FeIII,FeII,FeII_O2,FeIII_star,FeII_star,FeII_star_O2,FeIII_NO,FeII_NO,FeIII_t
0,1.0119846249949593,-0.0001776132469423336,-0.00024557020018424117,0.0030909984376636932,5.314119605396004e-05,0.000362553666387665,-0.0012760818361039787,0.013568567345384502,0.9958598864050217
100,0.7704766543597906,0.01649138984091255,0.07757673251021842,0.12843122183960112,0.002428098991522119,0.006340688459374022,0.0030108984351471108,-0.009898475728135733,0.8911690890493681
200,0.606680747478573,0.012888727092532842,0.06570726755202459,0.26104971248630776,0.005160935220103715,0.02041123226153431,0.02547323784539019,-0.0020395092906932955,0.869443412081006
300,0.47712300389732787,0.010008502091355823,0.05346013599137103,0.34407461851202414,0.007013633111292621,0.030014658538869504,0.06132489580411048,0.022310391539735814,0.8312310505592377
400,0.4008176545866313,0.00825697795608273,0.044774898473548486,0.3793514642127975,0.007765157146815138,0.035397955970357005,0.09169080618999818,0.03368433535022167,0.7638402957213596
500,0.3647831792037685,0.007262338930340186,0.03857505041551579,0.3758394536688029,0.007741098470226215,0.0370103352253264,0.10803789941835965,0.07320500308536035,0.7394126880212777
600,0.3203446053615695,0.0070152315826005306,0.034976101439186044,0.36849370782387825,0.007876132409256328,0.03726555101680485,0.12073948512233433,0.0973196608325271,0.7118444268788324
700,0.29467732100768046,0.006259789975685735,0.031608692766312944,0.3618645775477434,0.007629039532014179,0.03719695057635284,0.1258406115207079,0.10361061346223589,0.6725067492231768
800,0.29613285569922476,0.006164033759653807,0.03047327818323143,0.3574050895271537,0.007194805970955916,0.03620090197016416,0.12617601014935276,0.16774626484108845,0.6307222821171842
900,0.29944595174991884,0.006002419074556015,0.030271641005238818,0.3453248174119335,0.00686641110155299,0.03411650137519408,0.11972359987464747,0.1576548943275077,0.6082350339221811
1000,0.26731457717879303,0.005933121795287698,0.029112220091489054,0.32953114560163727,0.0066576998961969175,0.03349058302054025,0.11634863012231411,0.18831808725632082,0.6176561970295797
1100,0.2516897263713734,0.005746355510539053,0.026251570167960033,0.30975084281771814,0.006408697432587455,0.03230137033443948,0.1152766588375843,0.22661595449831354,0.5736924083545801
1200,0.25617654922420546,0.0056144258312545966,0.02634574014270619,0.2981604040614097,0.006235827841778476,0.030863931970668005,0.1092067953641118,0.25435229419485494,0.5714452813500578
1300,0.24417087807606283,0.00540241972893176,0.025957917228570753,0.3006281990929748,0.005988437236338032,0.02947052328857061,0.10945860384680971,0.2787399290698046,0.5467432484679173
1400,0.24896743634287505,0.005139171645914893,0.02382392151165932,0.2892324279200788,0.006026541918935663,0.02938512096335812,0.10364948505857122,0.28422823171921496,0.5338418489066674
1500,0.22374756620712358,0.00514508583655884,0.024694029454385064,0.277480416763458,0.005733959221972793,0.027618967611880058,0.09838979350965328,0.3394517120447333,0.4996851843455965
1600,0.22260652627149358,0.004873784278425088,0.023966741448386755,0.2666633686752132,0.005415455722407549,0.0273528290602488,0.09620756530121251,0.3377661183734204,0.49812979468171487
1700,0.21677370595222975,0.004692110756921097,0.022613256696981082,0.2513062577231257,0.005361915701940856,0.025975536254368825,0.0949572421005116,0.36863382900165304,0.47812610110965836
1800,0.2206673875228627,0.004643176258466235,0.02362894907177235,0.2511672025467682,0.00513118863500329,0.025242075175944727,0.08974862968325434,0.3837025083257301,0.47890868262746783
1900,0.22598894220553864,0.004301944564248516,0.02104805999381303,0.24779572808439732,0.004980727490154505,0.025233612565398536,0.08725402971196321,0.3919773920763443,0.45171424222659934
2000,0.20501082002111995,0.004312628760984931,0.021461998222100376,0.23553552169228142,0.00482856751520414,0.023515219514162973,0.08345199783451845,0.3932236166375978,0.43429996908408836
2100,0.20115170107584873,0.0040943811690626625,0.021896284777698154,0.23901962290443654,0.004714853204178653,0.02410093938942217,0.08385956177366938,0.4088930274915157,0.45153748196232646
2200,0.2153472111609519,0.004009640199551956,0.019944475232134815,0.22910954865409808,0.004525519387592487,0.02284317860839748,0.08124838918353672,0.43470547314344943,0.41314882040512135
2300,0.19808337832964645,0.0042662811068126145,0.021174109076163187,0.22496539056761325,0.004650083639689879,0.0223637766583555,0.07689480285688158,0.43927548240198155,0.4195502819776259
2400,0.18858015367320738,0.004254873363142813,0.020646466764786577,0.2115021877933713,0.004357535838167397,0.021998723957136115,0.07884639670777374,0.46486661615801983,0.4055156744365936
2500,0.19574320879052087,0.004070005590375639,0.019096267045215085,0.21031782138935556,0.004503297976897425,0.021652617345488755,0.0771707071321818,0.48963204163570284,0.3864698857249967
2600,0.1847291360969712,0.004060497503289689,0.018328721615580502,0.21212932618324337,0.0041707714129095045,0.021152786608645367,0.07434414113092876,0.47725552928689313,0.38634111353074324
2700,0.19255732542461143,0.0036185555091516964,0.01823738944293187,0.19490692365289547,0.0043145354923223855,0.02063409733508577,0.07033073939308575,0.49606491660177804,0.402921321929392
2800,0.1975051608532774,0.003636419391194207,0.018336976073974793,0.20207680480900828,0.0040998166497936426,0.0205168087513894,0.07261949737991828,0.5102091646583969,0.3682135864322691
2900,0.17372862705385733,0.0038453768763746076,0.017444627624974913,0.20114549343661664,0.0039632930815788675,0.01970089089886559,0.06921630486567155,0.5310185995575735,0.3610375351920401
3000,0.1876793344508932,0.0035727590455020214,0.017466662054618606,0.19533781166120429,0.0037876926223177508,0.01858436466671272,0.06657218041350622,0.5120433514360314,0.37209916359829676
3100,0.1754448132041071,0.003501278847964076,0.01706768537085612,0.19056531828950873,0.003742812075428397,0.018400975290493934,0.06382744381137159,0.5353251134942032,0.34355769468396763
3200,0.166823328335009,0.0037524628656141266,0.0170428268075614,0.17901075479643044,0.00396662741535309,0.017803677550582094,0.06334835721684132,0.5237211146979616,0.35441933317250784
3300,0.18397580406391525,0.0036545350370998887,0.017540938328084163,0.1848844015321186,0.0038072535076044095,0.01763337748329686,0.06516893887874742,0.5259314223664847,0.3516668004126223
3400,0.15206481653306358,0.0034319921152392704,0.01618101888967743,0.18376500742498078,0.0036101194365808563,0.017303271380917102,0.06148597373877101,0.5352034980537231,0.3312922512965775
3500,0.1717753639040494,0.0031698960267149794,0.017731740717756,0.16976287841633692,0.003748079521721119,0.01724550807636191,0.06157260342766789,0.5728272933585286,0.3284380883395696
3600,0.16581568449905998,0.003304653746149055,0.01706419246083309,0.1699317016186893,0.00348571823335202,0.0170973675113978,0.06160441212699732,0.5726432264207099,0.3442928151229064
3700,0.15882524794138816,0.0034502690828954624,0.016046956839278072,0.16535707076319017,0.003573633585623299,0.01643535708032737,0.058948884164420054,0.5723983080478926,0.3305791710096157
