milliseconds,R,L,E,V
0,100000000.0,1000000.0,0.0,7000000.0
100,100341977.31929071,970137.9968878849,18791.362378160124,5127676.521045169
200,100906120.7465775,940675.8969176463,21092.775510935648,4037241.937263318
300,101693906.16392133,911810.3589773731,20456.043397818452,3295903.9278172106
400,102710869.75117949,883630.3163860161,19441.20541848119,2763536.2905887077
500,103957870.57403138,856182.972876293,18494.17927265388,2372879.368332255
600,105428636.15348701,829492.8334968882,17665.089002269928,2082270.1533167562
700,107110595.68549313,803569.7871028845,16937.53791239937,1863193.468483532
800,108987084.60787293,778413.7814048011,16289.596891568111,1695522.3722197793
900,111039756.65591452,754017.9238914211,15703.454110433904,1564927.2095601442
1000,113250558.74901098,730370.6448036915,15165.844529980779,1461175.8309078163
1100,115603036.78784561,707457.2213726758,14667.044980094579,1376953.521528391
1200,118083015.69111864,685260.8651977736,14199.903172146482,1307022.4639141492
1300,120678763.44098164,663763.4833916364,13759.130889129216,1247632.6228479296
1400,123380911.58755974,642946.2288217542,13340.789382526587,1196092.9422931315
1500,126182168.33423445,622789.890416868,12941.912529540556,1150468.4493693686
1600,129076999.96233377,603275.1663363681,12560.240590580212,1109365.270031623
1700,132061310.38740927,584382.8589996772,12194.029287845608,1071775.8096581427
1800,135132146.28904903,566094.0101515457,11841.911444093594,1036969.2914022637
1900,138287454.67399916,548389.9935825331,11502.797739754395,1004413.5275749466
2000,141525872.48829746,531252.5799324703,11175.803879304121,973717.8208130789
2100,144846572.57470903,514663.97723945323,10860.195949114908,944592.9233816288
2200,148249113.00738698,498606.8551445763,10555.358391238291,916824.1525718216
2300,151733357.5970911,483064.359130728,10260.759895572179,890249.9735860397
2400,155299400.74941987,468020.11666216585,9975.933039855589,864746.6585914105
2500,158947491.17837766,453458.23809026205,9700.464330211706,840218.1232368981
2600,162677985.6641124,439363.3121506839,9433.979265415262,816588.6225227971
2700,166491321.09607396,425720.3983325594,9176.133574327443,793797.3717578303
2800,170387985.27361646,412515.0186025206,8926.608552855681,771794.2119520298
2900,174368492.79634225,399733.14743385685,8685.106116386112,750536.686770006
3000,178433370.07641837,387361.20017862855,8451.34537712778,729988.3316086322
3100,182583140.09974536,375386.0214930017,8225.060945968811,710117.3412485512
3200,186818313.07833794,363794.8733379927,8006.000582937296,690895.570562585
3300,191139378.22979474,352575.42299653933,7793.923489309473,672297.6747067273
3400,195546799.61018607,341715.7313873943,7588.598769853298,654300.439716132
3500,200041008.35273594,331204.2413185852,7389.804708006392,636882.1753973033
3600,204622397.8549469,321029.7656519401,7197.327239000377,620022.2443575684
3700,209291322.98301074,311181.47592005687,7010.962016587248,603701.6782157138
3800,214048087.35668668,301648.89003374125,6830.507371923144,587900.6144570987
3900,218892964.26668087,292421.86240985204,6655.773626942851,572602.2264020904
4000,223826175.38082108,283490.5735738014,6486.576647168581,557789.8823925321
4100,228847897.41846246,274845.51947961655,6322.740414701582,543448.3857117495
4200,233958248.41117996,266477.50269047957,6164.093536225037,529562.4264524125
4300,239157302.51015168,258377.6211279429,6010.469172315468,516117.28233073355
4400,244445078.03843266,250537.25908766323,5861.705433832702,503098.3592899437
4500,249821539.68938506,242948.07821685492,5717.647990798898,490491.7902488089
4600,255286594.33855242,235602.00907893054,5578.147940368005,478284.2964113779
4700,260840093.425389,228491.24185878236,5443.061860049702,466463.2004827252
4800,266481835.07053286,221608.218664436,5312.249315072064,455016.3319430265
4900,272211566.1825196,214945.62498372197,5185.574356457616,443931.8051135395
5000,278028980.0479877,208496.38185259496,5062.905276606521,433198.11425988167
