miliseconds,mwf626e95e_543f_41e4_aad4_c6bf60ab345b,mwbbbce920_e8dd_4320_9386_fc94bfb2fc99,mw810ff751_fa4e_4143_bd50_169b3e325e1e,mw114aa90f_5f5b_4fe8_9406_361c8489b6a1,mw30ae63db_6cd3_4b6f_93ad_3350cd360bcc,mw03db56ac_8dc6_4931_ae82_fef706d2ee3d,mwf345ed7a_0622_403c_b816_c8749a2c9ded,mw1da111f2_a036_4392_8512_015005bdcbb7,mwa2d8dd1c_bb9a_4552_8738_e24671651c1d,mw80848184_e2dd_47ce_86d7_7a21479342bd,mwd2d9d93a_3bd1_4f17_bac1_baba9ef2d55a,mw4638f126_8cb8_4021_ab41_6ae195743ba0,mw10315fa3_6f13_4618_bda8_a8694bd3c374,mw0adf3eb4_a196_4c48_b10d_4e9e9faaf9e1,mw7d86cc23_a1af_44c3_bdb9_71e9b1bb2a83,mw0eb6c959_d408_45a0_a450_928b8c5876bb,mw42054cd7_17af_46da_970c_7f99151906ad,mw39c2e431_fdc3_4964_be29_6ca856620b1b,mw2e464cf3_a09c_4b7c_9f3c_06720016a48e,mw36ea78c1_ed71_4def_96d3_857a442d7195,mw147d30ec_478e_4090_b496_128a131d29eb,mwab41493c_6349_45f1_a226_3030cfed0e06,mw1d9426a3_e1e9_49e0_ad77_eb6833be398a,mwf405687b_7401_44ec_a0d6_4a2b35c13e8a,mw3667a5e1_02c9_44a0_acb4_b0431faa822d,mw7becb5fe_8da8_4285_a821_0d77ad811b62,mw8c9107e6_f51d_442d_b2dc_2bfdbb8482ca,mw824bc3d4_1ac3_4912_9b51_8f14ff1c96b9,mw6cce2109_0e32_4dd9_98ec_41173e8ef07d,mw2b255f94_8018_4b99_bde8_918eeac45446,mw48867e93_f170_44e8_ac7a_185b23e1bf3b,mwd31f52cc_04e7_40e0_885f_c7b2d9e62215,mw2c9b0499_3325_4394_8af3_bbf653a944a0,mwd65b5b39_dc1b_4e77_a999_67277a880e5e,mw6335d5d7_c7b0_4bc0_b883_f7ee4915c2c3,mwf7796221_1fea_4274_a93e_c00adbf5778c,mw5d764bb8_5693_4ac8_9557_f65992cc5eb0,mw2f3d48e0_c9c4_4a0e_aca3_9241eb573296,mwbc2f5464_81e5_43fd_8b39_f5a2756af72f
0,4.8026885128963136e-05,3.899998661470026,0.0015820346862579298,40.19604547378319,1.05563193346779,1.9836472091148733e-05,-0.7336150993560138,-3.178482579980692e-05,-1.154794699126149e-26,0.4377817208957125,1.3767301115230021e-06,1.7500111539572143e-05,0.43876862718565857,5.853706002504757e-05,8.787655784247509e-07,0.01596240684535908,9.069202895310452,0.9308109114981173,1.5106385731238279,74.10382690784093,5.58113899260788,0.0020910763199384567,-1.4182869791955382e-27,2.4771602267139307e-06,0.12585215536075703,2.3827171278337353e-05,0.4374703778884704,1.7904361285219633e-06,0.02079481633224272,8.769920565964128,1.2300800020456748,1.5101723828872122,0.0007427855930214737,5.580756916376295,0.0024667682008200414,-0.0354556180221115,8.429181636477324e-05,-2.426470216953277e-27,-0.004971918816159056
100,4.831264569552415e-05,3.899999907088332,0.0015828518320418574,40.1960564817351,1.0556377629273928,1.9834325336609466e-05,233.8738141997284,6.333745184311575e-05,-1.153609084376422e-26,0.43778029554303477,1.3776086147705148e-06,1.7459183986774228e-05,0.4387683843361565,5.9035210032440346e-05,8.871521099474111e-07,0.01596002605837057,9.069171508489744,0.9308293164736607,1.5106377353667442,74.10386779187908,5.581137610207448,0.0020911517107683403,-1.4271963918750391e-27,8.506258341378708e-07,0.13633842163490062,2.3745993664156135e-05,0.4374669246653093,1.7946939323555213e-06,0.020787917307900895,8.769850991837798,1.2301607020691308,1.510170355327857,0.0007467011294187205,5.580745977703375,0.0024658471389469466,-0.06278140955894479,-1.572712121798865e-05,-2.4330893052592968e-27,-0.005259213343538906
200,1.5659576947558334e-07,3.900002582923991,0.00158465862845442,40.19610201121902,1.055636760361158,1.9561782832366752e-05,234.94483710339563,0.00012305877226417904,-1.1485765192256872e-26,0.4377812924099515,1.3351471495415386e-06,1.7243628500001372e-05,0.43876909849028695,7.09190019945869e-07,3.8166512186356924e-07,0.01595955809440409,9.069191542158984,0.930803185451446,1.5106411900503731,74.10376283935094,5.581141186180993,0.002094073048704905,-1.4472140569247402e-27,5.738575389605027e-05,0.2933266350797218,2.025977211215883e-05,0.43747094363328837,1.592890928252697e-06,0.020793386476982437,8.769876437366902,1.230124327605683,1.5101964096738514,1.8471209423974784e-05,5.580772589173637,0.002444074946409793,0.3015206152009712,0.0007475326660374562,-2.440848029515455e-27,0.010328986531082739
300,3.812567262321078e-07,3.900004553198853,0.0015746845681533206,40.19607624909293,1.0556401557382284,1.9537915264481998e-05,233.55881155779275,0.00021940278717226086,-1.1481036253046857e-26,0.4377820211371633,1.3219732187388792e-06,1.718872611160344e-05,0.43877011269646576,2.3261050929253438e-08,1.8817198524807205e-07,0.015960464691090016,9.069172088467365,0.930824041904202,1.5106326134057817,74.10375333344571,5.581142951030979,0.0020934493157462107,-1.4632262408742897e-27,6.139811513008263e-05,1.1268653792782413,1.98637771006621e-05,0.4374740901376667,1.581967311978664e-06,0.020784632948088837,8.769878967529237,1.230158594172209,1.510243734613632,6.144192497828882e-06,5.5808109445364975,0.0024070715132840778,0.6423892413981421,0.0010179037087300897,-2.4470182407195067e-27,0.020870774773428795
400,1.6962430259578362e-07,3.900015560081197,0.0015742843897046744,40.19606899503867,1.055655553354062,1.9487619717086375e-05,233.44860386112984,0.0003370822755415709,-1.1418239857350693e-26,0.43778308892201756,1.3163018083158334e-06,1.7216909285890658e-05,0.43877128728080145,-8.087569763891579e-08,1.3380546421267016e-07,0.015959830890835032,9.069197888296618,0.9308047816202243,1.5106520343077408,74.10391800556019,5.581146312181003,0.0020850593883844416,-1.477215244459797e-27,6.993595958270823e-05,1.6010032589748757,1.968446974883046e-05,0.4374782380898501,1.5616153509706915e-06,0.020784847114082995,8.76984547005792,1.2301364524727847,1.5102797319760475,2.1570018648871017e-06,5.580835776201101,0.002397364550224365,0.632259788310664,0.00112144797718403,-2.454873029275402e-27,0.02188308467761292
500,4.552081879208738e-07,3.900016389075424,0.0015682642850193317,40.19602881273855,1.055655084674422,1.945395770009859e-05,231.3526614282869,0.00048516852721151746,-1.1397865489605792e-26,0.43778527059803307,1.3146673620645527e-06,1.7166358803562573e-05,0.43877198020765634,3.2374927204377644e-07,1.0943733291129624e-07,0.015957083074850647,9.069181022526786,0.9308226697384733,1.5106511575965764,74.10411335590597,5.581152897260237,0.0020784455585118405,-1.504316689677887e-27,7.215009274079617e-05,1.640708449872947,1.9465437298846447e-05,0.43747797319361786,1.5536229314118908e-06,0.020778292027585646,8.769912720992155,1.2301561384655002,1.5103134895795116,3.681878628457592e-06,5.580876065749066,0.0023548056056984295,0.8569525651888267,0.0012558191217470617,-2.4567221076813553e-27,0.03403329730734424
600,3.8974197728780784e-07,3.9000256307117342,0.0015479109916867618,40.19601353735609,1.0556651587897699,1.934412529436936e-05,229.92050701606078,0.000697414574472201,-1.1358663391318077e-26,0.43778686645659926,1.313906941167672e-06,1.7138785395715465e-05,0.43877271928774075,5.303737251756046e-07,1.0291086175657517e-07,0.01595681005116748,9.06919880829137,0.9308204070883149,1.5106607932366685,74.10406782070986,5.58115550603938,0.002084514857258197,-1.5395507115205183e-27,7.909714365837722e-05,2.312357335396681,1.910189162822029e-05,0.43747989552544697,1.5325354350775321e-06,0.020781005216335458,8.769931421887813,1.230073291594111,1.5103422983711117,9.624876568719836e-06,5.580896689907612,0.002334052789953153,1.3032097874793713,0.0016459157527206896,-2.4670486221918963e-27,0.04269086503342269
700,2.786434193995481e-07,3.9000322368553846,0.001546863098655394,40.19610242157759,1.0556728202736554,1.912619744122402e-05,229.0988116186528,0.0007890142718572127,-1.1334874213945697e-26,0.4377864255344854,1.3117316678806981e-06,1.697179898672013e-05,0.4387732828878889,5.476282348463842e-07,1.1200600286323651e-07,0.01595607297709275,9.069188393886595,0.9308220102038921,1.5106568418936899,74.10377701023857,5.58115514571452,0.002065765776617478,-1.5463857624471566e-27,8.006725746619522e-05,2.9950268951228223,1.899957988731007e-05,0.4374892345688539,1.5235712687904184e-06,0.020775720807750628,8.769911659232804,1.2301134195836627,1.5103839576012459,1.0333693869206242e-05,5.580927336290268,0.0022931920430194373,1.34080841636488,0.0018345617015584179,-2.4721507001423096e-27,0.043480276110071055
800,2.8810199396004453e-07,3.900042610251674,0.0015303198662058118,40.196095651850094,1.0556940095184792,1.9091708331251778e-05,228.37497951130413,0.0008403441235651008,-1.132226200844e-26,0.4377874605030222,1.306243860819589e-06,1.6990672807949173e-05,0.4387742220856143,2.420895232517433e-07,1.0580441444021637e-07,0.015955166019935494,9.069187569911772,0.9307953753895835,1.5106683807034482,74.10397923290255,5.581164543885372,0.0020740575496080837,-1.5657299673776804e-27,8.367979526363248e-05,3.061636756191205,1.8625829922457884e-05,0.4374874714273568,1.5135777673774334e-06,0.020767465374078194,8.769877633342636,1.230068012447912,1.5104134207257904,3.679342881395829e-06,5.580947914795491,0.002284804226566848,1.7693184467773866,0.0017698640959116396,-2.4828570614252588e-27,0.059852573459613166
900,3.3945314577517513e-07,3.900045227528884,0.0015267430218672091,40.19604098462087,1.0557044136105294,1.900817973479754e-05,227.0256596265263,0.0010125018867124,-1.127926259953348e-26,0.437789826105552,1.2998807518697573e-06,1.696894772048755e-05,0.4387747551036961,-4.0069130258175746e-07,9.728738684800694e-08,0.01595529336912582,9.06921539732163,0.930803036079876,1.5106687827315228,74.10383080779755,5.581165741690311,0.0020553117756062804,-1.5964428657878932e-27,9.041985336305722e-05,3.9623089986915714,1.838704082063883e-05,0.43749826934913283,1.496972734559493e-06,0.020762888715244288,8.76990108456637,1.2300836435613092,1.5104303536700945,9.093651448363606e-06,5.580973467854916,0.0022511063195327754,1.8527849243461976,0.0020080524652948484,-2.4813835862693435e-27,0.06180351649779826
