milliseconds,x_Malignant_Cells,y_Lymphocytes
0,5.310281595810674,6.798923796412548
100,2.8879740215162792,9.500956081942663
200,1.224811039529087,10.916283983019934
300,0.45468577213422323,11.37805479894419
400,0.19389986338646106,11.13891796728949
500,0.05497547314167363,10.800469189060385
600,0.018699661424500087,10.252478715202066
700,-0.01252737987424683,9.745157819657203
800,-0.021243351613732902,9.299049160556402
900,-0.009099258672974557,9.079449978310992
1000,-0.029218272672438744,8.53362756040468
1100,0.03533643960180628,8.24643187012383
1200,0.012731568951853225,7.684531275937796
1300,-0.0047953618546827835,7.328308988913522
1400,-0.015659183122770565,7.114628322729042
1500,0.015170335397032055,6.740652203476227
1600,-0.039072686333491397,6.444019788580263
1700,0.03566055406535986,6.138779985954286
1800,0.026927767863921453,6.058018565130448
1900,0.03860231479722958,5.515657330002448
2000,0.02869601059036414,5.504455748372476
2100,0.0224133276213574,5.066205760674371
2200,0.03372713776473667,4.827643322097408
2300,0.018084488006225228,4.584238577450487
2400,0.031123530794949297,4.598478531663825
2500,-0.005735598872928078,4.366574580653027
2600,-0.007889453460001385,4.268995194931415
2700,0.027175999194501053,3.9248617807242243
2800,0.018261293719137043,3.674092769668105
2900,0.010743663163766105,3.552969496268866
3000,-0.032834254753224955,3.5156391666393563
3100,0.01212593688064615,3.230317030545751
3200,0.024725538414809803,3.1877988331644684
3300,0.009654364711438702,2.9044732777992848
3400,-0.02370126553090799,2.9185488659174137
3500,-0.0030019219639550528,2.8810077862165127
3600,0.007275398308945674,2.7673872160395447
3700,0.018352354807464832,2.6419264491004326
3800,0.026274628084212947,2.4738685794392787
3900,0.018514196009177745,2.2605773703920944
4000,0.02549690075302929,2.3828116158003487
4100,0.03832035027871031,2.1971694670976416
4200,0.04182268756924626,1.9946845374454025
4300,0.005320815320625417,2.0897755302125787
4400,0.04193020008715536,2.039498135289556
4500,0.02660567584000396,1.9572110508987106
4600,0.023225695861808716,1.7579363307979476
4700,0.015603774162013723,1.6384562400492413
4800,0.022054954065288734,1.605347930975444
4900,-0.030509661110271914,1.6684730418239293
5000,-0.017192327544125554,1.4704818811855869
