milliseconds,G6P_F6P,FBP
0,3.7167529103205674,0.0006353402897026578
100,3.7189934670322446,0.0006305884822315644
200,3.720608906272254,0.0006299887658350904
300,3.723718156455477,0.0006307783503651252
400,3.724948244835561,0.0006318717960477148
500,3.726742124279792,0.0006334021343434792
600,3.7285589003995274,0.0006341713606104994
700,3.728392060521437,0.0006349469986125261
800,3.7305988581393743,0.0006368948972960156
900,3.733279705610626,0.0006378968596139356
1000,3.7349310186682874,0.0006394396048381968
1100,3.7363769614596967,0.0006390398627274985
1200,3.7379784566435332,0.0006418773024103622
1300,3.7405403056662223,0.0006421526196652837
1400,3.7418593176981343,0.0006440910168500265
1500,3.7440659495345856,0.0006447553965209849
1600,3.7442260599330637,0.0006448734903214572
1700,3.7465838689378317,0.0006467458469186148
1800,3.7493275307613203,0.0006488537592806833
1900,3.7510099601590103,0.0006484821986915073
2000,3.7512432297162386,0.0006507911074338642
2100,3.75378795202423,0.0006515414649531974
2200,3.7553674123838685,0.000653232710525223
2300,3.75783755168668,0.0006534813396483455
2400,3.7583107329721477,0.0006548920823756336
2500,3.759006248313497,0.0006563192206542861
2600,3.7621985988860143,0.0006572575944424829
2700,3.762739868358313,0.0006592600356779509
2800,3.7643055806407166,0.0006604254354597342
2900,3.765891857721301,0.0006615104701481693
3000,3.767521850721554,0.0006624748662376458
3100,3.7692251455785315,0.0006639434770599316
3200,3.77213782223869,0.0006641181556523143
3300,3.7742023271209852,0.0006665314153643328
3400,3.77555960214748,0.0006665894847078096
3500,3.7761410331578062,0.0006674802163404965
3600,3.7791332198747947,0.0006686414632261366
3700,3.781340188453812,0.0006706892965754215
3800,3.781875030646043,0.0006723515381334498
3900,3.782376820689406,0.0006732103278084507
4000,3.784518645391075,0.0006737107643117314
4100,3.7861868066647886,0.0006752208582227417
4200,3.7890106345029584,0.0006761670685116683
4300,3.7900051708543367,0.000678307241978581
4400,3.790573250367093,0.0006791627479790684
4500,3.79338653823459,0.0006803192465599369
4600,3.796241068441098,0.0006820769554539544
4700,3.7956269996176353,0.0006831922553805596
4800,3.797492649361337,0.0006843495351289052
4900,3.798925058906233,0.0006859453966492954
5000,3.802241460807684,0.0006869725865056708
