miliseconds,G6P_F6P,FBP
0,3.7164969183719134,0.0006367757643874675
100,3.717958734480918,0.00062967208792856
200,3.721746077035457,0.0006294706649177575
300,3.7236207644392856,0.0006307919853989071
400,3.7241768587634843,0.0006311589997313008
500,3.726857140609308,0.0006322512423539553
600,3.726822946546821,0.0006340238609099027
700,3.7303284420767913,0.0006356121884969927
800,3.732128197326406,0.0006367038202916233
900,3.73191186252069,0.0006377763415001902
1000,3.7345328463706333,0.000639140689545006
1100,3.7355582484501113,0.0006403457945191399
1200,3.7373579217074977,0.0006403723683682569
1300,3.7390720581527406,0.0006427920162883884
1400,3.7426202941666844,0.0006432288049524025
1500,3.744028039040061,0.0006442562995725676
1600,3.744385105418732,0.0006449786798509738
1700,3.7465672729550414,0.0006475994024732542
1800,3.748085943841761,0.0006477167846860234
1900,3.7510640752194657,0.0006488946520268226
2000,3.751413684714024,0.0006504311111938864
2100,3.752859921394517,0.0006520159737004518
2200,3.7540316872170254,0.0006535203426619639
2300,3.7580365221277834,0.000653994789539814
2400,3.759150281750052,0.000655153345469027
2500,3.7608419883823556,0.000655902236895058
2600,3.7618662335042683,0.0006579855922860708
2700,3.7628073372651416,0.0006591475221946419
2800,3.7643176486807985,0.0006598848324356185
2900,3.7665290380736667,0.0006613802065470831
3000,3.7677696840675123,0.0006623854634722072
3100,3.770403720385897,0.0006626405252396632
3200,3.7721853518693687,0.0006641498600753076
3300,3.773184376595147,0.0006650546161526727
3400,3.7763282821973236,0.000666284012301063
3500,3.777821970086101,0.0006682682984304089
3600,3.778060025412749,0.0006699520822909439
3700,3.7805097554834552,0.0006700507836387445
3800,3.781613960402909,0.0006727092732325382
3900,3.7840819623302124,0.0006725383870982234
4000,3.784283038238018,0.000674713308884739
4100,3.788026255056921,0.0006760394693579713
4200,3.7875337715768485,0.0006762721866784561
4300,3.791242700334038,0.0006785021361903112
4400,3.7928630647133983,0.0006782411323217695
4500,3.7937129415521045,0.0006801072680605441
4600,3.794691286983415,0.0006819191095363028
4700,3.796902248482575,0.000682972369228432
4800,3.797857113244858,0.0006835325359692498
4900,3.7992472574003946,0.0006852901896781064
5000,3.802512095580883,0.0006867233585177277
