miliseconds,IFNBm,IFNBenv,STATP2n,SOCSm,IRF7m,IRF7Pn,IFNam,IFNaenv,TNFam,TFNenv,STATm,STAT
0,1.0052935453225902,0.9999968079316482,0.9963253085629286,1.011809074667234,0.9868157983822741,6.541728895258266,0.5307571060848516,0.9999977981304453,0.9986457316926411,1.0000058456823537,0.9972740091364083,1.7405759767763629
100,0.9642323405930209,1.0000039436309829,0.8929837309101734,0.8545883974380265,0.931070372331779,37.24716369510975,-2.920913532455378,1.0000068908233075,0.9645448307824044,1.0000212336877032,0.9262947574902538,34.71395167340519
200,0.9446763263055077,1.0000152438228886,0.7761630185591211,0.7426681278975815,0.8589310846797856,74.07835861380582,0.10124225931795028,1.000012982391083,0.9443099535108017,1.0000298424514642,0.8719717018345657,71.04580669288391
300,0.9277794750956481,1.0000171224517826,0.6949782166370498,0.6300163082135817,0.8182541522091366,104.56218268988745,6.365609385221785,1.000021816720837,0.9109613711157631,1.000034274334367,0.8146972109263279,99.61860731325093
400,0.8886741686306247,1.0000262320605158,0.6156121320261293,0.5461206804251698,0.7482066284711864,132.11388669913535,7.180035267019321,1.0000262928407821,0.8653288823648289,1.0000530304995756,0.7542918009806401,127.23608932815068
500,0.8759402194408543,1.0000272846824927,0.5480099044997813,0.4809748994340145,0.7065350858845377,159.6273175360323,16.45492758993948,1.0000270130335287,0.8378087045447121,1.0000725999807962,0.7099931982195478,153.3367644855988
600,0.8537732943625926,1.000031984692243,0.4779558395878398,0.4150465740648975,0.6480201172944782,183.45959577785368,18.1721037454395,1.000033776431978,0.8097321848282318,1.0000837511345235,0.6760146075548689,181.6435420538401
700,0.8316020985971211,1.0000425906120596,0.4130335884561582,0.34340007934575406,0.6079797223384196,202.48308165288205,26.724547382901534,1.00004386962236,0.7960398282008865,1.0000906301707717,0.623539400099372,198.79011937515443
800,0.8040786878786418,1.00004497389685,0.37904049022590064,0.2966500124280893,0.5644550160552397,221.92928869508648,27.32887918760632,1.000052416852311,0.7536407181198078,1.0001157844357638,0.5782947978114005,223.9069353501427
900,0.7813339588975745,1.0000572599154949,0.33316169255119854,0.2570160115093454,0.5428272205441019,240.3663726885915,36.77687924125188,1.000058305396828,0.7213423460684888,1.0001271587495675,0.5488724506356343,236.29277943657792
1000,0.7647226684188846,1.0000601346916618,0.30090576554769966,0.2282443847818389,0.4885609881191937,261.7281114117424,48.13265284962187,1.000058923350167,0.7048188837906858,1.000130063911651,0.5114288068127243,261.6979537381437
1100,0.752160602102495,1.0000656422794765,0.24687888288657958,0.19690101072602,0.45636459166580995,276.34969515376326,53.34599790519667,1.0000673904809034,0.6959091634452399,1.000142713967248,0.4702617018647624,267.8434001122466
1200,0.7162270202852284,1.0000702681166114,0.2380904364968997,0.17037941515950045,0.44826005582667594,289.24915344669296,66.25791790457497,1.0000698413115345,0.6493391624718051,1.0001653749910098,0.4321263337828282,284.4745419007331
1300,0.6982169250891544,1.0000740525862848,0.2020962375619474,0.14524519996975016,0.39309827652097723,315.76605567246037,76.14303432252453,1.000074314097213,0.6333843961346812,1.0001690406086365,0.4016381685689321,300.0769380725043
1400,0.6931352695198202,1.0000823407456911,0.16588777833714857,0.126480375711869,0.3787955295397165,320.3248518443597,81.24886122473481,1.0000868803460474,0.6097345666362061,1.0002000868378598,0.3797403375225066,311.90776623386716
1500,0.6657338415278741,1.0000901728099991,0.16749352947681034,0.09450165600100532,0.3587180079123141,331.6183033102717,85.58843207098253,1.0000882070471244,0.5870163247241043,1.000203527417879,0.35051175039986554,322.5615963893623
1600,0.6465601758993281,1.0000993507827698,0.1496682113835195,0.09741905336954522,0.3275098086032161,348.70528613577324,100.97042912724599,1.0000948379295294,0.5820112999838584,1.0002194064893706,0.3425395647957462,339.08665038232954
1700,0.6387941071999622,1.0000991849040546,0.13295392643010823,0.07831430581015662,0.31620603199682357,361.5299376852205,104.59171429414921,1.0001007237369905,0.5650422336704825,1.0002366796585858,0.3130215153575494,345.31874795358164
1800,0.6194947076352932,1.0001056715188337,0.10050678401011105,0.06109068329591883,0.2983042555097553,367.2193624948673,120.99720812605011,1.000104607520334,0.5285529224575848,1.0002420040745914,0.2976774097386928,351.360875922753
1900,0.6067327924007712,1.0001148471434218,0.08890751340882994,0.053916498549945055,0.2776983054842517,377.22185687354846,123.81443709013142,1.0001167564691416,0.508319675355489,1.0002629897289668,0.263081315024106,370.3276524160066
2000,0.5928817072892908,1.0001238368736827,0.09103710720190983,0.04817120648206302,0.2592272116391877,395.0226787187689,130.78552447082797,1.0001242730732733,0.5124061653450842,1.000280606406062,0.2640726373476556,376.6219208032144
2100,0.5751114383401121,1.0001272236469145,0.07454811423131885,0.05082389770950968,0.23159287282760865,397.7606255549832,139.43573658981094,1.0001247934638045,0.4804708514182681,1.0002888090399937,0.2296015424933064,378.31200708408016
2200,0.5652498195627912,1.000127987077274,0.065358040933131,0.03987094972920139,0.23025992379609467,406.66206914271555,158.9994998005922,1.0001324049001523,0.462743013084976,1.0003005183234597,0.21006023447413724,385.36930335159843
2300,0.5524786159674584,1.0001419221073402,0.05377659107651815,0.024365953425637996,0.20956472820102257,409.5716350279696,168.9231527040257,1.000139362242154,0.4415801185671728,1.0003108178567954,0.21592346685192762,395.89980644474
