miliseconds,Ca_Cyt,IP3_Cyt,Ca_ER,S2a,S4,Oc,O_o,S2,Orai1,h
0,0.00022027835091127882,-0.0007344031290588674,-0.007609452991008315,0.059664350482832224,-0.0033884883336141036,-2.3094119807883112e-06,3.2869362793836686e-07,0.540655223225125,0.0009955500872966105,-0.008607337191271342
100,-0.0005159844594598189,-0.0004948470906432726,-0.012379698989767113,0.17450692286624808,0.023709532260609928,1.4737674299032612e-05,2.974503133968922e-07,0.4273021690127991,0.0009261742863195559,0.024977080221534647
200,0.0004951422923748616,0.0003362272948951755,0.0093917806387415,0.21448197002434732,0.04304063084026207,3.06280571339599e-05,5.675233700291241e-07,0.3833124487443259,0.0008538532024220085,0.0374445921421542
300,0.001296072995487577,0.0020389246692228864,-0.02005529385620328,0.23113618298317318,0.06267018739752148,4.7828710316108846e-05,1.8268366882811456e-06,0.3695495067114968,0.0007939714858022029,0.05093648598692639
400,0.0020225851178440916,-0.002671830549331455,0.0020473310644454584,0.23673132446397732,0.0783836747635702,6.113457557732681e-05,2.570616652565153e-06,0.36259340589445865,0.0007458353820559394,0.06981173874824328
500,0.002486854940517319,-0.0005429966012895655,-0.002411522089743201,0.2382614363445525,0.09384196960329375,7.427803473175047e-05,3.884381144027923e-06,0.3617331310572428,0.0006876735068196726,0.09925198456668478
600,0.005206294475551429,-0.001501583473208227,0.017567925925980873,0.2389834421492665,0.1058243915182243,8.705398170766299e-05,5.017506627419846e-06,0.35905346850940034,0.0006218604782955391,0.10706308247398592
700,0.006282414655752545,0.0014121908518547764,0.0038158372487304137,0.23888220098009968,0.11826327439089766,9.824087157224753e-05,6.567988826743202e-06,0.35922604201502867,0.0005773449522411793,0.1365422206841538
800,0.010026401002086203,0.0029984505511939604,-0.003918597585623863,0.24124416794929807,0.13297701248739138,0.00011158134549047007,9.066781171722182e-06,0.35996549804855443,0.0005219312155166725,0.15211105001192618
900,0.01212313078019853,-0.0006746776628494384,0.01715152372860021,0.24129371907608574,0.14227179913183938,0.00012176096011570357,1.0476119301623108e-05,0.3607458229291714,0.00047710401468175007,0.17236039599702557
1000,0.015356583517426685,0.0032803205168473477,-0.016761856083671443,0.23994414722502488,0.15311711473740952,0.0001276945524455066,1.1312697142449482e-05,0.35954109301663456,0.0004305978787665671,0.17420828389521362
