miliseconds,Ca_Cyt,IP3_Cyt,Ca_ER,S2a,S4,Oc,O_o,S2,Orai1,h
0,0.0008128219346133302,0.002006585123675956,-0.023582490089290163,0.05985188509162173,-0.001659185146056345,-4.504251352314706e-08,5.821186119379194e-07,0.5399853669241818,0.0010012635106694677,0.0005944220848777894
100,0.0006261755612047942,-0.0018660905586145038,0.014781368334015046,0.17253598697980052,0.024726886362667278,1.937539600891648e-05,-8.195206964630007e-09,0.4258237327799856,0.0009329914129130619,0.02203148088908161
200,-0.0003757055727776828,0.0008849916256320224,0.0006479790413160644,0.21590062136118354,0.04403371547411333,3.287013705147043e-05,9.069098301814044e-07,0.383520334241149,0.0008713271527194101,0.03666388114668374
300,0.00014003789006373178,-0.0030192896398442523,-0.003977806698445738,0.23074688695369802,0.06165397347133676,4.7768058422648474e-05,1.4316676622180966e-06,0.3691954141076843,0.0007956741627783196,0.06520646898238655
400,0.0014265823272187695,-0.003540951457977153,0.022373024540896895,0.23638635594815358,0.07892187336533081,6.283239446830134e-05,2.474910345828837e-06,0.3628065690708219,0.0007322695665540191,0.0818222574147428
500,0.0035032660840365,-0.0010988298544178906,0.003205330360174506,0.23759109011555543,0.08971893790421857,7.322800976835217e-05,4.45756882546277e-06,0.3622853404286509,0.0006703596084035026,0.08907132395551147
600,0.0048795543325628014,0.0020548733035703377,0.009580715488547465,0.2386205731674405,0.10482097217359022,9.009336627008819e-05,5.5662397229165e-06,0.36077291342236106,0.0006264268856309555,0.11586385662979286
700,0.007580050059366197,-0.0018479875218416623,-0.012263237722664584,0.23863361223149798,0.11545604547304766,9.634968431941722e-05,7.076756645819328e-06,0.3599440004446593,0.0005738840145380728,0.1230801948995646
800,0.00952196466971305,-0.0015642753639784116,-0.003254529229062659,0.24116344820191973,0.12784466759641386,0.00010938866348441796,8.945126939975451e-06,0.3602894923380854,0.0005216291588335581,0.14569099686021847
900,0.011678135077778717,0.004113905205928868,-0.01631800334851132,0.24031152136588793,0.1380710312626071,0.00011880021635620193,1.0841810730263923e-05,0.36119942399287036,0.0004753837500693731,0.1667952111544863
1000,0.014547767250273574,-0.0018055449522965538,-0.017294548985156588,0.23923868815318836,0.15289516266464356,0.00012864021574835791,1.1974083143827253e-05,0.3605909412040916,0.00043631393085420336,0.18600272117686165
1100,0.017976238340629943,0.004606118855600785,-0.010507499437701587,0.24022520111644197,0.15888067997379984,0.00013895014035112166,1.3942583455737186e-05,0.36077759273318094,0.00037989592770519245,0.19210914310895577
1200,0.02180027927536481,0.0002635715562418297,0.03874487696947391,0.23870735625500017,0.16994847346387748,0.00014379370001456768,1.495829318211027e-05,0.36065789392409897,0.00036395573481154707,0.2043928244297807
1300,0.023661993513777433,0.0060019389876082435,0.05628514910316765,0.24052162140516092,0.17736411165572788,0.00015236428465793413,1.670818795469945e-05,0.3610196032264743,0.0003152104789710311,0.23080565552000024
1400,0.026939441822793588,0.0038997254444418108,0.023750391714969184,0.24057363430122472,0.1830327418297202,0.00016122943658467681,1.8049470119168874e-05,0.361138664583525,0.00028923555169036325,0.24075480580444134
1500,0.029767041079514885,0.009241644291649625,0.04855636152932864,0.24075966748131308,0.1884395993362959,0.0001699870986944642,2.0231263954413634e-05,0.35868813529705873,0.00025257975676340824,0.25381989318196996
1600,0.0324238150774598,0.0130101521971737,0.08822485491087391,0.24066309816747244,0.19769888205240466,0.00017323022271040174,2.0988861159089482e-05,0.36019519868091515,0.00020807266137116759,0.27727053823693254
1700,0.034027446635315324,0.013220698009260817,0.1454860216484527,0.24120776691559168,0.20078146137615593,0.0001822539687561431,2.242768400252557e-05,0.3592649984760043,0.00018438486362256317,0.29333819760959967
1800,0.03666236632013521,0.022410496772229487,0.1582745635761895,0.24015335871523688,0.21117412053946935,0.00018590701777768543,2.3369111904329068e-05,0.3603641397331211,0.000157615840133311,0.3064801795686111
1900,0.038164078996966534,0.025675478193260562,0.1895262997426197,0.23866253761880113,0.21496918592410386,0.00019308503919533452,2.5511787620168708e-05,0.3599148048953143,0.00012707352005030125,0.3182755598003872
2000,0.040533925823186615,0.030248623931265844,0.2011931950601672,0.2398957858735574,0.2159131024509145,0.0002017779807646748,2.578545181867922e-05,0.36083828450859073,0.00010875814635680773,0.3339906114331344
2100,0.04270684405836424,0.03452393104398232,0.23862255460877962,0.24056423529435322,0.22213919920509675,0.00020382828596548694,2.696952482435146e-05,0.3606657142402629,6.065316054776878e-05,0.3364608257451493
2200,0.04348135381718411,0.04380155037810815,0.281411160242672,0.23894975061580234,0.22473819173233694,0.0002106780123234222,2.8881923543359298e-05,0.3596895948231006,6.457358113534066e-05,0.35413010477581164
2300,0.045590216726143044,0.04436647830061397,0.3305512749512692,0.23865814810624877,0.2284290138418622,0.00020930250981800844,3.0335304928266034e-05,0.3578535916177637,2.7256609743800933e-05,0.3570284767433108
2400,0.0450617178159836,0.0512602503231253,0.35356692291275493,0.24029312351307885,0.2285411689271409,0.0002138383229547432,3.016620869198863e-05,0.35827198531877974,3.55187120295102e-05,0.36633692025144243
2500,0.04760065637756101,0.05438305209686343,0.4574957968517773,0.23891281372096118,0.23606020140133904,0.0002143748725331117,3.128125923915452e-05,0.3575690013822141,1.4353322421711865e-05,0.3824215159997865
2600,0.04725542993212188,0.060706432398119084,0.45491852921912906,0.2397698290750566,0.2412237377168232,0.00021198141875794962,3.2269403238209376e-05,0.3584746542934582,1.9949527906345382e-05,0.40603977360671334
