miliseconds,clb2,cdc20,cdh1,securin_total,separase_total,securin_separase,net1,net1cdc14,polo_total,men,polo,tem1,cdc15
0,0.9965460574609304,-0.00035132302628604697,7.686970471706334e-08,0.598394817497342,0.25,0.24800449352064294,0.09782980678072344,0.4850240050684606,0.990001992761407,-0.0002604591096340594,0.9450045601473435,0.9856315709347533,0.02567981523300576
100,0.9972823594200346,0.000732255227754542,3.8798265169708494e-05,0.5986840423894472,0.25,0.2485181032686651,0.09728587525443576,0.48467917725233506,0.9900142379672324,0.014231399309619494,0.9437206206289958,0.926285097373616,0.025732655943565576
200,0.9966580475545626,0.0037455490064975333,3.955354824478593e-05,0.5989526365524687,0.25,0.2485114814085604,0.09507451210870355,0.48416055549954856,0.990011981752995,0.018676294460202653,0.9428980104831923,0.8606606081713843,0.025769426473175965
300,0.9968576146917351,0.00463693332874899,4.016592423361538e-05,0.5987145266872173,0.25,0.2484752885874391,0.092835679471806,0.4838089366663887,0.9900315021135088,0.02003934136380657,0.9419400044637083,0.8215401620611621,0.025806566830894093
400,0.9968039277837115,0.005622962456542033,4.080889642354324e-05,0.5973875552021376,0.25,0.248465577496183,0.09079760955646772,0.4834266062481225,0.9900409388294126,0.01945510539138015,0.9412962868412351,0.7625029788365544,0.02586980430724231
500,0.9967979264927701,0.007013842458586278,4.141221331876165e-05,0.5957026109142489,0.25,0.24849759444166897,0.08851370803414099,0.4829731484836991,0.990046892984715,0.01936958040195952,0.9404409538812261,0.6974778235836607,0.025915268600289455
600,0.9960739578392833,0.008793091361102612,4.222728488394147e-05,0.5974983471666561,0.25,0.24845155601428728,0.08648294135635769,0.4825815484133281,0.9900534097490646,0.01887346818809615,0.939931080188707,0.6326802055366687,0.025990044674212273
700,0.9961771193142206,0.009549327981809715,4.2775045208095666e-05,0.5974464452403992,0.25,0.2484823125642121,0.08457732825302244,0.4822343699784956,0.9900668339527446,0.0183185375684565,0.9395562806874139,0.5780482267901709,0.026089140044190808
800,0.99633382974326,0.011751459213468454,4.359188199740172e-05,0.592633669273385,0.25,0.24845382074604513,0.0830631348877244,0.4818533050562278,0.9900706220335204,0.017448889906672125,0.9389592804867721,0.5120143292367244,0.02620433569523117
900,0.9959228908850059,0.012457942930088473,4.41842459226883e-05,0.5936762985740787,0.25,0.24845930976120056,0.08184378855208661,0.48165659470905225,0.9900810392207567,0.01626136052024462,0.938690851696044,0.45542107589222347,0.026328607730020725
1000,0.995363617662762,0.01441457144382129,4.439932081367111e-05,0.5925686106496827,0.25,0.24843703955243607,0.08034476922381097,0.481313843953266,0.9900896794294416,0.015240855832057785,0.9383436265043018,0.3930200271804924,0.026404208436253768
1100,0.9956129769679637,0.015352352557334614,4.4927255473936546e-05,0.5913611042354633,0.25,0.2483983462502251,0.07916205661167118,0.48110115813059556,0.9900970749266641,0.014005817415124475,0.9381793095905098,0.33563817011759056,0.02652172199927617
1200,0.9949353392523662,0.01688087332494408,4.516929216626458e-05,0.5878741296580252,0.25,0.24839160389287585,0.07867807464128292,0.4808928187129732,0.9901021579726859,0.01223263586856196,0.9377573008665725,0.2791258273119686,0.02661813533949841
1300,0.9945143014326554,0.01911434556013622,4.515547228474761e-05,0.5848357054427025,0.25,0.24839499848329635,0.07808101915082029,0.48084376745573865,0.990121634820227,0.009666898553413072,0.9375464566329332,0.20368713238794522,0.02676079224742875
