milliseconds,IR_beta,IR_beta_pY1146,IR_beta_refractory,IRS,IRS_p,IRS_pS636,AMPK,AMPK_pT172,Akt,Akt_pT308,Akt_pS473,Akt_pT308_pS473,TSC1_TSC2,TSC1_TSC2_pT1462,TSC1_TSC2_pS1387,mTORC1,mTORC1_pS2448,mTORC2,mTORC2_pS2481,p70_S6K,p70_S6K_pT229,p70_S6K_pT389,p70_S6K_pT229_pT389,PRAS40,PRAS40_pT246,PRAS40_pS183,PRAS40_pT246_pS183,PI3K_variant,PI3K_variant_p,PI3K_PDK1,PI3K_p_PDK1
0,50.0,0.0,0.0,150.0,0.0,0.0,50.0,0.0,300.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,100.0,0.0,300.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
100,50.0,0.0,0.0,149.5033161343468,0.4966838640018447,1.6514134552890371e-09,45.13550262946342,4.8644973705366255,299.9952806359487,0.004664917714655924,5.294879867919476e-05,1.4975378301721197e-06,49.9582299903276,0.002078537799288584,0.039691471873109806,99.84649232973572,0.15350767026430062,99.7499355507359,0.2500644492641013,299.9941243032818,3.090954138310901e-05,0.0058447768383423125,1.0338522904174217e-08,19.976303712651635,0.0006164552342164888,0.023079256566082316,5.755479630663592e-07,50.0,0.0,49.999768850720606,0.00023114927939399494
200,50.0,0.0,0.0,149.00827682779914,0.9917230924981568,7.97026424333385e-08,45.07584852668217,4.92415147331788,299.97905858144077,0.020677557893788404,0.00024923226890472894,1.4628396424551564e-05,49.90892467272455,0.009956732511240095,0.08111859476406562,99.6997468881747,0.30025311182534553,99.53366696200554,0.46633303799443676,299.9775365320799,0.00024566548175810086,0.02221748606020375,3.1637813677794284e-07,19.909981678019907,0.004521312888691575,0.08548105076318273,1.595831905415782e-05,50.0,0.0,49.9990822118385,0.0009177881615179005
300,50.0,0.0,0.0,148.5148761952296,1.4851230891385179,7.156309924468808e-07,45.016549062405126,4.983450937594928,299.95130899130555,0.04791769924210071,0.0007230030411297698,5.030641114017706e-05,49.85438629469584,0.02363291847131888,0.12198078683212131,99.559462691391,0.440537308609027,99.34662677079127,0.6533732292087274,299.9516455488147,0.0008232532021259961,0.04752890071659164,2.2972665702495385e-06,19.808687336842723,0.013071235713845528,0.17814313818557706,9.828923176183671e-05,50.0,0.0,49.99795015861995,0.0020498413800633677
400,50.0,0.0,0.0,148.02310767061743,1.97688905762528,3.271755900844792e-06,44.957601038877385,5.042398961122681,299.91207724080783,0.08612193144869092,0.0016845999133204735,0.00011622783007063779,49.7947643774135,0.042952063106420774,0.16228355947899428,99.4253501060486,0.5746498939514186,99.18486479973869,0.8151352002612827,299.91767757701285,0.0019366297270075263,0.08037653729344205,9.255966834108091e-06,19.67970606105447,0.026518278358524373,0.2934402965752791,0.0003353640323418544,50.0,0.0,49.99638258461229,0.0036174153877202866
500,50.0,0.0,0.0,147.53296392411326,2.467025678376089,1.0397509577542462e-05,44.899001765558175,5.100998234441893,299.861359169606,0.1350314802228611,0.0033916235617803834,0.00021772660938322436,49.73021010337497,0.06775760182057733,0.20203229480342286,99.29713059531113,0.7028694046888937,99.04496473465298,0.9550352653469989,299.87669621476545,0.003752150461295822,0.11952462817663102,2.7006596793708387e-05,19.52939113315614,0.04475962142025452,0.42501341750991845,0.000835827967362286,50.0,0.0,49.9943892049304,0.005610795069603999
600,50.0,0.0,0.0,147.04443710676833,2.9555365578680295,2.633536253809012e-05,44.84074868591449,5.159251314085571,299.79912258226216,0.1943915747509864,0.006127329224069112,0.0003585137627912176,49.660875936738094,0.09789180712957085,0.24123225613128677,99.1745364553676,0.825463544632452,98.9239719672451,1.0760280327548608,299.82962038781403,0.0064292052792997816,0.1638861571683942,6.42497384650643e-05,19.363094173183683,0.06757894525130026,0.5676109966844836,0.0017158849353386798,50.0,0.0,49.99197955989561,0.008020440104391556
700,50.0,0.0,0.0,146.5575194378001,3.4424234264938187,5.713570498264529e-05,44.78283948476609,5.217160515233971,299.72532304445593,0.2639509161156424,0.010184765337354466,0.0005412740911028306,49.5869152895915,0.13319611179515012,0.279888598612299,99.05731054442687,0.9426894555731754,98.81933120410491,1.1806687958950375,299.77724044502946,0.010120027872379221,0.2125067538216605,0.00013277327661800762,19.18524269079151,0.09472602351410916,0.7169416932012896,0.003089592547819269,50.0,0.0,49.98916301924443,0.010836980755572781
800,50.0,0.0,0.0,146.0722041264323,3.9276850799091023,0.00011079365735114596,44.7252721992673,5.274727800732768,299.639915265093,0.34346124017158025,0.015855353320205157,0.0007681414152180066,49.50848221370163,0.17351140872490398,0.31800637757234207,98.94520600567299,1.054793994327045,98.72883250721718,1.2711674927827652,299.7202325861433,0.014969645045600225,0.2645502556701942,0.0002475131409989423,18.999453459257214,0.1259451892653401,0.8695390088005751,0.005062342732938956,50.0,0.0,49.985948787133275,0.014051212866727274
900,50.0,0.0,0.0,145.58848660507854,4.411316074399844,0.00019732052014928374,44.66804538304612,5.331954616953957,299.5428611140232,0.43267695123683403,0.02342086356929276,0.0010410711706416583,49.425731119602595,0.21867832486895356,0.3555905555273239,98.83798598560328,1.162014014396742,98.65056457937989,1.3494354206200445,299.6591718006468,0.02111593600981636,0.31928575878457743,0.0004265045589672739,18.80864789670597,0.16098649897234546,1.0226387672347155,0.007726837142959554,50.0,0.0,49.98234590814753,0.01765409185246906
