miliseconds,Ce,Size
0,7336.644278176548,6.652103771959158
100,7771.18664608246,6.597880730013198
200,8072.778545487064,6.475243344700362
300,8591.844743108362,6.41173555414401
400,9048.756284494308,6.32928289923642
500,9236.29162550182,6.252926477025626
600,9075.334534714848,6.1636454449972105
700,8956.888098326024,6.115356755631479
800,8959.560082774738,6.047057558137679
900,8924.504028985628,5.9651528376117415
1000,8814.776121401483,5.933522986512288
1100,9259.558451563567,5.828319899478713
1200,9730.091934152633,5.795232903130173
1300,10027.838158193641,5.723276635484359
1400,10549.23653341922,5.664659725935291
1500,10712.301986981734,5.615633142627483
1600,10474.374380087902,5.5648640158112945
1700,10541.834202586717,5.473716174560926
1800,10285.414085097922,5.446746926391595
1900,10321.64756639231,5.3742342876449
2000,10118.383688157166,5.322842172226246
2100,10168.533278169247,5.284558648974253
2200,9951.996716840824,5.232487004363161
2300,9916.768839016746,5.213345852654645
2400,9868.683756576505,5.163229847770414
2500,9788.027466851026,5.117036185606029
2600,9725.284260214183,5.0661089291138
2700,9512.787231474067,5.063084983576264
2800,9394.835419988603,4.9984047878415465
2900,9465.68189176342,4.977179044438677
3000,9260.731760081197,4.933972822790917
3100,9685.936046308978,4.909985853023244
3200,10158.93229602872,4.906785436106717
3300,10678.765608183328,4.847113587167709
3400,10949.242333126518,4.835135597266464
3500,11079.767124086246,4.767027961296987
3600,11117.695524701094,4.7384181604478375
3700,10864.597698979394,4.73756343352712
3800,10831.614590790172,4.683092782201296
3900,10809.389830043372,4.658516431707895
4000,10701.883795050575,4.635941147707573
4100,10982.274049111142,4.607275506346645
4200,11520.262422514867,4.585757323876943
4300,11908.773245285072,4.521828910898021
4400,12369.99203246592,4.522589337225012
4500,12367.280780153611,4.481138762153332
4600,12329.605010144363,4.446809992853895
4700,12109.058010007517,4.422473391353078
4800,12094.633029354478,4.417893084066468
4900,11915.59720818752,4.382086444324723
5000,11840.697730757336,4.339891190259109
