miliseconds,Ce,Size
0,17884.92204083494,6.666913381869399
100,18248.74993368518,6.513863349068256
200,18604.045653785884,6.400610554793325
300,18917.614991807408,6.276040569083056
400,19260.227801187717,6.223956704039503
500,19341.842550386762,6.092841650067216
600,19171.352741543054,5.977870035163486
700,19013.72759175544,5.92432472228208
800,18846.139811828998,5.8268696763177035
900,18647.7353923212,5.714440057345843
1000,18509.350705642442,5.60387441139859
1100,18834.873803961815,5.498567836544493
1200,19188.371505223913,5.460934812273366
1300,19512.593123659684,5.407068873668411
1400,19882.007451705016,5.345585644145069
1500,19906.397159118922,5.204058126412796
1600,19748.472861663948,5.133011166393402
1700,19557.613117352204,5.099317562647218
1800,19404.17067624189,5.012311558073697
1900,19241.56731293911,4.962072741762923
2000,19033.30997702448,4.947342278081391
2100,18860.827347160415,4.8579769971520275
2200,18720.974230397034,4.806468588794133
2300,18518.591407991407,4.759099637745258
2400,18364.17049893578,4.682913262221825
2500,18187.94949465138,4.681872160096191
2600,18036.932404427254,4.594157415946123
2700,17867.671976837046,4.553001267378432
2800,17715.20135883951,4.492412959055186
2900,17577.540393837036,4.471114547905917
3000,17387.36918633674,4.414436588264279
3100,17736.546025972915,4.431793836187377
3200,18106.521869924276,4.36787913160558
3300,18448.16313812207,4.332299884566368
3400,18803.686250638635,4.3189166665938
3500,18875.872870239797,4.2733430574769855
3600,18688.15901564707,4.247942781152836
3700,18517.57058419282,4.223950247681275
3800,18360.392097752065,4.165501656552838
3900,18235.6140990131,4.138105496468808
4000,18050.141772962917,4.099847845678177
4100,18399.502427680975,4.0774874608608895
4200,18762.600082724097,4.059009417035645
4300,19113.250538646982,3.9982837790856847
4400,19441.73442053863,3.9834906652962387
4500,19504.785454858644,3.9506344566688236
4600,19312.237599535467,3.948016119512746
4700,19154.117604332805,3.848246887874042
4800,18961.33118149079,3.8968729122192958
4900,18780.140946173153,3.802300029318144
5000,18655.211214737054,3.802651226325762
