milliseconds,Ce,Size
0,19599.333821955064,6.627301241161827
100,19968.845193310644,6.520456998829588
200,20300.965422547924,6.383486197024466
300,20665.211502559938,6.303887760588833
400,20949.449072276602,6.177835581671237
500,21031.02136424583,6.0434131294052635
600,20836.291046933013,5.931359900455713
700,20637.08666594944,5.877769954669255
800,20467.246462232808,5.735267010696623
900,20245.572008302828,5.642214119156842
1000,20074.328623090627,5.6039703811433235
1100,20429.615572684346,5.5203400516541485
1200,20778.342693027545,5.393977417542232
1300,21061.58470689076,5.345161207111019
1400,21412.016723298813,5.307585892845639
1500,21457.096263927477,5.167679588115063
1600,21251.284120692475,5.124473806190843
1700,21075.927342517418,5.029643291988706
1800,20837.676653693194,5.0095046296703805
1900,20667.339298648203,4.907913387850849
2000,20508.418656936607,4.9177284634118745
2100,20311.038290759996,4.818723009972516
2200,20112.72568956788,4.7520970575290855
2300,19957.87049095163,4.7110505382381875
2400,19735.828756235325,4.703001690420467
2500,19574.12483126234,4.58456863019817
2600,19440.726670803284,4.605705041732312
2700,19265.10998740437,4.537881174843552
2800,19068.747961194982,4.43564570837126
2900,18890.24355919051,4.398170790236301
3000,18718.75655744651,4.414299635748079
3100,19043.05542363794,4.357419928765523
3200,19400.35704791801,4.280827266057566
3300,19754.339132736142,4.241795182935724
3400,20130.947605543,4.254911505421314
3500,20166.43627085669,4.180150430662846
3600,19941.302499422174,4.153839798126749
3700,19786.98392204588,4.135552541376946
3800,19612.351141320312,4.056184084959893
3900,19458.617420847022,4.077611902536554
4000,19255.74201302439,4.060553145394633
4100,19574.28623956549,4.007295553753031
4200,19921.208314978558,4.0021314836485695
4300,20298.044371450687,3.930847757118357
4400,20585.513826686005,3.9222240790887373
4500,20675.28465658456,3.8703224495741084
4600,20455.390959159842,3.8407885353066407
4700,20291.513133736466,3.8249144252229774
4800,20110.292815821715,3.804830316175793
4900,19947.788063461652,3.7770974895052603
5000,19764.629751372966,3.7830326209602974
