milliseconds,Ce,Size
0,19110.587002935903,6.689819948046782
100,19478.7458019954,6.549430337217784
200,19789.94320589673,6.388910960479647
300,20164.064273941305,6.309005305032077
400,20483.85211003032,6.145677880433393
500,20502.82798269245,6.098507106435757
600,20364.321141012664,5.979999591407119
700,20169.553343198284,5.874154110158036
800,19958.81781110958,5.760787381120626
900,19803.3489100103,5.724034068940203
1000,19592.9125870908,5.630381184929298
1100,19960.9292652786,5.538635471835143
1200,20284.038019786243,5.45634866328981
1300,20614.63316394295,5.340172618747949
1400,20953.039574177186,5.319548641722559
1500,20978.81911089165,5.198160642604803
1600,20841.474223454847,5.128482182911584
1700,20648.499146221453,5.10090558776373
1800,20466.107533024384,4.972787519295824
1900,20255.867886890122,4.969041223344041
2000,20082.147497518752,4.849858354849623
2100,19915.939207691157,4.84425814100699
2200,19716.668372871853,4.7904327888591105
2300,19514.03543997537,4.68561063585391
2400,19341.48224848758,4.636214642585386
2500,19207.822778944737,4.6147278487716905
2600,19011.245832199555,4.570772186267196
2700,18851.28413741634,4.533035276900467
2800,18679.02341684751,4.494678334768589
2900,18497.431863312526,4.425978356677222
3000,18361.500487611644,4.380872357390988
3100,18690.99074961408,4.3762300703062085
3200,19071.438842365078,4.334344751452688
3300,19369.446370484653,4.317954660203539
3400,19750.735080928727,4.266259015969222
3500,19782.445067301083,4.2201879317158575
3600,19613.50486254643,4.152086817976932
3700,19403.364526887886,4.142511554866207
3800,19220.62127436449,4.108204046245146
3900,19087.904433026462,4.041214156950455
4000,18880.50149154681,4.065965219761396
4100,19245.975837203616,4.0329436718262
4200,19612.553929324185,3.972438496861874
4300,19956.979402351397,3.925142922433745
4400,20286.804476327277,3.896833457842041
4500,20340.43587262491,3.929545007045563
4600,20115.353248817028,3.9056193120132434
4700,19960.35996157627,3.8594920690368704
4800,19776.303562975438,3.828409356028264
4900,19588.896344690344,3.8003065572562704
5000,19436.25591485404,3.79612907950449
