miliseconds,Ce,Size
0,14803.320867020753,6.630806933624548
100,15220.05920655533,6.532426700981086
200,15553.350610687812,6.431679957751975
300,15927.599404839646,6.300296810882681
400,16362.526622554007,6.230787383564031
500,16383.90401834793,6.138940491375366
600,16266.626194833967,6.036360452809436
700,16103.852345629532,5.945360533103917
800,15996.668535355724,5.850488254413212
900,15803.863168328015,5.792268706675373
1000,15706.729642790893,5.665058751739977
1100,16076.372993312612,5.634098087965548
1200,16467.83620619829,5.540442743285886
1300,16827.260339985878,5.4745871965338155
1400,17168.951342353568,5.352613822975504
1500,17276.04374929523,5.318821150389172
1600,17068.636964776622,5.237970179815095
1700,16959.77807300916,5.177322457211121
1800,16811.911519026762,5.101743143667959
1900,16671.16344957006,5.099311554264939
2000,16479.048202442602,5.018376807018325
2100,16372.436693700069,4.951674310803487
2200,16197.973028102759,4.903193689484202
2300,16063.51907868046,4.835221104836834
2400,15879.103875238296,4.779793283904572
2500,15765.188597043976,4.728686590075104
2600,15629.193575209203,4.703743635174484
2700,15500.570167875398,4.692907817685907
2800,15293.010000675275,4.596491970191954
2900,15193.469244626052,4.587778517514533
3000,15080.708157996765,4.576440219173067
3100,15459.72235502531,4.514689913241563
3200,15785.973769097598,4.466911699053923
3300,16200.777791840117,4.414109615023392
3400,16592.993412670658,4.401710304117916
3500,16654.739101337647,4.338195435098162
3600,16471.974965600235,4.301536746486224
3700,16346.53267931215,4.289308862434891
3800,16196.833590964441,4.2436033985553365
3900,16055.47887413789,4.233802729700596
4000,15932.794617209669,4.167726331555493
4100,16272.791531260289,4.181087053222303
4200,16622.91719324299,4.149318162848152
4300,17040.855719619427,4.126561240180993
4400,17408.150620152282,4.094987824018799
4500,17464.11275345592,4.051213144770816
4600,17282.111398471334,4.002204801365829
4700,17167.899186029357,3.9975491194232284
4800,17008.354496336713,3.9940934937082493
4900,16812.488034940314,3.9851638049562434
5000,16688.070235513216,3.9359045325687942
