milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34873669.71641718,227121.80930834115,75031.8921594633,224256.4934007011,1289681219.0153654,234.8191615662526,58.19324854929728,204088.71443323136
100,34664051.87511434,155531.4823962541,202633.1464300449,532389.4803051573,1289648287.5837257,136.63499242598675,72.14888855061861,184845.01423062518
200,34454185.289407976,120058.30881380086,237575.05097953326,751860.9977743316,1293661568.210081,125.64242078571384,97.73345928675798,158800.6249951176
300,34390882.779085584,183479.73125357996,179677.4092022901,902164.7893713105,1293782699.4728599,67.77337591345946,96.90045612311263,147123.6710580863
400,34202249.33558995,131657.44263685093,240423.48271501216,1163959.7552538803,1295873172.8514214,88.00104547186588,162.18616503465935,136844.3522768816
500,33678760.11808693,110108.25091389439,206465.19685205506,1305262.3406169931,1295859553.0330236,47.7567489967317,148.33806375235915,121255.22537911803
600,33867848.56934309,177296.59763615037,144395.47870383284,1416827.871714108,1295964206.2743351,126.08308825896424,177.97927207186214,108377.51157875182
700,33220128.223411765,220193.65553226363,177036.2673856038,1570483.364942486,1297308526.6060042,80.34973916568322,141.90942791604385,102108.44010176316
800,33043789.062987853,219128.86612339664,232956.78034629422,1755905.3548353368,1299778066.4840426,124.83134211971279,167.3464545588744,93600.38154845338
900,33112454.73002335,159125.062312927,195321.97789217712,1830718.9066612,1298949511.2916656,145.1722800720901,161.46959453894266,77481.31102790622
1000,33201692.559453253,211188.45644516012,333042.82005958573,1936716.1242316512,1300157262.2529094,81.5714763284646,180.39582489688325,69623.19123827526
1100,33117480.692905653,187491.27809063194,305173.12923619075,1989398.0792967281,1304114713.5799212,109.93709823419245,143.08976346812702,63840.68152571939
1200,32592191.9413841,254851.4401993495,331270.16362286085,2095916.8537541959,1303902903.7235377,125.1183952896192,190.19191422109046,61773.359719757886
1300,32772145.125296395,237660.76836378977,441258.9692454155,2138458.517311664,1303905362.4277458,168.4456030739214,202.59190179562432,58454.96148646397
1400,32606705.438934974,331481.3795287537,354307.3060808163,2226086.1959720007,1306602218.1872075,150.30656522802195,211.80034949710887,48167.13711695657
1500,32469898.162002407,309989.10605312104,466578.56665138656,2291740.437463739,1307932518.875701,156.2856621533885,171.0941465074376,45062.69314216807
1600,32030031.644700922,376854.6756336773,399035.5962428344,2270211.0953506855,1308095475.6212542,186.965292015314,264.99411777562455,38292.03207085849
1700,32361563.120269984,379023.05341649713,535561.1221657757,2385730.9586409032,1311060244.5253263,174.31384692979393,220.31601019323287,40027.33535378623
1800,31796236.041622244,375318.59604765597,522063.351661694,2451070.678329442,1310140751.250009,227.4115007345027,218.60554803375823,32872.783040256225
1900,31897018.346144237,395736.2763692454,606260.7094843049,2462443.654261708,1313117655.7776434,200.41729380617596,321.94917722903665,34961.613815538105
2000,31499943.680861756,381682.53979707387,623672.0848295699,2452998.289420402,1314762077.7578099,278.37546830901977,299.5119002040092,28400.687042340807
2100,31826056.551079873,443562.6885478828,710718.8364909764,2471794.7049099053,1314430457.2992468,228.26343694904938,273.66549839900284,26626.822105606505
2200,31182792.882473733,505937.7647265696,720867.091923288,2456601.4376255553,1314535904.1600418,269.2203317172741,345.8610171431132,20946.280204246792
2300,31069217.75705418,557457.2330540306,730687.9899681982,2460499.9889767994,1316588255.2104015,284.70893666780995,341.3960574836343,18671.1829097836
2400,30893570.026271578,592455.1523320007,762509.4189921202,2512912.1423613536,1317912423.2636006,295.4759034100017,426.5977021867543,20370.728878279733
2500,31100546.90337719,593515.7257741669,770466.24963043,2569981.853775988,1317522781.2781482,323.8270456778514,426.29178445059455,17523.304603733355
2600,31115430.20979302,640490.3320335033,923689.7716122831,2526572.9242970864,1319027072.3623314,338.22443892980925,393.44127876088675,11912.724015837362
2700,30482887.526024524,683922.9087687464,1002893.6848904612,2538594.360695093,1321195809.8195136,390.8170598422776,434.84263856330176,10819.599110773608
2800,30207051.234015774,663456.5151937716,1017316.1406050758,2559250.385890682,1322343813.2574427,418.3183046609202,517.9266486743884,14002.70903524649
2900,30191606.707624763,718626.238923162,1004421.7879985006,2565782.2886987124,1322873563.8946695,454.36465074855033,505.6344974560719,12075.98804079059
