milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,35198679.57755515,228115.61055224354,141924.17262581526,166814.70800469178,1291020999.910058,247.55405467244984,89.68969222001768,195289.4991018831
100,35037143.675314665,189173.99233605195,60699.02459940514,457441.7968634989,1289869818.4743204,156.80621070622718,77.43375677458452,178162.15957761163
200,34647534.07092438,191822.6753726806,106728.06376802997,722317.1406700402,1294046775.724966,79.55557155884054,167.00944896570792,164950.79585117637
300,34362827.22091683,131143.49401340584,182647.08862296518,902532.6824052759,1292280004.3643847,106.51899301527922,137.27779445717937,150436.64146961077
400,34235293.94030845,134921.6511987394,198638.4852254626,1170805.5819952607,1295945858.099483,100.464546715709,116.83306092766611,134645.30898882402
500,33690009.59995099,147718.57866010207,116767.03366846184,1281591.391714593,1295044062.896058,74.29678739474508,142.7452965266146,116198.19535891472
600,33445443.29472918,198700.13550587872,156400.0415580678,1497741.5472612092,1297848639.2317274,59.962521219222445,140.99948605102995,104690.29917430234
700,33660026.0153048,189020.79966936677,302206.5322634969,1650729.0716361788,1298884224.5629745,106.3651162416407,122.11193317735321,98725.82184795674
800,33224930.03939365,179812.5559610715,161626.6541128762,1696328.92174524,1300921876.6124208,133.95445208823966,199.81690408056545,85495.76556348884
900,33229797.882992655,206647.42518531022,350518.94425440824,1817820.111223672,1300678470.6468475,95.30576780625768,110.99314743622702,85706.26878599566
1000,32826752.083039753,244349.86114055413,221266.50683350393,1904647.038992956,1302760826.1904447,107.67171733681448,156.76846809318982,68244.31367467024
1100,33170026.313092746,218541.46650582217,302098.2837443848,2063678.4628607999,1302518246.2794876,153.312390286484,128.0821099992403,69542.99951119549
1200,32518888.30511995,262352.19295030535,311897.74305476854,2136873.635143024,1303464921.4891844,115.94814990845013,222.55652646553804,63344.121047652276
1300,32711527.607446752,307038.6735319002,318234.370339095,2175847.343249251,1306225691.5978959,126.55227110089882,152.12229601341843,50065.75812063831
1400,32781141.948316727,268472.9380763456,439534.0874933897,2247159.5933228894,1304963615.1568537,190.97032340397234,207.35533659893397,54186.57467686306
1500,32111385.558156107,284389.7716575881,428564.99978415755,2318033.4053137694,1307634670.1561944,187.18138716970864,195.02936235248993,42550.24882679094
1600,32285152.80291598,339788.0831504037,358130.5209198004,2295006.0472421413,1307957034.4787362,187.02715022479265,205.5723172564237,36511.71158523317
1700,31875368.508085057,384188.4413318003,557853.2886824687,2402348.152608054,1308458824.4478357,233.36127749897847,220.3985329793625,39065.149571509326
1800,31743538.755541634,333693.47236584156,551966.7442394891,2358187.6352804666,1311530953.6481147,175.52608718567978,288.9090810546305,32255.184549146536
1900,32114090.298540715,419670.1714555529,630708.1834619938,2431451.7624144526,1311730966.2086446,199.76116776585573,256.6387988601055,31906.404380693348
2000,31743422.390412156,399707.5884298259,548135.8216655102,2502167.479717492,1311960832.002399,241.8411276634454,287.64167305154336,31295.536722045796
2100,31700151.655062206,483417.23482835985,580082.6965989588,2439900.6453653914,1314850079.7105403,268.8510692484568,326.19564580652514,25836.559219982944
2200,31641285.835107274,450306.84798568423,752347.1941713544,2469027.767619964,1314061736.6802688,317.7975897341668,354.30379069627026,20759.060784646757
2300,31522996.33957931,522729.91627606296,643453.2255620197,2537990.4562006914,1316954221.9826396,279.1297154030344,369.4920350398443,22084.046388652558
2400,31164837.19838225,529163.4971735501,751640.3801938609,2540832.0535117867,1317800285.3163283,311.178849347545,429.18057948645315,17905.493963569457
2500,30906695.337971855,618667.6577272628,757006.2962075712,2566956.8517544623,1317303294.213435,336.85090423951016,367.5441270285991,15191.244343538105
2600,30731003.059838664,579395.4188370381,818174.8266673433,2564808.4352086005,1321035283.5862927,363.07420941053226,393.4362362353594,11886.293991313181
2700,30376926.48018792,677026.8869108494,981423.8018133229,2600336.1104733776,1319996512.6286047,418.8309242930119,432.78499030882364,17130.215290008233
2800,30384208.61589765,688788.330509208,1061468.6921765746,2591227.954513052,1320752818.5596704,421.49082114376,504.1021043745176,7258.70411714276
2900,30555073.851994123,782032.6023641393,1115623.894027769,2551094.153398499,1324249718.132674,420.39724393558964,503.6665389515939,15838.52515236412
3000,30253522.06726942,841659.108082824,1064992.6583592994,2528409.7519529103,1325458076.3436475,516.1142470671816,592.2845412864128,11776.63231066647
3100,30026439.447098546,867718.3309262845,1235590.3364380882,2543549.5946490834,1326043843.5917416,489.8622441699516,607.9847568461544,12323.041714404193
3200,29783743.509933285,890205.4501220727,1234991.8617267427,2599248.785362906,1325305860.573576,574.9249821736257,689.0037436691147,3191.1683947044357
3300,29260367.2675683,989241.7827370527,1341008.5017942605,2521801.573033803,1328429853.7784486,556.1127807535615,744.698730406925,7783.546344257946
3400,29227489.443020035,995741.8927574531,1470407.9711761,2594464.736083152,1327777165.5873377,631.1366027340409,770.2417531385674,5470.2587770909
3500,28663406.521473218,1026514.1902408798,1539020.7260821124,2565224.752979511,1329853097.3359218,640.2742252949907,751.7083640422295,2331.5053244125183
3600,28658975.30918943,1097597.6121321798,1615626.8337612203,2509570.886021404,1332037869.036544,662.479786387027,837.7548757751198,8757.868250622781
3700,28514741.45106196,1134838.662879238,1740164.4680226918,2526368.2496716045,1331997408.5747871,747.8750797344987,937.4907857167136,7645.759422231358
3800,28288407.913569067,1153199.8875111365,1871451.2158150119,2523841.8261989085,1335232219.4552908,774.1158201916172,942.8934269436421,39.84101744673808
3900,27650421.4925198,1274808.1464339648,1850836.6401510579,2483021.0211226195,1334672830.4226887,828.5068811457178,1021.9706598369185,870.969180902574
4000,27633398.688904904,1283948.6895598825,1978266.1054561262,2449746.384247476,1335797487.1852932,877.1553851078073,1026.1895916452283,6494.636772032116
4100,27233766.69508673,1320951.316652492,2138304.104450602,2534692.085529726,1335652121.4887357,875.4860734569928,1172.2747878285065,5199.980896884661
4200,26984892.0348759,1447734.359201224,2122533.6377280704,2536610.637727308,1337299544.4881504,950.5020497784769,1229.039929931833,1845.619220019424
4300,26347328.122947503,1469362.8411423368,2222751.9499657834,2435714.984473036,1338387082.2133615,981.7653724479964,1276.2536931118766,339.07894226138615
