milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34966230.55272097,213759.7231106287,43282.17874603429,257957.80540449795,1291238476.7768056,236.78705408759532,99.37442901434943,198669.27837822557
100,34917613.54374044,110744.12210659793,72410.87199020546,517416.96696614043,1291962211.152711,143.05041269289984,92.48366474927232,178023.72252359812
200,34628186.084139846,131170.1785641041,142452.192814699,713065.1456536128,1290847052.6617754,121.56781768833144,104.37920745499383,164188.7852689997
300,34268109.94442629,188514.34512774157,249379.8284391772,918884.0527505474,1293580644.208484,108.01051991892156,127.38767922173838,145980.19089202097
400,34292173.31953739,125982.84287167597,178092.01811038592,1169314.3443177918,1294675326.72727,79.88035950030466,171.106624931034,131131.8374754933
500,33711470.54947123,180421.8178761756,262088.46510903127,1282716.5028952125,1294305323.4287806,96.0678090704653,122.35434839706497,122718.6461288158
600,33475235.692130998,175390.5297101943,298688.5056503777,1468671.5904105038,1297441053.8830159,93.47215159960439,101.06925712358654,114774.2176730835
700,33206276.71989812,175171.93262874815,275346.46130719944,1661653.5497587423,1299068027.598515,100.40980369352157,139.03540096609893,98298.02625455084
800,33136835.792745493,137249.25237975788,233852.67252491124,1784971.776467928,1300165794.2268422,102.00039983855535,137.58541592344525,93471.16846445555
900,33059254.87877561,208219.7080079197,291232.90927834326,1814225.0899140362,1299780857.2868838,95.29694986543866,188.9751232021989,77827.1374887019
1000,32851591.527465563,259137.3859786099,281119.9461172331,1983928.9179624002,1303236859.7501142,155.01225167236294,142.6382230901836,74970.32973420255
1100,32792664.864481863,233795.9605056224,340460.50498493575,1970107.8187866802,1302601010.6960156,91.57754157321315,171.98683347810834,71096.85543438564
1200,32874767.100528892,292058.49849747296,387967.38523864205,2082670.7329564046,1304045812.3617828,171.3642416920631,157.9881609856678,58789.31329006789
1300,32663355.18848476,237188.35360464905,441090.6900352851,2166273.1011021365,1305589316.4250798,116.74803393500737,163.8042637785996,49989.18913034633
1400,32477066.24652775,324490.10969206155,335868.1016433373,2239291.1653320785,1305718954.992745,151.66710662612465,207.67965091277762,45394.96041998213
1500,32540251.41414839,330543.684094336,342678.02636222914,2329523.978396755,1306005160.3907235,133.94114904033177,229.78504199930265,40192.95719645414
1600,32537512.898651224,382859.1864739203,440506.235896982,2268689.484654878,1307765837.581604,194.15051855544908,194.1516371620982,35741.41111009354
1700,31924149.11211441,322059.9252475521,531151.613354826,2338656.638884457,1310445229.9780157,206.58816988912216,280.6408373863589,31850.632968500904
1800,32210279.875792164,419153.4299900837,493257.6937697483,2373403.5279902364,1312362128.8779347,187.18547498809818,209.197289844951,30965.382637742663
1900,32062389.355371606,444643.9785777619,545630.0531699228,2443178.1264537266,1310638959.4573135,237.2654013766149,292.6564859312203,24838.97101170332
2000,31969011.19919722,434357.9520000888,607971.9385048759,2401843.794635057,1314736141.0133886,274.03962651673316,247.70472028722625,25513.097364926598
2100,31726529.226722326,415887.3813353934,595714.9670567011,2433417.507337431,1313423745.3708897,270.93039176848106,298.9284391775993,27973.80066102412
2200,31649933.219207373,459032.20126587816,735212.7139160149,2478096.369761963,1313917389.576628,274.681768265514,338.3180198787555,26964.294868393205
2300,31266398.768336065,482603.3800617088,799610.6481491739,2487713.736217287,1317347560.2078657,271.8821522689196,407.5083561288559,17967.211053043506
2400,30957406.11925681,549708.9162231275,709681.5899794598,2561842.088034598,1316895655.2140472,337.49825638744284,370.2414486019591,20981.88164601232
2500,30846648.888210684,613128.9456766086,912612.876497382,2483376.3518299484,1318603019.8827767,359.8773045272902,425.9141051676572,15296.345948640806
2600,30808862.29944691,682377.0529899257,874162.3525534081,2556555.252459904,1319803350.7533827,355.2968329784861,441.2295484760486,14441.501725545126
2700,30567177.4293143,720259.934149883,935439.0086738623,2605824.8166637826,1320526348.4652872,416.1825872403416,432.26787398078864,10683.692398174973
2800,30678596.618910126,668879.7592325491,974878.6901723258,2553062.7394490507,1322678472.2808843,392.7650380547006,475.7772971755376,14809.906396518407
2900,30269986.567808237,794753.1364613881,1147762.7351911468,2591812.928436191,1322808828.5957627,465.59222944666135,552.8953273564698,15050.659454227383
3000,30295458.75879452,846410.252564696,1091215.2001763592,2539383.6465665153,1325301492.9326286,476.45582941750047,609.1529038483458,12513.175417946266
3100,29573697.049583975,800339.72737521,1143599.0179189716,2526815.6602002294,1324122246.6006699,482.42058301821953,596.5448805970661,4868.549571685351
3200,29471050.87199049,925718.3209251733,1353975.4535890769,2542097.7578365924,1326575434.668626,555.1617999357952,678.7793637245906,9104.968897620738
3300,29460652.542595256,894990.7631545544,1357704.1010039353,2586481.045456965,1328956829.1576674,554.4221384580143,705.5544561410636,10371.109481680842
3400,28963619.542536456,1022738.409973534,1450592.4914446087,2603543.142597775,1328735620.817132,622.1075863955558,716.6364510663276,7980.866316360401
