milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34866661.72224348,149347.76041313194,20091.03737428256,248229.88655089083,1288975960.3993897,243.490634138886,107.03819500022865,198030.26474101166
100,34946767.25123618,195806.1102852556,93021.08625438841,459858.1612267167,1292195171.5142844,178.13282502796392,76.84092461904734,176976.94080919874
200,34237094.85583461,166094.98288772372,150478.2337491129,737382.0662097173,1293381471.747484,149.52465646942937,86.26390366068334,159759.57252296948
300,34405270.58326951,107896.99751004804,224269.23195218373,931302.6597247728,1292585433.9450126,129.25184044847407,119.54723967991146,149287.7175833476
400,34331873.15754584,134414.39894728575,129570.63467816319,1176459.9737093234,1295556951.559627,80.68889131128334,107.1356579913417,129410.89063808191
500,33598172.22672652,155104.35810198117,116269.29638124292,1312624.0234255746,1297335314.1269586,91.18074324087809,155.3407247941147,116050.17519640189
600,33760923.159740955,174912.18078188237,252824.17360031517,1479572.8490524946,1296456437.921861,99.1863815632288,110.27778231359798,112810.65657706768
700,33323206.151280444,219746.71575769776,186836.96631861042,1612653.9969416251,1296699353.8977778,62.23188276320271,103.63229136850411,97584.69104064243
800,33417192.644923944,156853.24368081184,320839.56369058456,1695285.5906028193,1298364573.2375627,103.21269805227399,159.13998198350706,93653.08454512779
900,33103383.131965842,184215.04827010375,248548.6081204125,1808575.8629376667,1299600856.64915,131.3249608616873,115.7043615165363,78324.46305197482
1000,33271808.50377722,230150.87634151234,263259.711247602,1986381.8209695902,1301083153.029841,155.24572748426164,119.56326190428422,77357.50610411349
1100,32850347.15111807,273296.1888503655,395757.61523220397,2018475.9877311296,1303080428.1672888,121.47347078941851,197.22651589438968,67126.65789506971
1200,32663603.334052913,237013.80048146713,418333.1932175671,2132757.953947893,1303247260.8214626,105.1506556995179,172.65147074864262,62995.51685934118
1300,32746202.612479076,278416.1433393615,309292.9372204673,2197548.454875922,1305491489.3656106,160.64902789140737,139.26266802415907,51551.507175725084
1400,32570290.497941907,317361.0238850658,313431.63955625874,2219087.3985164715,1305572295.1167622,195.50465096241595,217.27571237437772,45160.52926825728
1500,32589272.678808898,348190.92771111155,500931.1036188532,2237940.6384523655,1307822034.0132563,180.7886913282666,180.65855720477418,40029.78107331371
1600,32207894.047860432,338148.3154327344,483184.1542281192,2318338.8270726074,1308610794.328558,181.36278626967726,252.73270405862797,39319.847029013414
1700,32102505.292104505,357668.3560770131,403571.2820997102,2373571.795371245,1309016512.7895672,187.18167791928477,191.15885359805498,38310.29140881922
1800,31760006.506300695,433142.6258993286,598331.2626894986,2438515.9710219726,1312471703.4539235,249.08109528888764,299.53671350358564,32736.87874793129
1900,31887245.484080218,442800.1199118597,618995.535654966,2436642.99194057,1311970458.4149392,227.54241527726137,321.89705978379504,26263.247516668198
2000,31768633.351146746,464346.7088316733,634747.8161418375,2487110.456392973,1311918960.7892582,255.05411219557217,269.54116391145897,28560.568460801922
2100,31398322.83886716,453033.9225547111,568721.9168637095,2416351.2553874133,1314585446.5026782,268.1914422672903,282.73513717549736,29130.13678237079
