milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34806409.60616108,162891.78586131113,73205.30474822121,226976.99314300975,1290780444.680015,281.2537451029339,93.97358054659497,198325.5090207696
100,34589868.16885157,143165.88667472888,176359.8954251152,420359.10026500304,1290396457.2226377,155.31636662500128,143.80092136385042,177520.89021439388
200,34330594.65829304,109340.16952881237,98282.36348818488,707671.2443084236,1292444416.5245707,116.58664855630994,89.07277993532374,163121.43535332882
300,34444477.46623591,149436.40378255004,247536.38320003494,986244.0250823998,1294697121.0355315,100.03733763309278,159.37906145129836,144151.25175443568
400,34048013.60245555,130751.49869286294,125462.60530359729,1089405.7869967367,1295516253.0309103,100.00845909136936,115.72684608727197,129186.64011464194
500,33842373.21657586,132577.62787887032,222178.82912423514,1314585.1325944888,1294701383.6837606,55.98174633729452,157.43084489037412,118207.69156177684
600,33815693.17867685,132892.0219702018,226468.01818833413,1504039.6221535397,1296792486.5155137,75.13191138024433,123.2252035491636,111331.81310089782
700,33226873.170732018,176569.24455871273,150738.86798356532,1657876.5338689226,1298397237.1623485,79.78067779745652,193.42238335498308,103314.80976928325
800,33397985.167059984,157479.33846183214,231269.6503708205,1780270.0949057883,1298415151.5569177,83.98024529356073,119.69037585455074,88390.97488861752
900,33384028.24459035,238521.74080344883,202724.0645653726,1892829.3461234947,1300314448.3851364,147.81629085594165,124.77770415593301,77353.82012212512
1000,33048430.58131191,244178.0401655892,271577.6983568942,1916786.9116118413,1300006232.9309096,91.13633224431467,122.03738552196867,76524.32010878
1100,32624525.14299686,184583.8404071683,362557.99480362487,2048175.2724190159,1304482857.0206058,94.57015856304278,214.22350998111068,66838.66958416019
1200,32547730.539969586,214115.47197832633,285382.972764927,2118702.138728988,1302655460.8485188,153.416923233277,219.2477601815166,60955.18694632467
1300,32734200.96848809,304728.71000596357,326127.44122201315,2117755.3575995057,1304893929.4801993,114.99284228505219,183.55158974748,49465.66775652534
1400,32242496.187861186,335648.58146219776,446221.5930184077,2239318.471661636,1306941000.5760455,131.81612504667427,159.85171770299326,51968.13802643148
1500,32296328.796459813,284358.46388907556,459259.3257329953,2298867.3102367027,1307288320.0322075,163.88715999449929,236.12166102615384,44009.47579137286
1600,32322681.0905557,322369.70445154584,487252.212177269,2288473.7751690266,1309320670.8416827,155.63611561111847,261.8552206416533,45295.75598810983
1700,32124723.000324234,329509.51980615023,538373.5091903277,2360254.891222178,1311116523.164503,226.19535229148443,288.2155762108874,33668.529817312796
1800,32097190.869993195,398296.86385309283,538475.5919909299,2427880.6623221445,1311446866.1064734,220.09533072197098,245.45969931533273,35466.88681824684
1900,31826082.87061376,434405.3751878234,576232.9521734756,2389887.1976388753,1311779233.923111,253.702428449379,322.3116191627496,25069.21590048113
2000,32008709.355018668,418422.36118722596,525993.8772241999,2466743.580462019,1314647142.043727,267.77371921111296,253.17638573108346,30642.18125230784
2100,31531160.055737495,472441.9192577151,687414.777954343,2483776.254258551,1314690235.3576007,266.3836626428465,353.34630202392594,29600.854547241346
2200,31537321.40723235,488408.3844517043,709154.0645185899,2455235.6062046736,1316947889.6710835,265.8234599298338,351.48782281476315,22320.790307475185
2300,31378309.12489134,551280.7259663062,736729.6654722447,2458584.3168348675,1315398410.2134616,278.7212210337054,324.88202501605,22010.72910967708
2400,31229797.663931046,563173.0607264168,721039.054970991,2535290.3582655187,1317507250.837524,296.59295186247255,402.58085292551044,22594.4660376679
2500,30900822.832185566,551341.165961061,833658.5449944596,2552577.1961363745,1317449525.818829,325.75153830590335,459.01488137715927,20752.410221566126
2600,30931321.70360111,665244.64755421,839436.3100936433,2579844.0861049555,1320082012.5600863,386.96241356137403,401.29949807585604,14685.71778128969
2700,30480555.5025824,643167.3295312335,961041.0076973673,2501557.5466719433,1321897635.6989703,405.70820773010536,498.7469276097,18276.755124060714
2800,30187438.85197441,724975.5151760111,955408.9061936429,2552684.7674451624,1320954231.58167,400.407512435634,519.1236933211413,9353.98352615526
2900,30421394.813063648,746558.2092806068,1033948.5894052765,2609402.1761196987,1323122062.43161,475.2250823407816,502.58683322818064,12388.260523764076
3000,29999448.941416025,782220.0041271066,1185802.8878854555,2595379.8957778825,1326291528.2783284,479.0001445204074,609.6774177351336,5615.686897738405
3100,29799213.78219946,793951.9318203757,1205646.7536371546,2564536.563530915,1326198572.6487117,512.297423175656,651.0598709651804,9962.665231651526
3200,29400228.1664201,899031.478204269,1234419.169197373,2512094.4909864278,1326502034.3759053,554.1146749401547,609.5948320251115,13076.91170102531
3300,29402410.140790094,960319.7155441429,1270606.9031174823,2584518.7425547163,1327808897.1264913,597.0030118903475,700.1232015238138,8875.33454558958
3400,29057995.99433155,953364.0805376684,1480560.5020497248,2523603.9290580167,1330678039.5155885,595.681300382877,779.4357730275763,3132.038577911988
3500,28939165.915764976,1047120.3082651288,1534987.2497617195,2501981.1231767866,1329258913.917171,684.2141967453347,777.2761757414161,1922.5269862514124
3600,28683087.606437065,1062727.5151531594,1680202.410451865,2503386.4072350487,1332673821.2648463,691.0032631453952,891.8227980907969,7463.667831919993
3700,28555187.732564736,1162378.0468796242,1679313.6196813914,2590749.6934119426,1333649445.4791558,733.5428955606989,919.3507508574698,4606.288314190627
3800,28342926.911545426,1206841.6326124768,1799969.6288896403,2536681.180320276,1333274419.284398,756.3056979858113,932.2791394486366,5615.683415881891
3900,27791832.49961337,1237692.8726621019,1804907.729640156,2485490.8103846256,1334482189.7247915,840.0537647900087,1028.5023785287974,6953.5015492375005
4000,27706204.854263548,1330044.706667587,2025979.4537044126,2546332.010821899,1337701952.6192942,873.6109529334898,1043.0763708294312,2509.298020355738
4100,27010324.557437565,1320060.1817924287,2166391.8082949463,2507631.60640362,1337701486.2085721,938.4294358607586,1137.1142858627034,8657.248344423946
4200,26996650.714594822,1368509.2671759576,2123287.912959226,2465870.5498830127,1338421278.1764066,956.4395950686226,1175.212346671814,7304.661966973758
4300,26730958.334051263,1506073.6783448502,2296835.4300648184,2473842.140030027,1340300544.6509466,980.8812586340274,1268.1552223181775,5163.311280266236
4400,26146821.01217243,1555064.3248818293,2449128.0017300122,2498869.16352082,1338925940.4146533,1033.4366793407094,1366.461793747885,6510.984438188632
4500,25920303.7230875,1557882.132593754,2597914.535304682,2424615.8615483046,1341241422.7256517,1080.2033512434455,1378.2494977944748,6446.17056988
4600,25392515.76902424,1628563.5211941693,2612123.4435446532,2453689.751712139,1342620800.0210483,1118.3460623556794,1533.0135911925247,-93.9370002982755
4700,25071905.29140217,1698818.9613633072,2755185.9158396623,2347058.242234567,1343794874.2742777,1227.196800536116,1536.3040183603773,55.956991562321946
4800,25037626.820135444,1685760.157738289,2912928.0367262308,2338116.2699988056,1344213134.6211963,1236.2553538106938,1650.325935002533,-717.2044934641735
4900,24231266.34680964,1792704.1671997004,3020804.0694115884,2367342.273476395,1345726559.0233908,1294.2902774676272,1777.455234781369,-2992.14961547071
5000,24190435.11987338,1783055.1781376624,3029629.990494765,2370739.005781064,1346960285.5632107,1395.3120031192957,1801.7474704363456,3562.7913492166435
