miliseconds,NFAT_phosphorylated,NFAT_dephosphorylated
0,0.9980687427421344,0.0019114747465006207
100,0.96143951934215,0.03862702278446669
200,0.9310981965798779,0.06464145812011153
300,0.8956023140499859,0.09826976688411367
400,0.8655686973529805,0.13025725856788417
500,0.839265003563776,0.16017900748526312
600,0.8123833798256185,0.18400194489915211
700,0.7922643286303878,0.21017032647592265
800,0.7619614659933128,0.2283216719803293
900,0.7395422257672533,0.2519301560660331
1000,0.7212178650573812,0.2698276249229099
1100,0.7253366258492208,0.2658137778756708
1200,0.7258991442536192,0.26294274601874845
1300,0.7295555887218835,0.2582650754819844
1400,0.7302889116885096,0.25144598289354375
1500,0.7412121739433218,0.24764555732734783
1600,0.7384414847905721,0.24189140555029265
1700,0.7467084421851713,0.23374368459350578
1800,0.748128085326449,0.23110222277419046
1900,0.7489842768067899,0.23001787468902152
2000,0.7548035152578986,0.22540859204729782
2100,0.7624002847970573,0.21622364100201316
2200,0.7618602977629705,0.21135894134187194
2300,0.7639394763645508,0.20881778374297644
2400,0.7704587177727312,0.20799511038686835
2500,0.7714408830136534,0.20043920432008464
2600,0.777638943655215,0.19312727154008366
2700,0.7813307149272394,0.19415686871689664
2800,0.782049560214328,0.18999373746877116
2900,0.7829080072279353,0.18688482813273435
3000,0.7813319512825789,0.17840586563997365
3100,0.7620815542591535,0.2032533960294867
3200,0.7372257029296811,0.22554583833187145
3300,0.7140790978861733,0.24826824455427732
3400,0.6895441337648464,0.2641496463504227
3500,0.6692846170058665,0.2884583419221539
3600,0.6553607814627306,0.30203506136217334
3700,0.6305641817829579,0.3220335476118084
3800,0.6208289600855729,0.335751562936076
3900,0.6036521414013524,0.35223030237596736
4000,0.581150863590337,0.36771070521556204
4100,0.5882801196761502,0.358746153546864
4200,0.6005144418018178,0.35284024507044276
4300,0.6011391756249065,0.34082886473542856
4400,0.6104926941915276,0.3348379034853914
4500,0.6122996028884788,0.33190501004681805
4600,0.6208785481680583,0.3253964260466967
4700,0.6222570059976248,0.3126003465880244
4800,0.6284076517464386,0.311863177436968
4900,0.6263326120770331,0.30559715898668105
5000,0.6319343840056815,0.298095334546214
