milliseconds,S,R
0,10002147609.243418,199805.86927205752
100,9985216568.758862,200481.835194296
200,9926944991.565111,200942.64233429605
300,9905645451.636604,202512.56330389297
400,9892830892.048037,203112.71648776773
500,9850954169.547155,203493.6919684425
600,9831726109.858418,204128.84805948037
700,9765488493.084415,204863.24182382884
800,9766428786.980175,205316.1420038839
900,9708310876.139091,205739.03505744878
1000,9698921025.225214,207202.44796803323
1100,9667935804.81399,207682.4335861537
1200,9615849127.232817,208135.9047977376
1300,9580717954.483803,208912.83833950936
1400,9562095461.455658,209545.38153419527
1500,9542075186.482788,209751.9785188931
1600,9490225746.641348,211024.9492726506
1700,9478935862.409712,211355.6834610567
1800,9453511229.887577,211820.45260222873
1900,9433540526.040142,213073.84186426798
2000,9385581541.36687,213280.21102809024
2100,9379377208.993505,214156.85991906188
2200,9328507774.4006,214841.9652178008
2300,9306470504.97552,216276.18783901798
2400,9257136722.018288,216740.74720866603
2500,9261179975.571999,216755.3611754977
2600,9191517038.714878,217997.72800004843
2700,9172934393.978264,218515.1029585955
2800,9156236988.047829,219512.6525032596
2900,9135852481.403399,220643.72178699964
3000,9079784567.372463,221027.3965050347
3100,9051842639.366488,221198.9981258068
3200,9043067629.531878,222846.18959197545
3300,9014379898.92014,223000.39019199577
3400,8976362598.376778,223998.0976934741
3500,8962347707.456846,224617.00475363518
3600,8932347492.504187,225606.17420863474
3700,8904124919.330751,225617.8106272057
3800,8883941382.653526,226348.48151123826
3900,8839654494.089245,227305.2634986597
4000,8787876459.58235,228497.0368511886
4100,8765170462.219902,229076.92756940806
4200,8770272584.921839,229904.33480909126
4300,8721745046.396318,230896.71391769865
4400,8673016714.913977,231905.81945729698
4500,8679381327.885454,232238.68463998695
4600,8630764754.018375,233158.12628240365
4700,8597893330.67431,233778.13776991906
4800,8564329571.526993,234135.80064822925
4900,8566554827.890545,235409.59931823632
5000,8511477031.573654,236035.38427898745
