miliseconds,S,R
0,10019879695.276068,200313.2081285386
100,9956971946.599037,200419.87858673395
200,9956981467.56574,201238.6730788132
300,9890500217.593756,202198.9110913851
400,9855696634.52412,202128.91673041607
500,9860497263.961338,203723.46792584812
600,9796896783.797016,203981.6730072524
700,9779340404.29726,204357.60074554928
800,9772136939.278833,205256.89865659215
900,9722444945.469969,205818.3715635203
1000,9679928095.14683,206945.48518319297
1100,9676632218.649532,207637.01174351427
1200,9626927925.574245,207588.57095172282
1300,9612752820.760576,208893.07866337613
1400,9563536951.1039,209552.01193815607
1500,9550398889.136185,210596.34611109455
1600,9522567385.95739,210363.16746956273
1700,9491312747.16715,211253.01683900194
1800,9441575182.362375,212627.71138317912
1900,9435975965.063528,213482.18525269403
2000,9402557822.206636,213690.53582125218
2100,9348766847.529476,214289.79507297074
2200,9320434482.315947,214980.85973256684
2300,9300685576.32028,216126.6273253084
2400,9289005883.917282,217059.50951384145
2500,9228912406.08876,217586.1554074136
2600,9200099048.75644,217705.02894661707
2700,9200875359.619432,218203.029321113
2800,9153313157.366758,218963.75199561464
2900,9131187188.436054,219871.16061668287
3000,9104680764.933235,220994.22535498074
3100,9075481303.524828,221744.78997602343
3200,9028368570.426685,222636.32789224043
3300,9004090956.26034,222889.98823184337
3400,8986613672.558123,223575.16998402422
3500,8969391988.491253,224686.70496799133
3600,8931073570.743893,225336.3686280919
3700,8879663508.964361,226411.45713020503
3800,8876904007.809921,227117.18530419652
3900,8836311885.253302,227908.99014397382
4000,8812688595.10127,228260.18763910365
4100,8756766188.71329,229314.2220611749
4200,8767434222.221476,230103.4116181823
4300,8702819198.286541,230372.86727833786
4400,8701473297.298294,231792.65279978196
4500,8655445093.610697,231774.84263881686
4600,8652207383.233315,233065.6769117355
4700,8601096766.67091,233442.4070493957
4800,8580148074.63034,234218.85363663782
4900,8541700738.190128,235104.56623658328
5000,8546200641.426018,236427.74141753832
