milliseconds,S,R
0,10004369206.002512,199868.99716036886
100,9987551905.718943,201185.5952030883
200,9956982303.487217,201693.2619055879
300,9915768099.118341,201727.91186822514
400,9868889870.161499,202689.5554330164
500,9855323001.641535,203193.29194404258
600,9804921546.588062,204005.84175178816
700,9799532029.488008,204826.1749863081
800,9771277536.709738,205587.51420443688
900,9723317474.332766,206418.18353710748
1000,9673164601.640575,206753.5510786555
1100,9679124231.914368,206900.19198807576
1200,9617911644.132677,208235.1873535087
1300,9579182274.604853,208654.48205497334
1400,9585245411.986198,209870.69311219046
1500,9536330294.660595,209948.15937240052
1600,9505587911.765919,210606.4652349923
1700,9457125638.022448,211163.79110769366
1800,9450864484.994198,212532.86955149373
1900,9404905920.111227,212984.92477861245
2000,9389748517.800716,213543.59129848125
2100,9356564000.51362,214020.25413379862
2200,9312084484.490723,215220.83944862202
2300,9320113347.748959,216095.5406014802
2400,9256447008.120983,216998.78593274564
2500,9237184941.016405,216742.34169377162
2600,9214321326.34399,217662.01915929126
2700,9175714739.107754,218417.5275208221
2800,9153038500.148117,219421.5341191671
2900,9127597178.265888,220020.63524718274
3000,9086147391.65219,221294.85644631583
3100,9050522706.950666,221767.6624952994
3200,9037716784.048542,222694.38216480505
3300,9002676803.578684,223383.58165538742
3400,8988192637.506426,223462.4826312911
3500,8930149458.224789,224352.86977156508
3600,8941591592.931107,225191.93164339068
3700,8875406777.199009,226291.53470636497
3800,8847524277.003622,226983.32171587035
3900,8828455800.2747,227316.5472108091
4000,8820881075.869709,228223.17038120577
4100,8760220130.455294,229433.93939293272
4200,8728088240.596153,229696.91069602026
4300,8701980086.856756,231109.95870868684
4400,8711590856.877623,231494.12578381365
4500,8682689478.616203,232582.33856923386
4600,8658115272.484364,233274.45862140434
4700,8612165448.023806,233991.0645468646
4800,8575909016.468102,234682.86604897
4900,8553008303.003715,235451.66184368735
5000,8544222297.506468,236293.92936110566
