miliseconds,S,R
0,10019567927.379883,200299.72198121555
100,9946942171.24677,200378.59204709105
200,9915908457.323536,201351.5340784749
300,9886396902.67357,201917.6370347576
400,9891183539.310118,202538.54777064358
500,9831673346.333025,203747.26815678278
600,9805768176.802809,203986.28432722756
700,9771470853.035929,204807.8458773967
800,9762532584.769672,204912.28294595476
900,9730492333.662207,206325.9948659206
1000,9679006958.376408,206289.18112623887
1100,9670913059.959843,207101.671254581
1200,9643599963.203205,208556.10608199306
1300,9595103112.096048,208893.6612331461
1400,9556675245.60002,209459.52905519147
1500,9529975443.331194,210057.7913227433
1600,9523553786.955503,210489.82646012507
1700,9470811786.793375,211741.25121625673
1800,9431844535.207407,212678.51059397814
1900,9414684254.396416,213292.63751004977
2000,9398453522.518326,213608.99476395472
2100,9357807309.052856,214720.11763222746
2200,9343239467.389029,215174.96225331447
2300,9319239797.293097,215738.325376254
2400,9270268430.18765,216713.40114298038
2500,9223874886.247509,217187.265957347
2600,9224609533.037846,217758.38784719486
2700,9174994365.56081,218311.17349261884
2800,9170658272.50891,219910.4622662655
2900,9136031688.973324,220429.0035777057
3000,9073954505.05837,220619.18293383127
3100,9062479516.73712,221653.35672940483
3200,9019833726.24205,222643.60425415068
3300,9019984076.021105,223316.07483667703
3400,8979002550.598276,223508.4715613254
3500,8954008227.275572,224396.20888561432
3600,8921094793.532173,225259.13572885087
3700,8874340662.459482,226325.33692466718
3800,8841508676.108997,226701.65306078354
3900,8840813393.695225,227759.53747112837
4000,8805475256.122023,227881.9057765666
4100,8789545931.423372,228974.27105943832
4200,8729856403.75313,230337.19435378915
4300,8705574037.87701,230849.24454199226
4400,8672152992.395933,231389.344486166
4500,8656763403.486773,232262.2357485192
4600,8658950595.039682,233467.2763912917
4700,8622803739.204695,233703.93365951674
4800,8581719956.452149,234780.97682630015
4900,8571196414.177683,235784.68372594728
5000,8540034642.60624,236015.6367269211
