miliseconds,S,R
0,10002827601.632902,199924.7265035332
100,9972062233.937296,201170.17766839522
200,9956735525.761204,201431.88366984506
300,9927636035.887539,201790.01156819184
400,9880433489.19198,202154.71067256242
500,9838503256.299986,203104.08111452343
600,9791122209.23267,204397.7950700021
700,9773371666.899952,205150.8042777832
800,9748343368.26861,205813.4410819382
900,9720419300.738966,206393.8784792645
1000,9675759693.513327,206863.22716075572
1100,9664241230.876883,207306.2761042412
1200,9627153854.317364,207761.19827950216
1300,9589392852.462622,208742.59689917255
1400,9584161705.103615,209344.9011598888
1500,9532951165.836954,210128.37487626902
1600,9526270963.915907,210820.10582019066
1700,9498841760.555077,211682.49363940876
1800,9444284954.235815,212237.99250471458
1900,9397704279.318863,213500.71723853648
2000,9395446274.55427,213952.3843703422
2100,9342134440.53252,214531.61281002717
2200,9336665935.126093,214732.24543036066
2300,9306682819.208786,215323.18253534962
2400,9247210066.82079,216065.33795200335
2500,9241596243.660284,216730.95642526113
2600,9210823208.319456,217795.87571617105
2700,9185184460.24015,218255.21528543418
2800,9169367965.39069,219097.93954077575
2900,9116218855.52316,220232.16016205738
3000,9081660363.010162,221060.02083136654
3100,9063838799.071836,221333.05095933675
3200,9053116517.591053,221967.25286155997
3300,8999985338.306643,223313.91962248666
3400,8973376946.299025,223456.64368920447
3500,8966616563.734846,225082.26199138997
3600,8909811397.277594,225171.05458990324
3700,8899233288.084238,225899.57263870796
3800,8847169503.22389,226391.8987960395
3900,8837275951.954683,227773.2646766146
4000,8816801288.202211,228604.99218685267
4100,8764894863.83829,228700.7632061225
4200,8754289443.35864,229584.3828855339
4300,8727760467.443027,230597.15278847024
4400,8696460026.922773,231071.95248857143
4500,8679213243.923859,232537.77923683933
4600,8655250021.486399,232543.3522756379
4700,8629089412.64726,233588.94338435444
4800,8594683009.799133,234262.82440367108
4900,8546474063.312862,235853.38033850872
5000,8526929323.100578,236285.65471029197
