milliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,7.945735002103259e-05,6.29608101539059e-05,0.9994107563453182,0.0004973673562946863,2.7086218808818886e-08,2.610915330250521e-07,7.5546171524177135e-06,2.107263273885229e-05,1.3636713888186323e-10
200,7.945425716225708e-05,6.291837531269338e-05,0.9988677453873578,0.0010150484351692341,5.6748759467623676e-08,1.1420385205128736e-06,7.5702699505773205e-06,4.551847208210378e-05,3.487282574403695e-10
300,7.945869108953296e-05,6.288770728466867e-05,0.9983250124379275,0.0015318377057820683,8.636647198093314e-08,2.646055947103851e-06,7.566672038179839e-06,6.996256739200463e-05,5.63028888583275e-10
400,7.946319701450488e-05,6.285709693692338e-05,0.9977825437561658,0.0020477534443225985,1.1593762615471456e-07,4.772174323330482e-06,7.562991060971716e-06,9.439389816121617e-05,7.77274702800905e-10
500,7.946772100063585e-05,6.282651576601339e-05,0.9972403390432292,0.002562796911555593,1.4546215308425475e-07,7.5194143579521496e-06,7.559309560078272e-06,0.00011881242781455155,9.914334281384111e-10
600,7.94722621450878e-05,6.279595960638757e-05,0.9966983980693249,0.0030769693063477334,1.749401935195649e-07,1.0886798331082055e-05,7.555632463677254e-06,0.00014321816409693436,1.2055045572687235e-09
700,7.947681962215302e-05,6.276542992805256e-05,0.9961567206076916,0.0035902718196277133,2.0437176037262727e-07,1.4873350278655565e-05,7.5519591143925e-06,0.0001676111179789677,1.419488250112878e-09
800,7.948139305025152e-05,6.273492721007936e-05,0.9956153064323816,0.004102705639673234,2.33756929615648e-07,1.9478096840512076e-05,7.548289338455332e-06,0.00019199130010826137,1.6333848070000725e-09
900,7.948598588149348e-05,6.270444918163999e-05,0.9950741553201352,0.004614271956143915,2.6309588598521464e-07,2.4700063773732464e-05,7.544621769534841e-06,0.00021635872178135362,1.8471945481572797e-09
1000,7.949059474546971e-05,6.267399800539606e-05,0.9945332670432067,0.005124971953931252,2.92388584601162e-07,3.053828073347461e-05,7.540957660239046e-06,0.00024071339282615676,2.0609174890772293e-09
1100,7.949522091695878e-05,6.264357274898007e-05,0.9939926413774437,0.005634806818405005,3.2163513929921334e-07,3.699177701946805e-05,7.537296554127616e-06,0.00026505532400060303,2.274553825814491e-09
1200,7.949986380632084e-05,6.261317364529101e-05,0.9934522780977249,0.006143777732297788,3.5083560175305354e-07,4.405958411370044e-05,7.533638756171457e-06,0.000289384525621699,2.4881036533743113e-09
1300,7.950452373933737e-05,6.258280045263247e-05,0.9929121769820154,0.006651885868046587,3.7999009995768207e-07,5.1740741442087796e-05,7.529984053798543e-06,0.00031370100818685234,2.70156746269218e-09
1400,7.950920062346732e-05,6.255245313257554e-05,0.9923723378054646,0.00715913240917487,4.0909870515225813e-07,6.003427977995164e-05,7.5263325065786804e-06,0.000338004782155581,2.914945414873239e-09
1500,7.95138944013634e-05,6.252213163859294e-05,0.9918327603439058,0.0076655185361997925,4.3816149292609867e-07,6.893923227282027e-05,7.52268414260328e-06,0.0003622958579746808,3.1282377035466176e-09
1600,7.95186051792204e-05,6.249183593078304e-05,0.9912934443777406,0.008171045409067386,4.671785320750919e-07,7.845464834671065e-05,7.519038826571117e-06,0.00038657424597629217,3.341444540177846e-09
1700,7.952333287772794e-05,6.246156595754393e-05,0.9907543896820573,0.008675714211681609,4.961499016546976e-07,8.857955846276755e-05,7.515396610135056e-06,0.00041083995662785975,3.5545661286050596e-09
1800,7.95280774792165e-05,6.243132167127519e-05,0.9902155960350288,0.0091795261137742,5.250756772982091e-07,9.931300433824232e-05,7.511757482730733e-06,0.000435093000289794,3.767602669727714e-09
1900,7.953283897080634e-05,6.240110302502245e-05,0.9896770632189563,0.009682482265665048,5.539559343345267e-07,0.00011065404317010996,7.5081214286792835e-06,0.0004593333871311964,3.9805543480824105e-09
2000,7.953761732014745e-05,6.237090997013353e-05,0.9891387910101321,0.010184583845857326,5.827907492233105e-07,0.00012260170969071964,7.50448845231658e-06,0.0004835611275918965,4.193421370023343e-09
2100,7.954241249733665e-05,6.234074245827527e-05,0.9886007791868292,0.010685832023541264,6.115801982699926e-07,0.000135155046058784,7.500858555375038e-06,0.0005077762320200264,4.406203934077606e-09
2200,7.954722446916511e-05,6.231060044091212e-05,0.9880630275272974,0.011186227967997505,6.403243579621193e-07,0.0001483130943634794,7.497231742913373e-06,0.0005319787107627658,4.618902238339855e-09
2300,7.955205326304737e-05,6.228048386575118e-05,0.9875255358179434,0.011685772810265095,6.690233007886592e-07,0.00016207492719062027,7.49360796710243e-06,0.0005561685738158686,4.831516501304355e-09
2400,7.955689882878585e-05,6.225039268442932e-05,0.9869883038356428,0.012184467726027878,6.976771042800328e-07,0.00017643958152854594,7.489987248778688e-06,0.0005803458315815029,5.044046916819259e-09
2500,7.95617611403778e-05,6.222032684685183e-05,0.9864513313607668,0.012682313874570764,7.262858443503587e-07,0.00019140610744476495,7.486369587923176e-06,0.0006045104943101206,5.25649368726164e-09
2600,7.956664017097744e-05,6.21902863025847e-05,0.9859146181739781,0.0131793124137925,7.548495969348277e-07,0.0002069735561146753,7.4827549856778214e-06,0.0006286625722377211,5.468857015378598e-09
2700,7.957153591586828e-05,6.216027100695562e-05,0.9853781640593045,0.01367546448586991,7.83368436060345e-07,0.00022314099123573738,7.479143417196422e-06,0.000652802075457771,5.681137109153523e-09
2800,7.957644835691144e-05,6.213028091180323e-05,0.9848419687993862,0.01417077123942919,8.118424368203204e-07,0.00023990747137420104,7.475534873480209e-06,0.0006769290141193643,5.893334174207316e-09
2900,7.958137746659328e-05,6.210031596653032e-05,0.9843060321760173,0.014665233827021657,8.402716750359828e-07,0.00025727205197496937,7.471929356614778e-06,0.000701043398404661,6.105448414663528e-09
3000,7.958632322418806e-05,6.20703761223094e-05,0.983770353972306,0.01515885339504418,8.686562259039723e-07,0.0002752337933871771,7.4683268607506945e-06,0.0007251452384387997,6.317480036602935e-09
3100,7.959128560913982e-05,6.204046133227622e-05,0.9832349339721008,0.015651631086408446,8.969961626211666e-07,0.0002937917587399246,7.464727379918272e-06,0.0007492345443120987,6.529429232997061e-09
3200,7.959626460107002e-05,6.20105715516493e-05,0.9826997719600099,0.01614356804044679,9.252915562656923e-07,0.0003129450140173454,7.4611309080202885e-06,0.0007733113260791133,6.741296182872161e-09
3300,7.960126017936815e-05,6.198070673129252e-05,0.9821648677203209,0.01663466539798603,9.535424822062929e-07,0.00033269262401512803,7.457537439224577e-06,0.0007973755938094544,6.953081096341185e-09
3400,7.960627232360239e-05,6.195086682417318e-05,0.9816302210380845,0.017124924296257397,9.817490136724477e-07,0.0003530336563969345,7.453946967570176e-06,0.0008214273575368075,7.164784169427691e-09
3500,7.961130101330767e-05,6.192105178299852e-05,0.9810958316986436,0.017614345871114195,1.009911223967276e-06,0.00037396717992656253,7.450359487315337e-06,0.0008454666272809969,7.376405598599788e-09
3600,7.961634622714436e-05,6.189126155581853e-05,0.9805616994862105,0.018102931263727733,1.0380291895699123e-06,0.0003954922591271558,7.4467749950611495e-06,0.0008694934131137194,7.58794559334042e-09
3700,7.962140794527672e-05,6.186149609845807e-05,0.9800278241878874,0.018590681601656275,1.0661029813643048e-06,0.00041760796938096695,7.443193483747518e-06,0.0008935077249727021,7.79940434060798e-09
