milliseconds,C,A_T,R,RC
0,4000.0,0.0,53.0,0.0
100,3571.354921975006,0.0,0.014750319726228438,52.90891393873748
200,3231.498785690278,0.0,0.016293430153624944,52.906493008205025
300,2923.9853803530814,0.0,0.017997025894058362,52.90381978167472
400,2645.7368184780516,0.0,0.01987758548012547,52.90086823693583
500,2393.965114945078,0.0,0.02195328055945846,52.897609690904886
600,2166.150541696809,0.0,0.024244030063063082,52.89401261963783
700,1960.015792398875,0.0,0.026771640829627137,52.890042431313304
800,1773.4985568791237,0.0,0.02956038824015555,52.885660771445046
900,1604.7314298416154,0.0,0.03263686931130748,52.880825522208625
1000,1452.025212242406,0.0,0.03602926718201338,52.87549142773404
1100,1313.8521724454556,0.0,0.039770028044010676,52.86960726821197
1200,1188.8287630557438,0.0,0.04389359177794677,52.86311791721168
1300,1075.703537371058,0.0,0.048438014480166484,52.8559625898304
1400,973.3443013491727,0.0,0.05344486255991731,52.848074738567924
1500,880.726603787807,0.0,0.05895957110630336,52.83938149191276
1600,796.9234900599157,0.0,0.06503132999587298,52.82980354646279
1700,721.0962236938632,0.0,0.07171349135158896,52.81925450966587
1800,652.485893676037,0.0,0.07906594274426156,52.80763829805967
1900,590.4058244788043,0.0,0.08715060843168224,52.794853312744316
2000,534.234675183202,0.0,0.09603634297116044,52.780787324931794
2100,483.4102538932701,0.0,0.1057978155031058,52.765318235912055
2200,437.4238777839722,0.0,0.11651499136248536,52.74831429517461
2300,395.8152815953755,0.0,0.12827385891769644,52.72963301583701
2400,358.16801011516196,0.0,0.14116565645413004,52.70912165828054
2500,324.10524323222955,0.0,0.15528969592478428,52.686613983949414
2600,293.2860313410153,0.0,0.17075096763957176,52.6619323207681
2700,265.40184534264534,0.0,0.18766049388472858,52.63488684250978
2800,240.1736081148857,0.0,0.20613622630441672,52.60527432268937
2900,217.34884128912572,0.0,0.22630254942973566,52.572878246118634
3000,196.6990069157249,0.0,0.24828854916756976,52.537470203677515
3100,178.0173740217553,0.0,0.272228905706771,52.498808737962285
3200,161.11679414341842,0.0,0.29826433206501457,52.45663854802326
3300,145.8280437860695,0.0,0.3265382988085038,52.4106935413344
3400,131.998138374017,0.0,0.35719540748289347,52.360698342840074
3500,119.48858599535288,0.0,0.3903819123689886,52.30636767774807
3600,108.17394973264423,0.0,0.4262476590852298,52.24740430183446
3700,97.94072505818218,0.0,0.4649440728731086,52.1835008744269
3800,88.68628211405537,0.0,0.5066134252792837,52.11435084815861
3900,80.31778745948658,0.0,0.5513761286976429,52.039661982899
4000,72.75122125226838,0.0,0.5993510836956677,51.95913686392568
4100,65.91056832309,0.0,0.6506748091482745,51.8724534912347
4200,59.72703013145425,0.0,0.7054471149739753,51.77931945100765
4300,54.13833664792908,0.0,0.7637452378456582,51.67945994887391
4400,49.088136919513836,0.0,0.8256382436771216,51.572604468374266
4500,44.525418061553765,0.0,0.8911650397399207,51.45850935868752
4600,40.40399987244397,0.0,0.9603393681218638,51.33695464420824
4700,36.682074695936336,0.0,1.0331526460505682,51.20774263698011
4800,33.321779376612696,0.0,1.1095604803599444,51.070712865500525
4900,30.288822163671735,0.0,1.1894871124913216,50.92573960884263
5000,27.552133817451057,0.0,1.272822972029833,50.772736195317904
