miliseconds,P,G6P,F6P,F16P,NADH,NAD,BPG,P3G,P2G,PEP,PYR,ACE,GA3P,DHAP,D6PGluconoLactone,D6PGluconate,NADP,NADPH,Ribulose5P,Ribose5P,Xyl5P,Seduhept7P,Erythrose4P,GLCi
0,5.020596742288108,1.3746282887615409,0.2839221908514157,0.11458757259571811,0.38930445873727265,1.2010054502919543,0.10024056616013576,0.09111924567848811,0.10093772332315273,0.0979628887045766,3.260238260517434,0.04025457494799264,0.04988147106099807,0.9939305894553886,0.10609536122888841,0.10650292117965135,0.40568944165736215,1.6027000831433047,0.09655729390243574,0.0985683686175468,0.10292627955588424,0.10950652495884618,2.7287313067504576e-05,0.08690639108718308
100,6.013462034861752,1.151148254237128,0.12610490303732194,0.8790722762997641,0.11406250813035944,1.479246402037432,-0.0001635973616318104,0.33901909598014884,0.04205395052722327,0.05969371970577257,6.327421213337068,0.06397584970903557,0.038939355535140975,0.9600239980170281,0.13490319685345875,0.12652910334181974,0.5727401892656345,1.4170237698292705,0.08732128841132374,0.08635603460732372,0.08027591194677679,0.09500976922539432,0.022530844919373096,0.11050002645738455
200,6.616375469121477,1.507261050138506,0.17417663109998424,0.8923908686595712,0.06475377491833571,1.521617152237507,0.0010731905365586655,0.4075622542366518,0.0510798170655252,0.08283633384947801,7.699873059396079,0.1117136213028694,0.03859856256891977,0.9752934748053749,0.17750107600910434,0.12329709722853067,0.6934620766045496,1.3036169949882213,0.080702582210214,0.07747534257222653,0.08164558467060976,0.1131391068525253,0.018734869526414823,0.09154577671218997
300,6.848121989982366,1.7502824741689016,0.2161730261187776,0.9807023572421699,0.056147204548227525,1.5343930641000323,2.3240069357617307e-05,0.45919435335248127,0.058710217111361,0.10867934391805385,8.537233893756946,0.13143367194323266,0.04045929071883643,1.022434361695409,0.23416294071913116,0.17527319160406488,0.7564393145690841,1.2443121331964824,0.08045641387979993,0.08381972605012074,0.07884025366610439,0.12421824479285361,0.017744207297686977,0.08606097731436538
400,6.980418542237798,1.9440599640260192,0.24926152121132583,1.0179832422389643,0.053348803213856585,1.5378511277118154,0.0004489892445522446,0.5003484904496363,0.06334411083395641,0.12535835448940166,9.40775397823463,0.14449474199789128,0.04167294979030114,1.0621328076626961,0.29107775620435483,0.20339492982751198,0.7891491010528077,1.2131452504304396,0.08728511461751584,0.08958618888157176,0.08356606110905136,0.1491163595072743,0.0172666428888197,0.08318581821174298
500,7.060143220994191,2.087727462782231,0.26947028896195313,1.0822172419903515,0.05109191560640981,1.5413386786092058,0.00018921309636007588,0.5268384149140507,0.07025156011182913,0.13577010702622042,9.786818394337976,0.15254340011574682,0.04298502366520548,1.090898977132848,0.3324164439698761,0.2387440912873068,0.7863322727920824,1.218615392153531,0.09753927593192908,0.09267695170608115,0.0972482561126477,0.15754851109540857,0.018754454907423963,0.08196161518837884
600,7.151908028396961,2.21822180515996,0.2955529527875232,1.1449503875905565,0.04706227005226777,1.5400805435673315,0.001238245160025603,0.5689244747047361,0.07448129729349327,0.1501540385769276,10.315226123764173,0.16015685783570957,0.043721526831175604,1.1117020901338361,0.37721986433900473,0.2526311849879754,0.7729685234550587,1.2233922340661776,0.1089695394675814,0.10520841607501961,0.10411750605182539,0.17358605888490342,0.01875516822554559,0.08047080104562068
700,7.194373054470916,2.3157110026713665,0.3099199418068134,1.1797129474025454,0.04721008278768096,1.5441935500929427,0.0011647112986389208,0.5907706034950976,0.07804989424349072,0.16185947032092002,10.592687150124753,0.16557663797286357,0.04510567292315622,1.1381257099506477,0.41732283076242743,0.3064909386006882,0.7607908204628321,1.246967643647607,0.1174190870793264,0.1179822273968557,0.11831925614590792,0.19163399993141747,0.019952629479264006,0.07997669504296022
800,7.215027040594017,2.380291584430252,0.32209203267321496,1.2062367841489885,0.04581940982723454,1.5454758327412137,0.0015510098866705685,0.6180735764373049,0.08113417498131202,0.16949312423318863,10.95673285218223,0.16774295069942022,0.04587497292415268,1.1578572524057098,0.44566931228932044,0.33384430672719384,0.7329014290027475,1.2711248769431127,0.12777070144846076,0.12540879020789078,0.124327229212876,0.21442994021802061,0.021849637255615516,0.07934669015754252
900,7.269338222819298,2.482700927637435,0.3377327465038017,1.2622117960492734,0.04689410628844664,1.5450863748318389,0.0011439032801503891,0.6350892614150512,0.08476704274815985,0.17876204530354375,11.19804636253024,0.1725191283399286,0.046597339569768616,1.1763551562003522,0.46836746961231013,0.3832670265600129,0.7005207009702967,1.2997270257861149,0.13373346212005474,0.13428922650119962,0.13110751437075094,0.2341203511143173,0.023440518869606825,0.0789890955902952
