milliseconds,M,C1,C2,A,T
0,38034748.08497061,5593104.553739055,3762975.9415441905,2006554.1587443657,700229.5666836808
100,34974740.89881137,6348032.617460301,3721037.05515144,2018931.0286628401,664582.4527565752
200,32852082.68830096,6922066.939454542,3677773.2883929205,2061120.3126189243,645487.2918820375
300,31124669.42739908,7489118.897747995,3647803.2461300394,2087895.0780968454,619465.1682736661
400,28851460.04872656,8050147.420465969,3619494.1898768824,2120036.0702138413,584074.4687929504
500,27204407.83005739,8521672.482825113,3595219.7893901924,2146355.2720093857,563455.1365388001
600,26037911.44881728,8975894.430798266,3571321.5739768697,2149939.9160193712,542465.4157610057
700,24444053.43103344,9345799.609245133,3548015.7510585985,2175934.915239715,511287.3900537718
800,23029887.150941808,9576159.999211365,3523667.5084485877,2220889.8059162092,500823.47505991656
900,20989957.184872814,9916029.905212464,3507473.0280845184,2243178.9273753474,473367.9534554954
1000,19906205.80081962,10117018.482363168,3494079.993006742,2265504.6490203184,461438.3060659952
1100,18378070.818805188,10467248.62479276,3479507.563504746,2280805.336216697,441236.41675159667
1200,17751015.496398736,10580425.434344986,3464047.6084451824,2288078.6144332653,423005.1635701562
1300,16664049.266981574,10818252.601142924,3442621.075846626,2304928.3476174637,411750.874700745
1400,15455078.006761618,10915864.470495382,3435390.3106395816,2328618.9398167883,396187.7956225883
1500,14750959.722934913,10991593.922310136,3435545.0563010992,2367304.1784144333,378885.7559377334
1600,14118208.373381684,11175751.67664315,3417916.982128543,2370607.7696921714,363629.3767287079
1700,12642888.68157954,11172728.078016033,3406145.8051822204,2401727.2604038347,355618.6595556383
1800,12128566.46008471,11246060.039606238,3398055.274978879,2417740.8018561294,343206.35509944626
1900,11409271.394714141,11276166.94938412,3391860.562639201,2432029.7905115318,340725.11410281825
2000,10568642.779123282,11323201.89150555,3381919.715425943,2441730.1876822053,321176.7522433805
2100,10252205.275615128,11449322.161286043,3385755.3182585677,2463836.441986871,308368.7261026373
2200,9490185.715303225,11346381.761462977,3374494.2232864383,2485065.2485549944,300182.2694494144
2300,9046025.88377664,11406266.22049638,3361334.4230606067,2492195.478928685,291813.7339157319
2400,8742753.598494295,11420090.207778055,3362484.8603661414,2515897.9204958524,286422.78568108694
2500,8005907.636480853,11297554.637968156,3358073.0627552466,2537993.572422693,279999.46473353496
2600,7583278.931278653,11334321.15450208,3340324.986956312,2557329.0999587188,270431.49636350793
2700,7164521.683463067,11192982.157354925,3331263.337117499,2551417.8198052496,270323.39336949517
2800,7021491.223905187,11149759.821881218,3326716.851564943,2577913.5417841184,257248.87560528208
2900,6998204.027830676,11085730.879955618,3324195.8009470836,2587078.7284158883,247981.76421720194
3000,6161979.412070213,10992830.254731586,3309537.485206044,2607222.5222551553,249269.5323274085
3100,5895532.618253496,10999347.660098657,3302429.8718684018,2617388.6316629034,250648.40860082288
3200,5366159.165958095,10856509.879998256,3306284.063457171,2625566.908271532,240358.349571894
3300,5506522.939618204,10781539.669081405,3291826.767366494,2663671.1176829888,227559.99438906426
3400,4718804.126346411,10659514.590845766,3279477.2458291156,2673565.993618979,224751.01244625804
3500,4480854.885529323,10586125.595094854,3265289.686321792,2673425.5714487643,221132.1786494682
3600,4883718.831647765,10516689.768077144,3255846.8545872094,2689455.426292767,227357.76035906613
3700,4482725.017973128,10472795.88300779,3246702.3486899957,2697346.8280583667,220665.81727374322
3800,3843780.7933639237,10363183.019465998,3240316.3551709033,2721993.149664681,212827.51735940925
3900,3815587.511064108,10188639.306682816,3239300.3931868463,2733129.3475909582,210758.67346943868
4000,3262571.1473999093,10090819.612074122,3227054.196615236,2738078.756600855,213817.39384576338
4100,3391143.2509619086,9966354.861789703,3205145.278444783,2760972.240728845,205260.0123639693
4200,3589069.1470569135,9851029.135874316,3204171.707036214,2765002.653852052,197514.0482121953
4300,3532575.4752723537,9770111.250728326,3186441.993318057,2787150.5619460884,203380.5409166129
4400,3415982.086950991,9599946.853576113,3174254.7578459326,2799280.6722729094,197376.8364281686
4500,2552973.7862215405,9564990.77304794,3156950.7196110645,2819435.2676787763,201161.83110298292
4600,3246888.65931461,9356056.30054742,3149468.5498361913,2813196.3694278034,189902.8649074548
4700,2862434.5368750095,9348916.199849213,3131222.614496593,2825104.4760881127,191164.48203712687
4800,2259668.9221845507,9202959.055758003,3129965.525823076,2855077.1330995397,191550.720924994
4900,2796281.1206914876,9019327.154871896,3105325.2714194013,2851142.290641899,183267.21597035433
5000,2053034.3473488004,9017485.849379662,3093431.130934683,2855035.935524175,188323.9113229298
