miliseconds,M,C1,C2,A,T
0,37292810.55920904,5646953.315494591,3758110.905631786,1995399.6671753211,703077.7999503113
100,35408915.8733173,6276355.297943262,3715268.270549832,2016670.2212946913,675682.38665201
200,32820690.396529637,6950065.437690137,3685067.8285770686,2047397.6166756297,635285.6016883313
300,31075351.835736178,7510616.9758848315,3653585.207778213,2092201.2826404946,608994.8898086759
400,28808194.780797184,8096227.322697713,3619836.8227350083,2109100.8127291217,586641.9622885553
500,27460504.94112944,8457303.961668665,3596965.3935244763,2140651.4138048613,566324.0339051125
600,25950933.861450866,8918463.758143906,3562411.415859357,2168720.627978901,533314.0600367638
700,23698345.56945512,9253477.01928946,3544829.3018246517,2191593.984309919,520211.7959300219
800,22731599.503872424,9589312.8092058,3518161.746654691,2210559.8899883134,500631.72422306234
900,20892629.988644175,9862638.386164023,3512283.012212661,2231964.705443927,476191.1480868509
1000,19783505.352794256,10228930.292479642,3492684.690709977,2261967.4342547865,464400.8122467952
1100,19061818.134656545,10377083.82866877,3469166.4089762336,2281343.7709798794,441200.70625597436
1200,17588788.05945581,10645463.823474541,3456978.8559728097,2288253.2612918997,433286.34874025366
1300,16579410.438599953,10758446.10324657,3453931.274632699,2308588.659901071,408887.9442499419
1400,15680342.946458433,10989450.559007898,3436180.5863931477,2339738.8317920333,389661.7959245762
1500,14567612.29977596,11094433.195682304,3430139.5854148674,2350443.4281660113,382602.90736776585
1600,14001917.046949066,11213375.538993917,3416296.850310211,2376495.749619301,368922.8094621948
1700,12706346.420916485,11214642.42626084,3412327.0876846407,2383246.2889485047,363476.305156651
1800,12522987.235896612,11304218.213254085,3396014.299407206,2404616.0245873076,344008.1459810971
1900,11434420.0070966,11333237.455978537,3394966.9197687157,2432015.7920987937,337260.0387678362
2000,10862439.120876633,11432902.238037918,3379491.056941188,2456063.990483963,325242.04825493396
2100,9825261.604378765,11408837.385429207,3386807.0554314367,2474600.868238435,316069.65895684384
2200,9688941.374849353,11453176.187553573,3370762.044863897,2490766.9654589416,312415.69243132084
2300,8944601.526151812,11435410.149249155,3359173.4205083023,2503647.7784060095,297718.8308770508
2400,9089476.217336444,11357951.177479897,3362654.5451268437,2524969.357562058,290731.1394278304
2500,7705846.125786961,11275686.893804045,3349666.208416165,2530950.3993052244,277952.88829416997
2600,7929817.387281294,11332037.028094469,3351452.074879443,2538255.791758183,266725.83826127753
2700,7618767.696379489,11252579.730332514,3342827.8192526805,2572814.734954856,267244.4493895942
2800,7116879.107052457,11203711.08050623,3323856.8120053494,2588040.742926481,259192.48462542202
2900,6992922.327360468,11130682.640002888,3327589.094051585,2582423.364949374,260676.17995649105
3000,6023967.179299339,11045625.331085714,3316056.9720502063,2618837.85893851,242602.88590095128
3100,5813750.841472107,11029533.396908317,3301249.619999143,2625527.8582262397,244551.66273779087
3200,5898778.7870032955,10873690.893648876,3299448.4060015082,2635940.857680275,238883.7574186047
3300,5511470.73355601,10790901.57923087,3283333.0020546536,2650921.0915202443,228652.11454965846
3400,4694331.813835154,10678663.805844102,3287996.329398004,2667531.585006403,234923.851517977
3500,4467794.765864441,10634795.69862343,3268332.784745137,2670823.0811875095,225114.56974795318
3600,4797484.155978299,10477626.102691997,3260739.5432843436,2702651.6626060707,225181.85802643833
3700,4540623.418132708,10399953.235624433,3256826.962541564,2699672.4865757064,218677.57858067373
3800,3947434.222772169,10278351.442684226,3241566.449704072,2722789.179754276,210913.23896141478
3900,4365699.970473158,10164295.880119922,3225658.3373235655,2733712.4012729274,217195.11251738237
4000,3399230.463284306,10135105.45110129,3223576.8397901575,2756757.991995856,210616.78386914582
4100,3935604.071459608,10008981.285549108,3209882.839379245,2749302.522113548,202466.83991508195
4200,2952391.2699107495,9916619.300181232,3197406.8786974614,2773657.436495387,203270.8848150282
4300,2853013.0191423814,9714972.655068018,3187291.416682107,2772985.7274902808,205129.86020903772
4400,2836621.461660845,9673772.685681188,3184612.506204106,2788297.772770853,199264.22173943502
4500,2852023.7844352834,9536425.537083665,3169376.7719775965,2803652.4207339487,188981.21548181362
4600,2964965.91758466,9481057.712973645,3150477.9882190265,2818740.7045213305,194100.72547981222
4700,2814483.6193024167,9305202.005681042,3140078.956955866,2829272.5704447087,186552.43070553028
4800,2901599.165449151,9149503.591431642,3122415.542165298,2855693.937911096,188367.31144982923
4900,2795939.5127587295,9083675.092036834,3118362.011791118,2855835.61494122,187997.89227634826
5000,2753623.6981163016,8901350.471193952,3095105.15009037,2856071.6985536166,184233.8661668177
