miliseconds,M,C1,C2,A,T
0,37503831.31363044,5670840.091962723,3762918.8113049814,2010097.817426393,699520.1111064056
100,34847533.05471565,6342885.590588938,3711556.201845685,2019993.1711191614,671932.5398405589
200,33162015.836937062,6925452.251817557,3677038.9595739804,2045030.0502089085,638098.1080961121
300,31464013.47829388,7492710.104852884,3646129.571093233,2079998.2017874282,611137.4895978088
400,28706232.891040016,8061163.387524159,3619158.0411846377,2103808.533899783,590777.432209547
500,27331450.22366299,8518402.176697914,3587294.3913138676,2139897.547094441,557120.4489878961
600,25759877.91915835,8893547.627325423,3574718.539455206,2149966.1324458504,540692.9010380848
700,24019201.82572345,9237036.012052014,3551441.096366689,2173230.7905049315,520038.606682952
800,22237952.9235491,9669036.12535225,3524994.1289245873,2219939.6615403052,498334.33529018186
900,20966270.17906182,9892815.171146622,3510433.3219691277,2236742.554903021,485178.36842311954
1000,20325560.693042994,10174633.8156835,3484433.2798117893,2242346.2455662806,465374.9336759083
1100,18540084.905796487,10390968.24348735,3473960.3107577777,2282014.924420086,442981.27903153934
1200,17863188.143658046,10642857.225882182,3455809.3194277035,2290078.204791017,425807.0483379749
1300,16561982.420518348,10841950.863022247,3448832.8865211494,2321704.170777888,410151.2593614257
1400,15588337.528809125,10912093.970528437,3439980.7906659087,2347750.3408666407,397414.5568180242
1500,14893461.679985039,10986086.02058358,3433345.82224064,2362974.237673357,375414.1021156986
1600,13848474.77799378,11084965.901468968,3415283.390131463,2380015.8307934166,365364.2558749507
1700,13263882.963456782,11259967.617879614,3405709.692261172,2388875.3229069184,352149.8625091395
1800,11932090.377996497,11353726.878006568,3406222.7717828583,2407961.392561142,351529.2059228701
1900,11782384.377008425,11361668.48294745,3396296.9666023212,2422828.984508597,327709.9805004543
2000,10643690.74864028,11410671.530307055,3391515.75186482,2448634.884801664,320961.2617284636
2100,10712444.795005396,11381932.451937735,3372362.622594355,2466145.562232285,308027.60551899276
2200,9638772.321158752,11367656.551625248,3376740.451165193,2477997.7372679333,298925.59948484297
2300,8713125.273561306,11318683.666291347,3358503.628171551,2501783.640718473,289981.56083656696
2400,8592375.131233793,11412660.790992124,3358828.7712415373,2511972.027712067,289177.4194793101
2500,8474039.305001616,11317306.530644638,3351370.8090067366,2536037.743240374,277046.56275613594
2600,8150138.960606137,11312909.518590087,3346746.7025145288,2551322.770346281,270822.15710260224
2700,7466434.034927643,11216361.904181996,3338833.2376041897,2560614.6555699604,272463.6166091194
2800,6521188.518598215,11191631.396338781,3326590.9196170988,2584245.4009436877,259761.062945475
2900,6852722.939532744,11095538.288558496,3323944.1512561576,2597794.7003754317,251520.60410494907
3000,6598816.372451515,11095422.499283345,3312742.5712501844,2604243.35563668,252548.8353283382
3100,5782307.101974885,10953429.37046676,3314396.6963847335,2611066.880233662,244436.22601018506
3200,5537916.47538195,10869776.894228263,3302576.350495261,2631696.5315662627,236645.43494468016
3300,5712679.74175661,10763269.475409713,3284400.6372891143,2661934.4121370753,235848.32776494278
3400,5456358.816802325,10762393.058828996,3279796.0033815643,2666991.0128402705,232540.5168567426
3500,4662479.1981660435,10570270.236531552,3271712.4032082153,2687689.3680465426,228826.71609390204
3600,4632611.530813168,10528229.09133484,3263337.5721625155,2687446.8188876756,228378.18486805505
3700,4470270.0650128545,10417552.342395736,3251372.725339092,2705433.516326869,223726.760028077
3800,4044341.289982469,10366732.48892925,3250913.8254058696,2711586.91486056,211338.67397311798
3900,4375316.438966501,10174648.06125321,3227351.3730640495,2733423.4445302514,210973.3874824544
4000,4191369.416197208,10135019.107973078,3220305.4760416984,2744731.542672345,211364.3346876205
4100,4004743.7147812294,9954929.029899009,3212918.134610205,2747057.4966390235,203059.00819149057
4200,3862016.436160706,9846621.550948668,3198551.532212083,2759514.9846037463,200336.23361862628
4300,3389964.6569239916,9817907.953712812,3182991.255936131,2784943.1104137413,203580.47331252735
4400,2734888.9847193863,9590337.277659189,3174121.288092376,2785108.573300095,193147.43861064143
4500,2605247.250540248,9495999.721554639,3157696.405958633,2819447.442997186,190349.67408504302
4600,3373970.6617353493,9466977.078868577,3153359.8246891764,2810962.5301402803,188213.7671213287
4700,2703370.7507870835,9271787.220739834,3146202.5695936745,2834833.0195048624,189747.99481565983
4800,2291087.3706373507,9218745.908602243,3120468.496630496,2844553.658190731,186086.822009321
4900,2184052.905746854,9093000.771500295,3109871.9139420036,2844720.30552929,190069.98677256826
5000,2023361.236766449,8932570.856305206,3090047.6285762405,2865759.3219211297,187752.78456619979
