miliseconds,M,C1,C2,A,T
0,37409321.476413436,5681779.021167613,3768082.522429403,2007020.4874702604,697056.9612451221
100,35650068.4015394,6326452.7248818455,3718836.1979414914,2021486.0858430676,667635.7615508109
200,32762693.800915904,6955134.802492061,3681715.9915288095,2067879.325359023,638894.6479454738
300,31223969.55947544,7467904.669838421,3648806.6631565206,2094343.130782721,607603.3268525421
400,28842005.33519982,8001029.071390462,3611380.5535096116,2111236.7775018923,583954.7483923631
500,27048898.81335982,8474450.11437099,3591167.8111771634,2128011.7634697715,561956.8458857073
600,25173343.73147046,8909006.440400243,3565031.5176681466,2153922.66993844,540671.1255524668
700,24542141.30107538,9339920.64745672,3542122.365454595,2180778.7764728786,516412.77951803885
800,22898015.31440798,9615550.231538875,3520980.895353773,2203207.4591283463,495482.3914060718
900,21585391.685044702,9949666.637640858,3506203.773466541,2220601.786986499,482828.25716338085
1000,20171245.644919004,10134446.631232413,3484020.857135184,2244620.082064665,459086.93567443884
1100,18941102.962251082,10382594.579507481,3480253.437816559,2279488.2324482696,445302.12655845965
1200,17845282.344656423,10562881.145153655,3467469.7278703214,2303409.613917192,425944.17691843037
1300,16629757.880928228,10778279.16579196,3458196.697980419,2323377.4251876744,409430.20418198296
1400,16028293.340394927,10950513.132375967,3438012.903593429,2330816.1550117903,398227.1048047163
1500,14931020.720734417,11028317.800487151,3423989.6130530625,2353772.1379176923,385799.0871700084
1600,13915193.082921505,11120422.262413058,3426609.8355060373,2371858.6178281195,372569.7894924093
1700,12566164.836987356,11166513.332261458,3403938.2110748007,2400689.3793372796,350819.2673768052
1800,11949595.519555025,11237722.904712794,3405238.305460635,2403301.345539305,341955.5349404372
1900,11110615.114299161,11305586.761390151,3397632.570261717,2435487.1140623125,333315.2794644231
2000,11065433.986867895,11310844.274476435,3382646.1211489136,2435996.221202322,327843.36498290196
2100,9797026.24776655,11330946.487649439,3378387.361717662,2477661.177423043,321644.2689399847
2200,10005934.570621524,11449181.539726546,3379629.4051351445,2492955.775839814,303195.69793003355
2300,8927014.899882676,11398807.073993208,3359944.364398308,2489155.4387788055,303217.2037322778
2400,8486125.801263183,11297887.984096678,3357123.776760975,2506651.0774051487,293002.692621775
2500,7682570.248983696,11343636.239824547,3348734.719833237,2528293.7642120724,276343.3947801378
2600,7265011.292027212,11264351.001691356,3347717.696377225,2555871.139971624,271613.0028846244
2700,6947781.60872858,11275583.597770821,3335993.2949849963,2551805.12414355,260705.18752159216
2800,7186191.882559899,11167603.076595431,3330114.9115583175,2565745.7559113316,263933.69807264296
2900,6529845.253335117,11051575.537027977,3325301.532425146,2596907.183264532,247809.35191228037
3000,6293623.204937327,11075931.517849213,3318568.62223966,2613251.436053526,242401.50675655832
3100,5427334.64402882,10977926.989121044,3312285.0625673686,2621137.2155184457,246870.46671335446
3200,5881516.347194988,10858614.231409004,3295749.7536902013,2647849.8682074533,238413.40827155436
3300,5259508.115261833,10802823.639582746,3293807.352629877,2639592.7496285387,235339.087898325
3400,4650813.394405902,10705674.10187833,3283501.578495634,2665199.599916243,235166.3987750772
3500,5080681.268198261,10561986.192322904,3279290.2748318873,2681347.4282366512,224553.79801543336
3600,4237842.5302330665,10547198.421068199,3264422.280232022,2699951.5527324965,225023.35672731945
3700,4786753.146664935,10475583.23693618,3254020.509286797,2713523.6917098723,213078.00710732496
3800,3882526.150720911,10241931.744339682,3238272.1715318933,2710168.087003985,220269.4892000818
3900,3770954.3859316166,10199562.303388968,3228007.2114863005,2733667.504530851,204715.94124666243
4000,3331312.9893620946,10029729.680365432,3228940.802790743,2757866.592859592,209303.08045540092
4100,3335409.588814481,10011551.383326102,3208529.843826724,2750379.3271797867,198246.42491165522
4200,3837744.118910524,9835648.529672,3194478.797947968,2774107.824913647,205882.2158145741
4300,3067279.7288949257,9703928.847033719,3183280.142850554,2794189.0029306407,198035.5461766344
4400,2727831.130997458,9691945.899042992,3174532.2620450673,2796841.176502791,201638.466948172
4500,2692729.6526872762,9491672.647034079,3157534.5487734666,2816195.0776744257,198938.6944224357
4600,2773599.24679156,9356049.949511744,3144557.1270414777,2830907.924412962,187008.99207878546
4700,2368501.544800401,9279980.246534675,3143986.7896037917,2821857.631444808,198245.71830959385
4800,2946498.732364653,9204728.530569552,3121321.0934254276,2848832.577733623,193797.85378190305
4900,2965840.6148541463,9130217.549335267,3119921.522860042,2847834.1674802126,185431.93815426686
5000,2459969.842515232,9002794.300145166,3099331.46481471,2859677.307745182,193929.86636288732
