milliseconds,M,C1,C2,A,T
0,37333900.04440717,5623438.890762444,3763484.369422819,1991884.9752462076,698830.6263613685
100,34910581.97376468,6374860.02978609,3717043.0671974733,2031647.3913563762,665472.5295646795
200,33040681.899580136,6925076.514545047,3679119.2680761158,2061096.1549977618,645054.8728443718
300,30768445.312826224,7540563.538930705,3648327.626273835,2088331.53930403,613755.5446023659
400,29088526.708025992,8056841.010286909,3626218.1290958556,2099040.1388930995,589059.3781349814
500,27045897.26376106,8511488.002348052,3594801.9077731646,2142081.443471067,569600.1454521146
600,25966088.560609654,8895217.997287009,3566081.9750718614,2172933.3612739462,544600.7264560059
700,24049511.006674312,9314453.882473303,3539745.2448879774,2178821.3732213844,520072.2421723908
800,22369996.80213241,9663232.563969072,3518424.812878859,2218578.8290022444,503814.2471606785
900,21126139.4862418,9869789.126646351,3499178.828234558,2224757.587542633,474250.7544511122
1000,20125551.3920866,10122593.123399548,3483218.100380312,2244684.115080813,453279.5565828964
1100,18941966.273570873,10343838.496947575,3474023.5686907386,2263147.984909057,439579.9206218695
1200,17704552.617963083,10656516.137440354,3469266.753088056,2306171.077367837,427097.0993891484
1300,16796412.38461225,10775418.434475953,3458403.4821531675,2313272.951969519,408772.41433807684
1400,15389303.741599357,10877002.083427327,3435533.2509746174,2343223.163081762,392083.5885585962
1500,14996774.193161156,11088154.270291802,3434467.0121459314,2361994.264915776,384815.7520610283
1600,13748501.81837746,11112978.801705452,3427280.9029397084,2387006.193027814,368558.22889700433
1700,12976977.487920366,11170274.390199186,3413040.9800005634,2393923.351632999,359613.32022818545
1800,12446128.557432191,11245863.591396363,3394255.771375922,2404461.824476267,344925.04890626017
1900,11386030.865764033,11342417.992467204,3387906.591328122,2419445.3443714227,336848.95920999546
2000,10733030.866586773,11388593.160639083,3390766.598830899,2453470.605415431,329875.9700109267
2100,9999352.558236822,11330454.424426617,3381341.9387942604,2474331.1505485703,312726.0486951249
2200,10039158.796259558,11387425.727483295,3369972.1510503786,2469580.7326433035,304933.17691912374
2300,9174537.124647716,11323373.121421527,3369427.172143514,2491245.8757409328,297187.3179431914
2400,8416416.300391696,11369244.937537843,3353724.9794657794,2521644.291284272,286523.6636764083
2500,8038561.830905213,11263537.287998503,3358030.6057381546,2538897.655398438,278430.02473608486
2600,7935965.648075247,11320436.682441372,3339815.513252714,2552035.3778341445,280946.5495947271
2700,6938885.5093016075,11193538.983596565,3328617.5721233,2563764.6652865023,259809.5952094853
2800,6516273.773464755,11238395.60451189,3333302.9568423405,2589547.220015668,262162.1459632403
2900,6666526.501480057,11110381.895801144,3316351.138251183,2592217.6323250514,254878.00987097085
3000,6045727.378599295,11013018.403427323,3312730.900568215,2618124.7580974395,252481.50786100805
3100,5535047.828609912,10915897.363924544,3311185.97749075,2628117.390633124,239306.85539692076
3200,6003902.633763333,10917774.154107723,3298120.899637424,2625050.6007313174,245287.46613658033
3300,5571828.763021745,10741368.125066618,3290349.4173685005,2640686.1171850716,237312.45263833454
3400,5094865.9143469855,10714902.494953606,3287396.739430711,2657932.2325153197,233593.02218237342
3500,5113945.9003867265,10622038.805576254,3271183.3048276226,2671780.776864894,228588.15681396623
3600,4565201.201778571,10497081.27484053,3269621.3803527853,2682928.314399222,226743.56983794307
3700,4163671.3815049836,10440248.986504117,3250503.223765062,2700360.9436451793,222907.06174207368
3800,4140005.8333097287,10282135.407406248,3246311.715892322,2727334.1096019163,218745.02474482023
3900,3729072.016199299,10134874.645094626,3233070.8228557655,2722557.1488722777,209445.164488353
4000,4178739.992420538,10071874.009643877,3217383.2407940323,2756755.605796596,210750.68609596606
4100,3430661.8716601627,10030029.101406902,3209293.3924138485,2769352.3978573186,198240.7340380928
4200,3868627.6592889493,9863241.668620398,3193544.486174233,2762988.6017405805,199149.16616336885
4300,3076374.8167996006,9805573.622999337,3192476.873284435,2788191.6731572063,194645.5163277228
4400,2740076.6791464593,9615736.030555036,3182360.283526225,2784388.5891200155,196464.74118449155
4500,2683321.7282000445,9555706.148647891,3158304.960860187,2813788.931790482,193748.5212393766
4600,3372204.469238325,9466362.724958401,3152349.945590814,2818554.7007140494,196024.91816757992
4700,2411805.811720373,9298542.914615652,3136542.7704216363,2834186.7709209127,188933.41719472656
4800,2247295.359810609,9218110.955223866,3120711.9892253205,2845858.06963688,190843.08251547025
4900,2769286.9305246174,9047499.669230442,3116617.669887665,2858630.113011076,192049.08065099837
5000,2780258.1641567685,8929143.565778589,3090217.2559321546,2855668.2613140973,187314.43757137455
