miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,IR,ROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,AbetaDimer,AbetaPlaque_GliaA,GliaI,GliaM1,GliaM2,GliaA,antiAb,Abeta_antiAb,AbetaDimer_antiAb,degAbetaGlia,disaggPlaque1,disaggPlaque2
0,4.999312479797833,4.9998807298812435,95.00089544729127,9.999871634156367,10.000000000012305,1.699165956542067e-17,200.0,1.463007001765744e-20,3.2557557517461895e-18,0.0,2.7674754825007555e-11,-2.668747091498401e-16,100.59166057925553,100.05861327925886,-0.013506870604454494,-0.161337382177192,499.9999999078288,4001.506787014329,200.0,200.0,200.0,-0.0006705407568170029,-0.0006000601389135175,0.00010081391211501195,4.6861248698576296e-06,-4.6742987175284086e-06,1.4913618861518071e-05,-1.6740130437070607e-06,1.0184715947311107e-08,3.495731707857196e-09,1.521298860799878e-20,-3.771606072380549e-22,-1.5592793312003197e-25,-7.466750042353565e-25,1.3655758590939183e-09,-2.8160268142794346e-12,-5.500128751183322e-28,499.9997843943168,-0.00018366954045673123,-8.098836346968838e-24,-1.3893450096659514e-06,1.020547789252769e-20,7.985509729100238e-32,7.525636012429516e-05,-4.914545764454999e-05,7.389174997853934e-06,99.99946935753741,-2.8842434370176016e-13,-1.8070609353079628e-17,-8.276068976905462e-08,50.0,-7.270314619125637e-28,-2.1706791098582032e-16,0.0,100.0,-6.603486285011058e-36,-1.2451670852238243e-71,0.0,0.0,0.0,0.0,0.0,4.950121384828833e-35,0.0
100,4.999121275411137,5.005561310804446,95.00423701462532,9.999807360514293,10.000000000001068,2.025236406267912e-17,200.0,1.5955319924758985e-20,-4.389744342626281e-17,0.0,6.251914264779651e-11,4.821822986624498e-16,94.39527935220904,100.15922268816085,6.280052678012687,0.22207506155665455,500.0000000537401,3993.752296857721,200.0,200.0,200.0,-0.002331297589021797,-3.498548094785528e-05,-5.849744534300262e-06,-8.875576856828644e-07,-4.593478979949136e-06,6.9206286150334565e-06,-9.471453709882684e-07,2.5078163271997592e-08,-1.4547145052205799e-09,-7.1526977063501e-21,-4.4802245050021625e-22,-3.9432689397070454e-23,9.881681269332335e-25,2.6105777179801437e-09,-2.363427786788746e-12,-5.962765617103127e-28,499.9997410564383,0.0007586052613179953,-4.878064292632557e-24,1.2932033632709739e-06,-1.6223537364452975e-20,-4.8879569168005316e-33,0.0005333744203205276,4.819605411972867e-05,5.929298949126334e-07,99.99846649382755,3.181974492215956e-14,2.1632565392988085e-17,-2.0489077472302634e-08,50.0,-5.5644386343708e-27,1.196506302214969e-16,0.0,100.0,4.58588789590405e-36,7.195562581753624e-71,0.0,0.0,0.0,0.0,0.0,-1.0488655139252609e-35,0.0
200,4.9938021604188565,5.008147689302496,95.00484582540335,9.99945276805544,10.000000000011356,-4.594337638921256e-18,200.0,1.2152503434775193e-20,1.1315577824806962e-16,0.0,7.037988675354344e-11,-9.444698225755979e-16,89.74063675030978,99.67841031527661,9.551122096722628,0.3668808483630338,499.99999993867107,3990.215769197514,200.0,200.0,200.0,0.002302430669539831,-0.00030815690751542167,-4.295523565270849e-05,3.925684448042553e-06,1.9287523262204362e-06,3.497449180886631e-06,-2.2487279158682e-07,1.1434059524218435e-07,2.248036141216412e-09,-1.8739736272020407e-20,-3.965137338405401e-22,2.713007582549895e-23,-7.944492900010839e-25,2.2367527011924427e-09,6.572331213653615e-13,-4.218886631447948e-28,499.9988083821235,0.0008283345301536102,3.9618614782940945e-24,3.85877447216229e-06,-5.078117389109578e-21,-3.983620676241032e-31,0.002037516246842666,4.62785049612534e-05,7.069315726254028e-07,99.99783698951777,1.2378882950359068e-13,-8.559903676968228e-19,1.4426389397351716e-07,50.0,-2.211229505414656e-27,2.6973159341667428e-16,0.0,100.0,-5.5874760804915854e-36,7.654454144349888e-73,0.0,0.0,0.0,0.0,0.0,4.279165230372731e-35,0.0
300,4.994188843510663,5.011387961412741,95.00730650155016,9.999286172135058,9.999999999981435,2.4994246652801068e-17,200.0,5.080994919318288e-22,-1.8692111462505924e-17,0.0,5.6867649597978875e-11,8.51589201402122e-16,86.46881745764829,99.49064495920844,13.689213801441593,0.2898543806037148,500.0000000811435,3985.7914771003025,200.0,200.0,200.0,-0.0024976718799432805,0.0004919815651219065,-1.7940922316707245e-05,5.7339019714260024e-06,-2.559151552482549e-07,-1.5372015878270606e-05,-4.5633187465436565e-07,-9.263720176127594e-08,5.366179937213855e-09,3.4214054468484883e-22,8.658648608908063e-22,-1.4133372461692504e-23,-1.2931351986355293e-24,1.2674708662105296e-09,-3.7824799853312053e-13,-4.068560550122046e-28,499.99871339501067,0.00126158372284881,1.9476663541316813e-24,4.402249465027596e-06,-9.435129759509965e-21,4.644101876860287e-32,0.0027722270562660907,6.725703770998143e-05,-3.001750080535173e-06,99.99732555728164,1.5175111606631254e-13,-2.1496999581385783e-17,8.748301215015249e-08,50.0,5.359033085177243e-28,2.636320854138598e-16,0.0,100.0,7.246314865849717e-36,3.070028553148059e-71,0.0,0.0,0.0,0.0,0.0,4.4961372323853575e-35,0.0
400,4.9919611963203145,5.01607878526464,95.01228156776371,9.999048942637357,10.000000000017456,-2.3435110844714982e-17,200.0,7.021341161344514e-21,-1.3745481575291305e-16,0.0,-5.435214577880583e-12,-8.959844018252859e-16,80.16776422984657,99.6219304941147,19.648679271361214,0.6080771885136039,500.00000002238784,3980.539381635584,200.0,200.0,200.0,0.00313540564611648,0.00020407761103094914,4.6209911247300074e-05,2.8788869214901415e-06,-6.815505999043001e-07,1.622382152506256e-05,7.564717150870207e-07,7.015136579470641e-09,-1.167185534968758e-09,7.992061420385589e-21,1.0378998820667478e-22,-2.2679687949827503e-23,8.709566972353797e-25,2.7760625002423226e-09,1.287146119724321e-12,-3.907132810446851e-28,499.99799881401435,0.0017479198208102066,5.754145238474865e-24,7.316968547021411e-06,1.8616649675163704e-21,-1.598962876257828e-31,0.0041518819134959695,0.0001453284328103052,6.9173022870219095e-06,99.995957441995,2.2158164313980545e-13,-8.192282400061968e-18,1.0860545183955103e-07,50.0,-9.634677622384722e-28,-1.8391856335115474e-16,0.0,100.0,-1.247754558854594e-35,3.3894696751380263e-71,0.0,0.0,0.0,0.0,0.0,-3.541141217055121e-35,0.0
500,4.988549239569987,5.018497828491049,95.0115852513574,9.99863586572648,9.99999999998898,-2.0636225245409546e-17,200.0,-1.2629765210353795e-20,-2.6228986420987494e-17,0.0,7.884364547652214e-11,3.8405250811619246e-16,78.19481597012455,99.42134875347459,23.200327326721816,0.4431634392122694,500.0000000100046,3977.7467001232285,200.0,200.0,200.0,0.0009503805886084597,-0.0001407106945614278,9.372149317808681e-05,1.5940627364013503e-06,2.4468206205749446e-06,1.5801763103718453e-05,4.4738005122900547e-07,-2.4160471608342597e-08,-5.586074148183915e-09,-5.804605978737575e-21,-1.9853881996676512e-22,-1.4864826407759927e-23,-4.0763206172636433e-25,6.191907731091792e-10,1.749611067028166e-12,5.87867123773777e-28,499.99770854733123,0.002557542793525515,-4.079534330741581e-24,9.704589943616386e-06,1.6877732923276344e-20,-3.8170437697248254e-31,0.005159193170569171,5.864803575792798e-05,6.519125329675389e-06,99.99562909904428,4.286959013652564e-14,-8.086257749226536e-18,-2.548163317051502e-08,50.0,2.254996034173235e-27,-1.9740965448370807e-16,0.0,100.0,3.078398747818101e-36,1.450528631897505e-72,0.0,0.0,0.0,0.0,0.0,-3.59351053189095e-35,0.0
600,4.987828985045186,5.019886442041134,95.01768610625952,9.998522767851455,10.00000000006593,6.630625587526245e-19,200.0,-4.161873575856042e-21,6.112470659248652e-17,0.0,2.7626802464814604e-11,7.089344099179045e-16,74.02665573572473,99.47449473767985,25.934192337772654,1.0732099809696871,499.9999998920521,3973.654780123466,200.0,200.0,200.0,9.872075359706415e-05,0.0004317479613482778,-0.00010134850818510982,1.872766031587241e-06,-3.843470330109938e-06,9.693537041401475e-06,-1.0115136220092365e-07,5.856093327439825e-08,4.1332715413664366e-09,1.2049585555235888e-20,2.6977155418210207e-22,2.3893608172132796e-23,8.463503212579287e-27,-2.158947072034271e-09,3.01689394013472e-12,-1.404664529351978e-28,499.9971651237069,0.002744930918909091,-6.0791946903571635e-25,1.0679260864740058e-05,-4.986939541284093e-21,2.242500036044754e-31,0.006166514602993594,0.00022299079538984598,7.513586457240238e-07,99.99438324372028,3.7079227895193164e-13,9.72475485802107e-18,7.604036440634041e-08,50.0,-5.7672383702561225e-27,-2.0641434004780925e-16,0.0,100.0,-1.0120071633805416e-35,7.85810589501921e-71,0.0,0.0,0.0,0.0,0.0,2.7849037854227655e-36,0.0
700,4.985357030486544,5.0287301222923775,95.01900627925198,9.998280297087119,10.00000000002369,-1.2725318309686463e-17,200.0,9.220941043895919e-21,-1.6121134743435592e-16,0.0,8.614417714296797e-11,-1.441615920246753e-16,69.21795803204097,99.07248497851427,30.53177099929969,1.4675101322103854,499.99999964549045,3968.8343163876466,200.0,200.0,200.0,-0.0016543855782022799,0.00032685064479787455,6.846158837577206e-05,-3.504721082277322e-06,1.9653969677343055e-06,9.326807234869822e-06,1.327517546771567e-06,-9.493032027372337e-08,2.549295278620673e-09,1.0402979725969553e-20,-2.0265096059173318e-22,-3.486014822395958e-23,3.570241963497756e-25,-1.7272977977690394e-09,6.750238436245746e-13,1.719579377109896e-28,499.99652226138403,0.0036954807700289986,2.788630441314442e-24,1.2028184691507246e-05,1.089057283681515e-20,-2.7658892091974583e-31,0.006893866826731996,0.0002666867462262381,2.5915835894598495e-06,99.99313284164782,3.736190546136799e-13,-1.123524913608986e-17,2.671750833550043e-07,50.0,7.80202056086381e-29,-1.8463169783054874e-17,0.0,100.0,-8.687017927706634e-36,-6.35987902704283e-71,0.0,0.0,0.0,0.0,0.0,-4.363052173071741e-35,0.0
800,4.981638321518824,5.027911223613224,95.02010409704953,9.997982077085753,10.000000000077272,-1.7183329015931674e-17,200.0,-3.0763599196591705e-21,-4.4444731739546154e-18,0.0,4.8682803581780827e-11,-5.78095102337426e-16,66.4377905757177,98.82928087350717,34.44138279613315,1.1047778675993447,499.9999996929392,3964.7533861708844,200.0,200.0,200.0,0.0038753611044766963,-0.00010723901121145929,6.8113030275750765e-06,-1.9346699668955594e-06,3.413084833558551e-06,2.3261181629799864e-05,5.700236594375958e-07,-2.3226848365300532e-08,6.17161694355722e-09,-1.5843855298856049e-21,5.805031064531046e-22,3.99699672901883e-23,1.077063716868923e-24,8.259537806393646e-10,-5.925282171612999e-13,-7.59082566448342e-29,499.9956230520714,0.0036861417676585695,-9.224536825822972e-24,1.5554449141286802e-05,-1.0649478737565425e-20,-3.992122930973491e-31,0.007646450327962986,0.00032107604503725377,1.1321926555058581e-05,99.991874735118,1.208987697812406e-13,2.5466027689720334e-17,1.5873732668451998e-07,50.0,5.482806320626178e-27,-1.24545818979706e-16,0.0,100.0,-8.539611646170244e-36,3.286740494397357e-71,0.0,0.0,0.0,0.0,0.0,-3.1710623846041616e-35,0.0
900,4.978841730970774,5.0357112245690585,95.02170659744074,9.997916868661283,10.000000000104421,-9.115350598833614e-18,200.0,1.736934919205714e-20,-3.915907247097723e-17,0.0,1.889907671419907e-10,1.0561189469591484e-15,62.784490218134145,97.83180639263391,36.53014623155918,2.1802708297470255,499.99999957631377,3961.859694030333,200.0,200.0,200.0,0.0009200567809330895,-0.00022697070159071562,6.250605472763066e-05,2.0127773089913795e-06,-6.220701516088643e-06,1.4605838718370554e-05,-4.592558648649856e-07,-5.772380199577089e-08,-9.931799373146824e-10,1.7866386005684126e-20,-1.1697439254005332e-22,-4.757101284672023e-23,4.519286561486822e-25,-1.958493636388156e-09,1.1010781168770144e-12,-2.8283618983302643e-29,499.9957794969007,0.004640190410264798,1.2823210359477092e-23,1.628864689121268e-05,1.456356166400073e-20,3.638821683365753e-31,0.00814673025007779,0.00030994682385971473,1.2986415043096124e-05,99.99119601708189,1.1839076797013645e-13,2.2637245455027197e-17,3.9368971421923944e-07,50.0,-5.8384091784443705e-27,1.8757150460596007e-16,0.0,100.0,-2.735886536221959e-36,5.343719751292194e-71,0.0,0.0,0.0,0.0,0.0,1.3862808766629701e-37,0.0
