milliseconds,N0,N1,N2
0,1.75444831412765,43.8146704098797,27.4558812768926
100,1.7544483141276497,43.81467041024014,27.455881275585053
200,1.7544483141276497,43.81467041059956,27.455881274557726
300,1.7544483141276497,43.81467041095899,27.4558812735304
400,1.7544483141276497,43.814670411312335,27.455881272750787
500,1.7544483141276495,43.81467041164467,27.45588127282695
600,1.7544483141276495,43.81467041197701,27.455881272903113
700,1.7544483141276495,43.81467041230935,27.45588127297928
800,1.7544483141276495,43.81467041264169,27.455881273055443
900,1.7544483141276495,43.814670412974024,27.455881273131606
1000,1.7544483141276495,43.81467041330637,27.455881273207773
1100,1.7544483141276492,43.8146704136387,27.455881273283936
1200,1.7544483141276492,43.81467041397104,27.4558812733601
1300,1.7544483141276492,43.81467041430338,27.455881273436262
1400,1.7544483141276492,43.814670414635714,27.45588127351243
1500,1.7544483141276492,43.814670414968056,27.45588127358859
1600,1.7544483141276492,43.81467041530039,27.455881273664755
1700,1.754448314127649,43.81467041563273,27.45588127374092
1800,1.754448314127649,43.81467041596507,27.455881273817084
1900,1.754448314127649,43.81467041629741,27.455881273893247
2000,1.754448314127649,43.814670416629745,27.45588127396941
2100,1.754448314127649,43.81467041696209,27.455881274045577
2200,1.754448314127649,43.81467041729442,27.45588127412174
2300,1.7544483141276488,43.81467041762676,27.455881274197903
2400,1.7544483141276488,43.8146704179591,27.45588127427407
2500,1.7544483141276488,43.814670418291435,27.455881274350233
2600,1.7544483141276488,43.81467041862378,27.455881274426396
2700,1.7544483141276488,43.81467041895611,27.45588127450256
2800,1.7544483141276488,43.814670419288454,27.455881274578726
2900,1.7544483141276486,43.81467041962079,27.45588127465489
3000,1.7544483141276486,43.81467041995313,27.455881274731052
3100,1.7544483141276486,43.814670420285466,27.45588127480722
3200,1.7544483141276486,43.8146704206178,27.45588127488338
3300,1.7544483141276486,43.814670420950144,27.455881274959545
3400,1.7544483141276486,43.81467042128248,27.45588127503571
3500,1.7544483141276486,43.81467042161482,27.455881275111874
3600,1.7544483141276483,43.814670421947156,27.455881275188037
3700,1.7544483141276483,43.8146704222795,27.4558812752642
3800,1.7544483141276483,43.81467042261183,27.455881275340367
3900,1.7544483141276483,43.814670422809584,27.4558812754721
4000,1.7544483141276481,43.81467042299269,27.455881275609876
4100,1.7544483141276481,43.8146704231758,27.455881275747657
4200,1.7544483141276481,43.814670423358905,27.455881275885435
4300,1.7544483141276481,43.81467042354201,27.455881276023213
4400,1.7544483141276481,43.81467042372511,27.455881276160994
4500,1.7544483141276481,43.81467042390822,27.455881276298772
4600,1.754448314127648,43.814670424091325,27.45588127643655
4700,1.754448314127648,43.81467042427443,27.45588127657433
4800,1.754448314127648,43.81467042445754,27.45588127671211
4900,1.754448314127648,43.814670424640646,27.45588127684989
5000,1.754448314127648,43.81467042482375,27.455881276987668
