milliseconds,Ttum,Tplas,Tnew
0,999641.529424491,3989811.987049483,42.279856752439386
100,999491.1823428039,3708728.1355813826,273.4432010997103
200,999997.9426955527,3453621.341632883,544.6427024975443
300,999557.2314171712,3291206.275914389,688.6022074097522
400,998862.8200694271,3154632.6054555215,850.8204545128502
500,998532.3280194122,2756324.3080902705,1151.5253185551062
600,998622.4706304406,2590091.125270334,1285.553929731748
700,998183.6662893489,2476550.5863367417,1392.01794753157
800,997798.2785483147,2417236.597575333,1656.572841068325
900,998098.7269401125,2114871.160136188,1799.9982385663807
1000,997987.9414147836,2133090.548418548,1881.7716358244297
1100,996976.1906035077,1943210.517267365,1996.3426663509103
1200,996795.0352920002,1785374.9297323064,2268.921319634345
1300,997244.1854479379,1741688.6275896328,2225.2815270518586
1400,996602.9625679994,1617467.8414181934,2537.8419986521494
1500,996084.3426266818,1515151.4797140632,2594.8726773724484
1600,996125.5838181783,1271972.5743187096,2539.5126738271624
1700,995909.279139406,1285291.8493896616,2798.4534560877114
1800,995669.6727193705,1117431.4877095507,2856.09200419568
1900,994626.311113308,1040605.3139174811,2943.332724388821
2000,994379.3932635743,1073126.9054674187,2967.780871688725
2100,994505.3306796339,1061411.5340859166,3042.0432755973447
2200,994122.9744150533,954251.7601212786,3091.984737955171
2300,993803.8333787161,835243.0079438987,3114.2621774564122
2400,992758.5792193622,738251.3590462062,3302.6350814041666
2500,992915.1808000078,737859.6408452388,3148.502192100796
2600,992465.2351967832,681172.7774439931,3362.724912742641
2700,991931.0530503211,675404.4917255432,3296.743381756623
2800,992042.9670163385,720617.9421682559,3434.952286781449
2900,990841.6768070412,655986.9232672135,3511.569695692999
3000,991376.7021749632,570619.8374984682,3520.187174711705
3100,990935.8569333315,561093.9708448173,3430.7116506187645
3200,989899.5974515382,470336.63970727473,3532.7665404520862
3300,989525.4721206529,448388.0783352252,3490.902843955548
3400,989209.034847306,496809.6679216738,3600.5595880900987
3500,988935.461610962,315830.56499767373,3570.6271880621307
3600,988397.1803583131,303547.05912056897,3604.4596124234977
3700,988688.4717715884,242203.84571780387,3578.5580792285054
3800,987725.7531916847,307850.41138309345,3712.309460922685
3900,987191.395194385,224215.37033640483,3614.1046052696315
4000,987524.4994079621,217010.53508339848,3687.850855337241
4100,986411.5724895785,290850.92115202034,3661.0871512736585
4200,985923.8329548837,316929.6982996323,3775.8844268330677
4300,985961.245624191,240549.3399287439,3810.472613040886
4400,985316.4266786741,157414.32548736662,3883.367175789732
4500,985496.4484155203,104413.98710675638,3786.8158459511305
4600,985164.8837572179,212911.94189948958,3918.730032003685
4700,984069.4094838372,94725.82222680889,3778.3525100221063
4800,983735.3433778692,102679.34532028306,3760.1989176643046
4900,984104.2757308262,169561.64425613964,3954.305966840629
5000,983520.2345498833,195601.20974138647,3810.8876802695545
