milliseconds,Ttum,Tplas,Tnew
0,1000304.2247664845,4081229.399474993,74.44234411088665
100,999855.8302472767,3804561.2933737813,241.1205803123921
200,1000121.4905617341,3445504.431045491,550.981895721788
300,999412.2629228714,3230650.662336206,631.0394491082619
400,999475.3917694619,3082097.266956915,877.7648317964636
500,998844.6356162245,2845225.4512401703,1090.5772408110483
600,998791.5856532408,2637608.8381725964,1408.2826816265429
700,998738.9309697585,2500230.5574848163,1503.314695068497
800,998069.9686200629,2326161.5265528033,1713.0634975443909
900,997763.4418878243,2243197.7268283074,1902.3729216028355
1000,997396.6445167649,2027006.5676496527,1884.790079559713
1100,997694.388954498,1973130.0066562605,2079.4713009494776
1200,997172.8419088855,1688198.3438742661,2158.752071416282
1300,997094.9248620833,1582310.461162285,2386.5699025071867
1400,996784.7244779146,1631709.344723535,2516.5643747929134
1500,995979.2988985443,1476012.1492384407,2478.9587275977315
1600,996333.9904222594,1366708.0999519886,2678.8601488951786
1700,995796.7161446209,1179951.5154621378,2803.980086249343
1800,995039.4429266065,1229432.7577012554,2753.9206021941945
1900,995022.1204696815,1178782.1916161012,2845.29324119441
2000,994553.7162658755,961780.9597857771,2902.357382778265
2100,994435.9436692612,878613.1011992194,2991.5177706279806
2200,994243.5180218419,862578.9524377995,3187.0011018206533
2300,993750.0544678998,927869.0472514458,3210.5672993641438
2400,993339.4054970343,741017.4896317897,3109.4095255124985
2500,992491.0051103958,761245.4944111813,3269.849744983534
2600,992529.9490467818,691821.0531862617,3206.735803716673
2700,992535.4980908345,713793.7414402397,3329.2236254471095
2800,991895.8898082764,552860.354537674,3362.228400754387
2900,991857.9536589417,533820.6213656449,3521.518831326108
3000,991455.5561192051,500054.26179152314,3455.070246012367
3100,990655.3780720124,534314.3854706744,3467.869314315344
3200,990633.4520341364,540552.600886798,3583.3759247743506
3300,989961.3422444824,475171.28377530066,3642.331794842261
3400,989488.823730141,388233.3558203313,3596.2769312362616
3500,988679.8345048603,287139.23376289953,3632.6828145702466
3600,988775.7699026967,262012.15121293705,3543.703139149027
3700,987928.9025081176,438442.797274097,3624.035837777272
3800,987979.8063071613,426790.56033640925,3758.0731724643647
3900,987723.6320613918,323021.51716962666,3611.373892819441
4000,987285.3880962979,302928.7049536097,3829.768185846222
4100,987054.5068805395,188922.6330999569,3815.533388575497
4200,986050.7829064642,293246.2246619362,3771.9033010510916
4300,986441.6223492549,283130.2212513048,3811.406943101656
4400,985172.0070159687,190376.6477187313,3902.9719445062988
4500,985173.5074796232,231198.02420164872,3812.4089085238884
4600,985268.764333413,185161.22876953197,3789.9071530893975
4700,984776.255009171,207547.4376216607,3924.84233032659
4800,984190.2712366495,135643.66640803052,3801.0106845677947
4900,983299.1375922267,90757.18711260508,3823.0867491652657
5000,983239.2615266688,235355.34569413264,3922.9009454121306
