milliseconds,Ttum,Tplas,Tnew
0,1000275.7300116706,3987506.9711671313,101.94763645165722
100,999661.4583617664,3684044.49648099,195.44413019879786
200,999789.0913425175,3551702.9439905672,495.5558523971911
300,999828.4660155793,3260184.6727630068,760.4321519275794
400,999651.2671213996,3111924.2342046667,885.419364587531
500,999365.8475413696,2860269.246927586,1049.7824465365682
600,998401.6484356886,2634623.7095831744,1325.4162195344888
700,998822.4198157911,2422124.516892888,1603.4099445657332
800,998320.0944298279,2329658.112484129,1704.748240450391
900,997659.4395487902,2185281.8067073673,1720.6698491686436
1000,997517.8456169567,1955205.8591198686,1921.6974856870347
1100,997716.1210172385,1968879.3737820215,2148.3821733411155
1200,997091.5192867747,1716569.8497597948,2271.1101307346494
1300,996403.8704790964,1600412.9071195768,2283.677147709552
1400,996736.2034903188,1586262.9319052256,2367.4644154534494
1500,996392.9549694832,1543417.986594551,2433.3538358431347
1600,996175.9336383691,1286655.1231845631,2619.8887648246055
1700,995087.9375902549,1211797.593353869,2788.1932374884545
1800,995363.6951162681,1140763.077206699,2865.7828278990605
1900,995119.1802163614,1034320.9943493475,2843.3927984774077
2000,995044.0948589238,1056856.8540833667,3018.1131723588333
2100,994640.8716424279,1072301.991502118,2920.870196524881
2200,993998.9238490281,879829.2703459297,3181.9640096568305
2300,993301.3643335076,945704.9643333235,3082.6505364400696
2400,993228.2485574265,787344.1991237251,3215.9499929727276
2500,993088.1587857304,768054.8513462795,3354.4398036498405
2600,991980.1170575696,654753.2761160755,3381.6361405222488
2700,991723.3285622002,625150.1860878427,3441.1572231733962
2800,991354.1850856753,710046.3882975501,3406.215188192907
2900,990850.7603148492,568326.2544969271,3414.567890148318
3000,990718.0284408934,488517.03938199556,3384.575287624497
3100,990589.550054863,611992.4471418408,3426.8233140368216
3200,989718.1833062902,407627.3480930547,3447.044496715599
3300,990278.7940405157,502841.0884609938,3528.109088812193
3400,989660.7091238339,469726.25098371773,3511.5322415760493
3500,989562.5632867448,433142.8650797114,3694.411456766775
3600,988822.769288913,469231.70877236896,3674.9231102378294
3700,988501.0931679426,343781.79735397897,3742.6632885102163
3800,988106.7522318332,389846.46404971724,3637.62434276155
3900,987078.9800865131,254501.4423185334,3795.215592448316
4000,987214.0157880299,210151.80401989951,3627.2407490085056
4100,986323.8487357042,270807.21759193274,3785.297228419007
4200,986041.4892324931,198580.34210722073,3865.0963077104384
4300,986009.7712780412,183201.9976587116,3820.3225159002577
4400,985715.3838024365,171060.6283777266,3893.817789360528
4500,985228.8979895279,310562.06195062737,3837.771047860317
4600,984659.8680477068,167852.17685908324,3919.1745058434817
4700,983961.7600548052,88178.83920129591,3851.174455022429
4800,983931.3750174401,144245.89042878203,3802.028495776946
4900,983684.6798647237,194740.19283392085,3870.112948147972
5000,982735.8845101844,205934.80780708438,3829.82246367539
