milliseconds,Ttum,Tplas,Tnew
0,1000307.6473039326,4058900.571221432,-15.403313601971602
100,999698.4477563042,3806794.3900721604,356.04361794492377
200,999733.9011314467,3588776.010288342,426.4802124264671
300,999085.1062067205,3338605.7878281167,742.0618368497975
400,998829.207400425,3124286.5090387394,973.0526154439893
500,999356.6325088796,2903552.758026948,1189.3021534939185
600,998370.1714447467,2642271.0117575265,1216.2556219633527
700,998919.5869136937,2589638.905150072,1404.4719362041146
800,998745.3523663239,2426690.1344086095,1550.663604422228
900,998121.351618873,2106382.109172727,1768.4654428558385
1000,997615.9257792551,2125735.0765263783,1947.4456655427243
1100,997083.9302026276,1916591.3754948156,2046.7618231586484
1200,996947.4804409479,1883255.1932182063,2177.476550695837
1300,997241.79214572,1602597.8432549967,2408.237378891914
1400,996853.3697799979,1498925.8675288116,2375.8739155371004
1500,996074.1477583757,1538445.9321182417,2616.176241570795
1600,995793.9434744003,1328418.3827900782,2574.312245159055
1700,995383.8099833416,1324217.565793936,2817.9977644161836
1800,995734.5362179294,1224567.886233129,2871.5912575354796
1900,995130.9943691558,1096059.329452415,2968.135887344865
2000,994362.7295681585,1076009.982017403,2908.3574671705082
2100,993800.5955238743,920528.1513258751,3031.9975424519776
2200,993850.3560178605,1000582.3573248972,3134.5188909575436
2300,993564.1665231602,933400.1086721472,3070.7969184243707
2400,992936.4532505671,839679.6965139701,3166.415724153961
2500,992505.2195815613,678782.756254005,3294.326017944743
2600,992266.2522582527,604065.0481157977,3390.8731506423733
2700,991856.8263415936,580618.1476186288,3430.9852324001663
2800,992095.5884536975,582612.0070655561,3373.2509608183436
2900,991435.4602034437,558875.7479425884,3396.9557206109125
3000,991164.2268618959,461950.2532388563,3440.9523286474255
3100,990434.4629999961,462939.746021831,3523.1750090271685
3200,990311.2406411256,577771.5958297842,3620.882667872302
3300,989615.8837792174,470302.4625123833,3631.1694643544056
3400,989564.3481141088,389328.59576540964,3597.5726067927376
3500,989372.6750176732,407121.94161963207,3644.208707547074
3600,988251.8953512878,325842.16185440856,3750.872418356128
3700,988040.1195303914,325197.4738636837,3587.3883365169263
3800,988040.1300728368,356300.192965002,3735.0984726444563
3900,987396.5692801153,202415.11456071696,3758.4898015493504
4000,987055.3399877594,184955.28481718368,3666.3403274402017
4100,986917.7609008821,225513.963475878,3788.2137916111137
4200,986505.0781925635,206703.9230329984,3866.604749519137
4300,986321.070031517,229307.296374616,3750.938755272007
4400,985274.3611081546,118013.66358710125,3733.1573767875475
4500,985622.9771433314,133906.48336303112,3895.7131914675288
4600,984951.2649286237,116146.6836849335,3849.113729744765
4700,984213.0634796583,178924.93282212658,3907.562181180307
4800,983561.054767113,170385.6594101814,3941.2018276047497
4900,983569.5343345528,127582.91988875547,3951.274615366123
5000,983506.7620245579,168436.2314609308,3950.2976711837878
