milliseconds,x,u,y,z
0,850.0,0.1,0.5,0.1
100,849.9376076227874,0.14257855880548628,0.49839297400216465,0.10149484852765753
200,849.8754286274445,0.18487680838907986,0.49680176736891385,0.1029794900793244
300,849.8134617538693,0.2268965623922821,0.4952262986295351,0.10445399359108003
400,849.7517052420334,0.2686403204367408,0.49366645132788073,0.10591845353755501
500,849.6901576593847,0.31011011589298865,0.49212213050768533,0.10737294676937569
600,849.6288174363511,0.35130817570156325,0.49059323191749954,0.10881755745973695
700,849.5676831120227,0.39223657187705974,0.48907965836576883,0.11025236393155328
800,849.5067530475252,0.43289762828939904,0.48758130071436656,0.11167745403159879
900,849.4460256230028,0.47329364068966745,0.4860980508774971,0.113092914551092
1000,849.385499275238,0.5134268233896385,0.4846298043360206,0.11449882920965829
1100,849.3251724741548,0.5532993421664196,0.4831764584906035,0.11589527990170145
1200,849.2650436868971,0.5929133667862704,0.4817379105655289,0.11728234867215603
1300,849.2051113522425,0.6322711081221508,0.4803140560596839,0.11866011911430781
1400,849.1453741625343,0.6713744063089231,0.4789048052788636,0.1200286608746207
1500,849.0858305025636,0.7102255507649203,0.47751005049656997,0.12138806050325027
1600,849.026478810761,0.7488267523405904,0.4761296870920072,0.12273840159545474
1700,848.9673175003618,0.7871802585138072,0.4747636089343288,0.12407976912546972
1800,848.9083455117635,0.8252875445817821,0.4734117405284161,0.12541221902127234
1900,848.8495611205842,0.8631510590011545,0.47207396764698156,0.12673584381969116
2000,848.7909628161162,0.9007729370833387,0.4707501884542714,0.1280507242790037
2100,848.7325490790176,0.9381553265167599,0.4694403005683052,0.129356941624228
2200,848.6743187604417,0.9752998322462852,0.46814422324625116,0.13065455665769554
2300,848.616270321983,1.0122086293427663,0.4668618529086307,0.1319436516368132
2400,848.5584023202683,1.0488837534663085,0.46559309149593137,0.1332243035738895
2500,848.5007133425793,1.0853271951267893,0.46433784270148787,0.13449658778319862
2600,848.4432020853832,1.1215407852018275,0.4630960166949841,0.13576057356443283
2700,848.3858671707532,1.1575264628241502,0.46186751914777396,0.13701633429889154
2800,848.3287072332784,1.193286148558428,0.46065225642851054,0.1382639426697461
2900,848.2717209347896,1.2288217229128184,0.4594501364834753,0.13950346985217896
3000,848.2149069254822,1.2641350838676193,0.45826106673503764,0.140734987667884
3100,848.1582638825358,1.2992280892670456,0.4570849560408193,0.14195856643535515
3200,848.1017905019212,1.334102569042279,0.45592171427800804,0.14317427542600236
3300,848.0454854851777,1.3687603449329455,0.4547712516726613,0.14438218360007923
3400,847.9893475151138,1.4032032664326437,0.45363347748919053,0.14558236095318086
3500,847.9333752938923,1.4374331543586278,0.45250830206038434,0.1467748764039976
3600,847.87756755335,1.4714517855628018,0.4513956373374142,0.14795979722203123
3700,847.8219230235162,1.5052609395758618,0.4502953952118597,0.14913719077353454
3800,847.7664404356179,1.5388623943386164,0.4492074877430023,0.15030712435838045
3900,847.711118528982,1.5722579158210934,0.4481318274691377,0.15146966482431673
4000,847.6559560612159,1.6054492427074576,0.44706832786686024,0.15262487799787064
4100,847.6009517941789,1.6384381074989942,0.44601690271820493,0.15377282946851786
4200,847.5461045020377,1.6712262250177097,0.4449774666957497,0.1549135841504653
4300,847.4914129690516,1.7038152953575472,0.4439499351270152,0.15604720639906097
4400,847.4368759812431,1.7362070149834339,0.4429342231084107,0.1571737604485925
4500,847.382492336393,1.7684030634133046,0.44193024656842883,0.15829330988696355
4600,847.3282608409564,1.800405107326641,0.4409379219396544,0.15940591781775404
4700,847.2741803100633,1.8322148005644738,0.4399571661587643,0.16051164686022007
4800,847.220249567518,1.86383378412938,0.43898789666652754,0.16161055914929393
4900,847.166467448555,1.8952636841042745,0.4380300322553452,0.16270271622275823
5000,847.1128328022373,1.9265061098412142,0.4370834938068299,0.16378817892305805
