milliseconds,M,Mp,Mpp,MAPKK,MKP3,M_MAPKK,Mp_MAPKK,Mpp_MKP3,Mp_MKP3_dep,Mp_MKP3,M_MKP3
0,500.8943102899873,0.026612955067150983,0.004333144413082057,49.36255102529065,98.76020604142079,-0.6110350761324467,-0.00015013215433797882,-0.005215316724272098,-0.0024015836419207207,-0.002876527755197119,-1.093314778138109
100,462.8666344994512,0.04726796976813487,-0.007400922611189342,20.53806114875013,94.0544369267953,29.67906774159078,0.0006665025798423601,-0.0036519230495344014,0.0026154326367330174,-0.0031588876635097627,3.392492928305331
200,450.9762025386363,0.019337599246848403,-0.0007370801912932849,11.164313519289893,90.8164349255848,38.91310324759007,0.0007052652524792913,-0.0019520812994417642,0.0039220250571469955,0.0010903468852619044,7.878646696227676
300,442.1976983603929,0.058715170101152514,0.003328060592026198,7.322650968195636,87.48585840942636,42.42585446349637,0.0010088145208890782,0.003403671640345945,0.004940115919597081,0.005693808582243009,15.905426813357114
400,439.0980565945261,0.1132062762203702,0.006547119658828229,5.6444672906471345,82.63764666156585,43.890687005467264,0.0012985825089767893,0.0005141579487566894,0.014761758529443583,0.010738011691461932,16.99215739309939
500,434.5462648188091,0.14204749947355916,0.007794382980184608,4.901731410794465,78.08191181675475,45.14823760283688,0.0010378725284270719,-0.002423263558999628,0.024423436940462576,0.02432703255174667,20.83074404809031
600,430.1675155542823,0.1597393960464704,0.012276612233802681,5.22454081603272,72.93547758661975,44.513757586503246,0.0013109641157289821,0.0018292678981157932,0.02525651735914522,0.029845220404106088,26.636114508682592
700,425.3111806692769,0.18678544958362733,0.007302344879971597,4.815776644777129,72.25803240628566,44.129690294742474,0.0019122243193745818,0.00745265937061765,0.03656497990604872,0.03058072514752663,28.772774146274042
800,423.1024127056162,0.22112979043512204,0.00579372079909714,5.928262567798419,68.79092627818736,44.3939068861922,0.0018929943424370794,0.00821966842684883,0.05426522202848468,0.04190368888683319,32.18883863447789
900,418.603792372579,0.21824035585439192,0.0068125974146498736,5.311428296416406,65.70372211274963,45.255834995764346,0.002583758975474461,0.002115814122235402,0.06531381404541783,0.05152865752269741,31.978031322204583
1000,418.42445341854193,0.2617126803199594,0.0026361679789963727,5.645697697297232,63.81087497061748,44.562497710420494,0.0021401374739156167,0.012623014916573186,0.06821404168931387,0.05502527756447792,34.949797078437555
