miliseconds,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52
0,100000010.18129887,-0.0027076640259959595,-18.47280327569551,101184.18949712368,1039.4460452760025,49999225.632676445,9.655948454587355e-05,3.1377353728356994e-09,3.2751496444139183e-16,-429.90136614219614,78764.41006604933,1299.9157525444525,3443.696715541671,-1.1780375927540584e-16,2.8924332930079904e-16,18750.00000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.8581716081964,50393.28547679898,-0.00026471607273984796,0.0,0.0,0.0,0.0,0.0,0.0,-2.162322177698855e-08,0.0,0.0008366935519882727,-1.4668468108972437,0.0,275.00001739094114,0.1227419688400685,0.0,0.0,0.0,18750000.000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,99999660.6579982,-0.003973868148425538,376.9938830479972,89819.60788505492,10427.376870149132,49989715.50445048,-4.795646667235565e-05,8.825004488874366e-09,-1.4177058391922536e-15,10015.820174920504,77989.73916241675,1323.7428615924805,2736.6448955484775,-1.115877244906932e-15,-2.8128512594504356e-17,18750.00000000209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.3022227194685,50621.64265252616,0.0002391282670900807,0.0,0.0,0.0,0.0,0.0,0.0,6.11670196005503e-08,0.0,0.0022343543247088666,-2.1998230474264986,0.0,274.99992681427887,6.745123958629288,0.0,0.0,0.0,18750000.00000216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,99999300.49851353,0.06918925445871205,724.7550816226221,81185.23459475524,16743.90437438243,49982832.47526077,-3.221145908356444e-05,-2.3116727201575663e-08,-1.6763079773797322e-15,17671.99313678557,75139.07047412779,2591.4765953608794,3445.3764834927697,-5.749675445463933e-16,-3.1744097026532263e-16,18750.000000003703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2311.9309975609644,49816.85546969084,0.0002848710934844423,0.0,0.0,0.0,0.0,0.0,0.0,-1.9252425687941326e-08,0.0,0.006534877670617671,1.626423622860007,0.0,274.99978641385877,11.262269272452393,0.0,0.0,0.0,18750000.00000373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,99998947.47977094,0.1174478492888471,1045.1200877127528,73805.96002043827,26646.49373041096,49975351.33874151,-6.039029501658892e-05,-2.3688375517634517e-08,5.2842487252606326e-15,24837.495047876455,72915.28327580502,3832.8739274920754,3642.05356739375,2.050865090075292e-16,1.726982472264866e-16,18750.000000005028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3667.6703795482185,50694.73743655321,-0.0004218982049697288,0.0,0.0,0.0,0.0,0.0,0.0,-7.231205107149065e-08,0.0,0.010768959134011418,9.042757086956405,0.0,274.9996214479225,14.704281835062112,0.0,0.0,0.0,18750000.000005007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,99998707.00858751,0.2099754885881356,1336.8532205059728,67411.12532519964,34037.82811755958,49968599.135908835,-7.062363580669857e-05,-1.529873919538845e-08,-8.472474223432034e-15,32309.540531917413,68252.26862536995,5440.741283198477,4024.6554449072505,-9.148551850216019e-16,3.914891380783332e-16,18750.000000006065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5824.970839933711,50553.31562592169,-0.0001572223409740247,0.0,0.0,0.0,0.0,0.0,0.0,-1.2450915968990539e-08,0.0,0.018773571217246307,22.995131952075354,0.0,274.9993239800108,17.54390462046756,0.0,0.0,0.0,18750000.000006046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,99998451.02874576,0.2563148022231989,1584.4474300514566,61902.31906082403,41313.96595993038,49962342.11320989,-7.179498117080234e-05,-6.893361819001194e-09,6.032295909036235e-15,37902.918544297005,64480.469928182814,7747.1925236075585,4277.855994473308,-1.0787420179524554e-15,-1.519238907660756e-16,18750.000000006927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7442.47155213176,51186.89106584726,8.458451394303586e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.910923247022935e-08,0.0,0.025963410555415914,28.599190399546984,0.0,274.9990127803354,19.801493493774714,0.0,0.0,0.0,18750000.000006933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,99998214.35087821,0.3759209397161505,1782.3183248172852,55471.96651497104,44505.49199994415,49954567.83764227,5.502031858922004e-05,-2.1714973413941595e-09,2.0017464929803927e-15,43529.20621607329,60816.55378652842,9520.140591050493,5094.621844842944,1.1019664251803881e-15,-6.230578845695242e-16,18750.000000007603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9555.04377743851,52139.37776048742,-0.00011654724773809484,0.0,0.0,0.0,0.0,0.0,0.0,4.683082546179914e-08,0.0,0.029539843029518374,38.59566379350568,0.0,274.9987317783273,20.701348008587903,0.0,0.0,0.0,18750000.00000763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,99997992.99488638,0.42785597195525277,1952.194280977677,50742.2670953667,51866.51193528703,49949672.6222071,-5.208288564022099e-05,-6.29026289771986e-09,6.925372687886692e-16,48923.05236384877,55137.314056187504,11137.304888045388,5406.706848526246,6.2005064989656295e-16,-6.86889688310917e-16,18750.00000000805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11460.39924116952,53468.58172344892,0.0006503484415663783,0.0,0.0,0.0,0.0,0.0,0.0,-4.451619826086137e-08,0.0,0.03763934994774161,55.27560868796049,0.0,274.9984469637995,22.000998300032176,0.0,0.0,0.0,18750000.000008218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,99997881.683404,0.4792458807806593,2207.119078294372,45952.68406870136,57884.628474975594,49945894.513962716,0.00014081524321838025,4.211531583072915e-09,3.5121040550945536e-17,54772.531309488026,50115.628936506524,13011.778176189342,6210.8356851259505,-4.672592348269677e-16,-1.1889117966515996e-16,18750.000000008444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13318.194059438456,53511.25879308782,0.0008994477971288305,0.0,0.0,0.0,0.0,0.0,0.0,1.0154011788382787e-07,0.0,0.04454893789310288,63.297516253499474,0.0,274.99802400412614,22.967187653301277,0.0,0.0,0.0,18750000.000008572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,99997705.74968833,0.569568364065948,2394.7411687689278,40856.90762348437,61605.69034323763,49940916.13097155,0.00012822993499473492,9.025211543691365e-09,-5.545740000689978e-15,58825.23837049034,45852.31053658597,14769.16639870044,7224.1609548845145,-9.916362747186115e-16,3.917209055307987e-16,18750.00000000876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14797.78946079804,54409.082387398295,0.001049489456931112,0.0,0.0,0.0,0.0,0.0,0.0,5.9196420990294466e-08,0.0,0.04958413491573651,69.92835339483896,0.0,274.9975578308542,23.836360300653865,0.0,0.0,0.0,18750000.00000877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
