milliseconds,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,R_act,R,R_inact
0,28.514773357617,0.0,28.514773357617,0.0,0.0,0.0,50.78093897,0.0,0.0,0.0,0.0,0.0,50.78103407,60.5899176013587,0.0,60.5899176013587,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,28.51477455349019,5.714852137654918e-09,28.51477455349019,5.714852137771533e-09,3.2877245228373736e-18,1.2387042781988739e-09,50.78093902554083,3.2877245228441698e-18,1.23870427822423e-09,3.287724522852317e-18,2.8635424926079107e-16,9.239496120131189e-08,50.78103385897252,60.58991396678045,3.012298401286193e-06,60.58991396678045,3.0122984013458596e-06,2.8635424926140076e-16,9.239496120319752e-08,2.863542492620928e-16,0.000489332006580484,0.9995106679934194,0.0
200,28.514775744073713,1.4373263089278237e-08,28.514775744073713,1.4373263089572325e-08,8.293854299646408e-18,3.1239151719494508e-09,50.78093908064477,8.293854299663553e-18,3.123915172013416e-09,8.293854299684107e-18,7.223781691257277e-16,2.3239616972040972e-07,50.78103355200648,60.58990892515041,7.384788305214984e-06,60.58990892515041,7.384788305365017e-06,7.223781691272657e-16,2.3239616972516485e-07,7.223781691290111e-16,0.0009783817094092895,0.9990216182905906,0.0
300,28.514776934657235,2.3031674040901556e-08,28.514776934657235,2.3031674041373112e-08,1.3299984076455442e-17,5.009126065700027e-09,50.78093913574871,1.3299984076482932e-17,5.009126065802601e-09,1.3299984076515897e-17,1.1584020889906642e-15,3.7239737823950745e-07,50.78103324504044,60.589903883520364,1.1757278209143775e-05,60.589903883520364,1.1757278209384174e-05,1.1584020889931305e-15,3.723973782471322e-07,1.1584020889959294e-15,0.001467431412238095,0.9985325685877618,0.0
400,28.514777917076227,1.5472469043900282e-07,28.514777917076227,1.5472469046494278e-07,1.1156714913429138e-13,2.906773944473931e-07,50.78093905015106,1.1156714913659534e-13,2.906773945050539e-07,1.1156714913889932e-13,1.0207877389179169e-12,2.7273232612627307e-06,50.78102831382571,60.58988986928681,2.279873039691664e-05,60.58988986928681,2.2798730398795483e-05,1.0207877389389617e-12,2.7273232617278805e-06,1.0207877389600067e-12,0.0019546654938745363,0.9980453345061252,0.0
500,28.51477818034383,7.114685365162777e-07,28.51477818034383,7.114685366550741e-07,6.084916678089767e-13,1.5567383222472889e-06,50.780938478468016,6.084916678215398e-13,1.5567383225612247e-06,6.084916678341087e-13,5.561450541765497e-12,1.2734206633469064e-05,50.78100740709956,60.58984485716809,5.6879618860039984e-05,60.58984485716809,5.687961886890581e-05,5.561450541880312e-12,1.273420663596236e-05,5.561450541995148e-12,0.0024356271020764004,0.9975643728979233,0.0
600,28.514778443611434,1.2682123825935495e-06,28.514778443611434,1.2682123828452023e-06,1.105416186483662e-12,2.8227992500471784e-06,50.78093790678498,1.1054161865064872e-12,2.8227992506173955e-06,1.1054161865293183e-12,1.0102113344613097e-11,2.2741090005675396e-05,50.780986500373395,60.58979984504937,9.096050732316333e-05,60.58979984504937,9.096050733901597e-05,1.0102113344821683e-11,2.2741090010196838e-05,1.0102113345030289e-11,0.0029165887102782615,0.9970834112897217,0.0
700,28.51477870687904,1.8249562286708244e-06,28.51477870687904,1.8249562290353306e-06,1.6023407051583474e-12,4.088860177847074e-06,50.78093733510194,1.6023407051914346e-12,4.0888601786735726e-06,1.6023407052245277e-12,1.46427761474607e-11,3.2747973377881725e-05,50.780965593647245,60.589754832930666,0.0001250413957862865,60.589754832930666,0.0001250413958091263,1.4642776147763054e-11,3.2747973384431316e-05,1.464277614806543e-11,0.0033975503184801256,0.9966024496815198,0.0
800,28.51477897014664,2.381700074748096e-06,28.51477897014664,2.381700075225459e-06,2.0992652238330298e-12,5.354921105646964e-06,50.7809367634189,2.099265223876379e-12,5.354921106729737e-06,2.099265223919737e-12,1.9183438950308278e-11,4.275485675008802e-05,50.78094468692109,60.58970982081195,0.00015912228424940986,60.58970982081195,0.00015912228427923645,1.9183438950704404e-11,4.2754856758665706e-05,1.9183438951100552e-11,0.0038785119266819866,0.9961214880733179,0.0
900,28.514779233414245,2.938443920825365e-06,28.514779233414245,2.938443921415587e-06,2.596189742507712e-12,6.620982033446853e-06,50.780936191735854,2.5961897425613234e-12,6.620982034785908e-06,2.5961897426149435e-12,2.372410175315586e-11,5.276174012229426e-05,50.78092378019494,60.58966480869323,0.00019320317271253302,60.58966480869323,0.00019320317274934643,2.3724101753645754e-11,5.276174013290014e-05,2.372410175413567e-11,0.004359473534883848,0.995640526465116,0.0
1000,28.51477949668185,3.4951877669026397e-06,28.51477949668185,3.495187767605715e-06,3.0931142611823974e-12,7.887042961246749e-06,50.780935620052816,3.093114261246271e-12,7.88704296284208e-06,3.093114261310153e-12,2.826476455600346e-11,6.27686234945006e-05,50.780902873468776,60.58961979657451,0.00022728406117565638,60.58961979657451,0.00022728406121945676,2.8264764556587127e-11,6.276862350713461e-05,2.8264764557170813e-11,0.004840435143085709,0.9951595648569141,0.0
1100,28.51477975994945,4.051931612979915e-06,28.51477975994945,4.051931613795844e-06,3.5900387798570826e-12,9.153103889046646e-06,50.78093504836977,3.590038779931215e-12,9.15310389089825e-06,3.5900387800053624e-12,3.280542735885106e-11,7.277550686670693e-05,50.780881966742626,60.589574784455806,0.0002613649496387797,60.589574784455806,0.0002613649496895671,3.2805427359528474e-11,7.277550688136909e-05,3.2805427360205954e-11,0.005321396751287573,0.9946786032487123,0.0
1200,28.514780023217057,4.608675459057186e-06,28.514780023217057,4.608675459985975e-06,4.086963298531768e-12,1.0419164816846534e-05,50.780934476686724,4.086963298616163e-12,1.0419164818954427e-05,4.086963298700571e-12,3.734609016169866e-11,8.278239023891325e-05,50.78086106001647,60.58952977233709,0.00029544583810190306,60.58952977233709,0.0002954458381596772,3.734609016246985e-11,8.278239025560357e-05,3.73460901632411e-11,0.005802358359489434,0.9941976416405103,0.0
1300,28.514780286484662,5.165419305134461e-06,28.514780286484662,5.165419306176103e-06,4.5838878172064534e-12,1.168522574464643e-05,50.780933905003685,4.58388781730111e-12,1.1685225747010597e-05,4.58388781739578e-12,4.188675296454626e-11,9.278927361111954e-05,50.78084015329032,60.58948476021837,0.00032952672656502626,60.58948476021837,0.00032952672662978755,4.188675296541122e-11,9.278927362983801e-05,4.188675296627624e-11,0.006283319967691297,0.9937166800323084,0.0
1400,28.514780549752267,5.722163151211735e-06,28.514780549752267,5.722163152366231e-06,5.0808123358811374e-12,1.2951286672446327e-05,50.78093333332064,5.080812335986056e-12,1.2951286675066767e-05,5.080812336090989e-12,4.642741576739386e-11,0.00010279615698332588,50.78081924656416,60.58943974809965,0.0003636076150281496,60.58943974809965,0.0003636076150998977,4.642741576835257e-11,0.00010279615700407249,4.642741576931138e-11,0.006764281575893159,0.9932357184241067,0.0
1500,28.51478081301987,6.278906997289005e-06,28.51478081301987,6.2789069985563595e-06,5.577736854555821e-12,1.4217347600246216e-05,50.78093276163761,5.5777368546710015e-12,1.421734760312294e-05,5.577736854786197e-12,5.096807857024144e-11,0.00011280304035553217,50.78079833983801,60.589394735980946,0.00039768850349127297,60.589394735980946,0.00039768850357000784,5.096807857129392e-11,0.00011280304037830692,5.09680785723465e-11,0.007245243184095021,0.9927547568159049,0.0
1600,28.514781076287473,6.83565084336628e-06,28.514781076287473,6.835650844746488e-06,6.074661373230506e-12,1.5483408528046113e-05,50.78093218995456,6.074661373355948e-12,1.548340853117911e-05,6.074661373481405e-12,5.5508741373089044e-11,0.0001228099237277385,50.78077743311185,60.58934972386223,0.0004317693919543962,60.58934972386223,0.0004317693920401181,5.550874137423529e-11,0.0001228099237525414,5.550874137538164e-11,0.007726204792296883,0.992273795207703,0.0
1700,28.514781339555075,7.392394689443553e-06,28.514781339555075,7.3923946909366174e-06,6.571585891905192e-12,1.6749469455846e-05,50.780931618271524,6.571585892040895e-12,1.6749469459235285e-05,6.5715858921766146e-12,6.004940417593664e-11,0.0001328168070999448,50.7807565263857,60.58930471174351,0.0004658502804175196,60.58930471174351,0.00046585028051022835,6.004940417717667e-11,0.00013281680712677588,6.004940417841678e-11,0.008207166400498745,0.9917928335995011,0.0
1800,28.514781602822676,7.949138535520827e-06,28.514781602822676,7.949138537126747e-06,7.068510410579877e-12,1.8015530383645897e-05,50.78093104658848,7.068510410725841e-12,1.8015530387291456e-05,7.068510410871824e-12,6.459006697878424e-11,0.00014282369047215112,50.78073561965954,60.58925969962479,0.0004999311688806428,60.58925969962479,0.0004999311689803386,6.459006698011803e-11,0.0001428236905010103,6.459006698145191e-11,0.008688128008700608,0.9913118719912992,0.0
1900,28.51478186609028,8.505882381598099e-06,28.51478186609028,8.505882383316874e-06,7.56543492925456e-12,1.9281591311445785e-05,50.78093047490544,7.565434929410786e-12,1.9281591315347626e-05,7.565434929567032e-12,6.913072978163182e-11,0.0001528305738443574,50.78071471293339,60.58921468750607,0.0005340120573437661,60.58921468750607,0.0005340120574504487,6.913072978305938e-11,0.00015283057387524478,6.913072978448703e-11,0.009169089616902468,0.9908309103830973,0.0
