milliseconds,EGFR_active,D_SOS,A_SOS,Raf,Ras_active,Mek_active,ERK,ERK_active,IGFR_active,PI3KCA,PI3KCA_active,AKT_active,AKT,PP2A,Ras,Raf_active,Mek,RasGapActive,RafPP,P90RskInactive,P90Rsk_Active
0,7984.922454574044,116869.78890125555,-1183.398239675974,119958.46920137749,-37.297293282971765,481.6134141975057,597595.5545219405,1044.5848203425583,801.7498675420711,121556.78083975434,804.9185468424473,-399.37070806861,600037.4562051763,120000.0,119460.68203374288,-20.152142580326213,600564.4598526986,120000.0,120000.0,120011.97475935226,18.38568524396113
100,7966.523966080311,92633.98343914544,28410.109388435438,119941.26632215457,5241.230966103256,380.5007890106097,603202.6297326459,-3281.938909078892,796.9407832102231,-549.1268538739259,119169.99514609038,285.08633015728856,599242.46511282,120000.0,114583.36461464349,88.5215610251673,600443.4917502296,120000.0,120000.0,119989.6845290277,-20.253583311746585
200,7969.213574270454,67675.89993935669,55597.74683293038,119633.72817599832,10156.963786725333,-5.848331883015135,598980.7759968302,498.6686750462826,798.4618419651619,1097.866458047363,121084.1826610897,727.0985129081627,599175.7283900995,120000.0,109449.57971508437,298.8825006412638,600194.2291841316,120000.0,120000.0,120030.10637426384,-12.673697917102706
300,7950.900240579603,45840.754595690785,74456.089722285,119397.44608650636,14560.134563897194,958.5093840034003,602214.8041557026,1331.4134315413603,794.6601430795394,1294.1515541193633,121193.02211120055,673.4801414069639,598554.706716644,120000.0,106040.75393437227,552.7751670111345,599391.9673706116,120000.0,120000.0,119983.12707983285,16.923991353865514
400,7917.0341168180785,35182.8874733553,87288.7349236199,119171.94060039698,17175.5242572807,2430.921984189934,595662.7809697157,-2289.004664731708,792.6418274875558,-345.3188568729159,120748.63195370274,1534.9286535406495,598511.7955465842,120000.0,103647.60655693915,853.7669671431412,596651.713303464,120000.0,120000.0,120018.86924007298,-23.106158327988958
500,7911.304785167206,19538.631462403977,98879.89839324674,118888.2334181803,18946.84810050901,5069.340768716329,598658.1572843683,-1513.4654883178523,791.9650500017364,1613.6382243714722,121578.1642394013,1527.5263385367289,597955.9404479006,120000.0,101874.62188201258,1180.184439231798,595057.187874814,120000.0,120000.0,120012.4555216844,-9.581089666742072
600,7908.860595828795,14297.116808088002,101570.93937524107,118587.61410360498,19770.43430348601,6148.703800195859,592584.7548523487,4052.159470133965,790.6254310321281,-912.2151999459836,119942.71003898686,2014.8093475225787,598017.4185267088,120000.0,100545.24566360956,1399.9494131639608,593434.7918212698,120000.0,120000.0,120020.13533460427,-17.97547730250397
700,7867.0843261355685,11603.361268818946,107417.6909414979,118434.9989747401,20194.64436736197,9453.967616632806,595416.0590769425,9055.063113738717,790.7387975947461,-1116.819421397895,119726.16036037977,2467.601373219445,597533.7183733601,120000.0,99509.43835216058,1639.8863425457403,590147.7882905287,120000.0,120000.0,119970.2691938737,4.336399900933145
800,7854.27800027648,12363.598831399788,101695.83649440604,118203.20632137932,19983.70979630184,12114.032790365056,592373.7062349172,8715.52407956504,788.4522583055513,955.811241884733,120824.15740900424,3038.535841167122,597504.4953232504,120000.0,99780.34773922626,1771.9697706514437,587580.5741737516,120000.0,120000.0,120002.43616794147,-28.605970356988138
900,7840.795529740331,22051.492560939165,99390.19840225794,118048.0902344864,18977.09168105505,14293.00289267513,585211.6621673668,18755.57737720649,784.6438664336948,-899.698117588065,120796.57117429611,2699.0770516126827,597071.7255710775,120000.0,100761.25799226805,1947.9369346553913,585443.1808141202,120000.0,120000.0,119959.83454819625,-13.395014571715857
