miliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,6.110408126883212e-09,-1.015902662579655e-10,-2.1509783135689304e-09,8.12982722836699e-10,1.7099762366691297e-11,-9.762410546133264e-12,7.921115829183608e-13,2.5798408928467935e-09
100,5.86011997826799e-08,2.9923416411065385e-12,9.44744154174324e-09,1.3469985494594893e-09,-1.2621100187916697e-10,-4.307880742626846e-11,2.7777816377750647e-12,7.752380825419021e-09
200,1.0637236442739659e-07,2.1305201107255264e-10,3.093792808051046e-09,-7.341904203373315e-10,-1.3938257797136884e-10,3.814845247413923e-12,-1.1864007557898926e-12,1.2288634829891513e-08
300,2.2831058008301314e-07,1.4496497148480677e-10,1.1206654175179564e-08,1.1010956296779567e-09,-1.857480980495379e-10,-2.2063531316091948e-11,3.672342513050161e-12,1.9898906997864787e-08
400,2.561537041431201e-07,2.599631347257305e-10,9.621137847286774e-09,1.2039818482154105e-09,3.2175108224378087e-10,3.092855540953703e-12,3.676466215487362e-12,3.001175413725236e-08
500,3.303040160809164e-07,2.1276647023613817e-10,2.0547450588596352e-09,-3.687252810050538e-10,2.7881269245424894e-10,-2.0103388811848724e-11,3.1583402680064276e-12,3.982137037207886e-08
600,4.2115279313719494e-07,3.413219361268262e-10,4.281531163660425e-09,5.67526268230649e-10,2.7755264168280545e-10,-3.597125847375378e-13,3.921523339036323e-12,5.0366949128549086e-08
700,4.7346010549034924e-07,2.3296430621761357e-10,2.0563189485505277e-08,-5.033632624444716e-10,3.5550897257803086e-10,2.3504406953277725e-11,3.680388456028009e-12,5.547857405550002e-08
800,5.974200278881103e-07,2.961587532858424e-10,2.6560548071330752e-08,6.185978932228555e-10,2.4213234044486647e-10,2.5593063274719134e-11,2.334070864451363e-12,6.56530868407399e-08
900,6.23649099773716e-07,5.561822121374438e-10,3.761750331795496e-08,1.1175437640384232e-09,4.1367953411181664e-10,3.837259929571247e-11,1.860339337697268e-12,6.589064416194204e-08
1000,6.787071006641324e-07,6.243219904273164e-10,2.6447246270007214e-08,-4.2455090180775735e-10,4.939208969651092e-10,5.097232811158137e-11,2.96668915508791e-12,7.159835151782459e-08
1100,7.793351959534623e-07,8.607589345778137e-10,5.5214070301225096e-08,3.43675457551855e-10,6.625563493613449e-10,3.1025478687012747e-11,6.4261236177002165e-12,8.641310141856414e-08
1200,8.019998373921157e-07,8.844983812766682e-10,4.9786968695497937e-08,1.5618436165670458e-09,1.125417452417588e-09,1.3981777333304237e-11,5.3487507640391394e-12,8.731570908164019e-08
1300,9.166534809554456e-07,1.1506760451524858e-09,6.273382842663674e-08,3.2965943991578237e-09,1.3540165396991647e-09,1.631315634678272e-11,9.032387566885151e-12,9.262981267531133e-08
1400,9.423226992581039e-07,1.1747032426453954e-09,7.166670474317474e-08,2.4800220409141325e-09,1.1372374125832416e-09,5.083775972854972e-11,7.447276551074859e-12,1.0231364029213224e-07
1500,9.856989486761793e-07,1.175258082290495e-09,7.079395498538082e-08,4.660408011748027e-09,1.3796717059858342e-09,6.043627626745641e-11,6.352143725712609e-12,1.1354965007682366e-07
1600,1.0605568869320858e-06,1.5522329075247822e-09,9.46577311132362e-08,4.046664300176322e-09,1.5026462467067314e-09,9.329512478328651e-12,9.805484315608154e-12,1.2202541324679583e-07
1700,1.1482869707263194e-06,1.5978195393974605e-09,1.066690567269711e-07,5.1426913147121485e-09,2.1658412162621244e-09,7.232648015591069e-11,1.5014887581678886e-11,1.3282804561384987e-07
1800,1.2238185483503248e-06,1.7496455958223265e-09,1.1905176746514461e-07,4.6260832854614235e-09,2.0949592259928874e-09,1.0832960821830013e-10,1.6793757642147798e-11,1.3341005633269481e-07
1900,1.2713884527744279e-06,1.8241517660230585e-09,1.268468098760464e-07,6.777550910505357e-09,2.691512014403271e-09,4.068330887704419e-11,2.0618586276868224e-11,1.4326285189324894e-07
2000,1.3165423137942894e-06,2.242397799777247e-09,1.3298666322389468e-07,8.469447748999407e-09,2.7553852118062852e-09,9.237921343489822e-11,1.7379778554828142e-11,1.5194706540819934e-07
2100,1.4162190547811371e-06,2.4503003743172098e-09,1.5852696412961375e-07,9.839325412679584e-09,2.8103100780372116e-09,1.1241879936603365e-10,2.5743920277734503e-11,1.6207657433691685e-07
2200,1.421852405986027e-06,2.6358495666906995e-09,1.7163589182735986e-07,8.401709923757956e-09,3.402483820921423e-09,1.8987236987179336e-10,3.195680317888004e-11,1.629451920559364e-07
2300,1.532090776750285e-06,3.0130919312953724e-09,1.8599544910270164e-07,1.0749090412618693e-08,3.817494348399804e-09,1.5374858114314638e-10,3.68327137907157e-11,1.7181903758625333e-07
2400,1.5717591439583458e-06,3.1652131293652594e-09,1.9378936944156977e-07,1.1749075503086083e-08,4.212345265271963e-09,2.467001671963781e-10,3.6730271080052336e-11,1.7894690345102632e-07
2500,1.5972605919680939e-06,3.2781566734245985e-09,1.981909275204376e-07,1.3920260077543734e-08,4.224130094700271e-09,1.9804513105256517e-10,4.2573237122394434e-11,1.893682873447804e-07
2600,1.6940367090103828e-06,3.6165487458845514e-09,2.1651551395425248e-07,1.5853062979506488e-08,4.517944663351708e-09,2.852793608941136e-10,4.4985456547784365e-11,1.9688409935327719e-07
2700,1.7413833822507065e-06,3.830711182509968e-09,2.4288802084780824e-07,1.6007055170745517e-08,5.0909289742173134e-09,3.5648075890534327e-10,5.052109872727609e-11,2.024469297409338e-07
2800,1.7849201385702383e-06,4.388241575721073e-09,2.4556548836258133e-07,1.9265612453948796e-08,5.410832926985989e-09,3.8240178346339407e-10,5.482541518144113e-11,2.0916020501372443e-07
2900,1.8404617372024716e-06,4.6890639204055e-09,2.633597428356416e-07,2.032539283249555e-08,5.968455382334214e-09,3.9869693187550776e-10,6.449236110129385e-11,2.109905372286726e-07
3000,1.9288932730142762e-06,4.6363987591917044e-09,2.796099016319383e-07,2.3448118958364583e-08,6.296260622498834e-09,5.233648887228103e-10,7.078246592061638e-11,2.251614069018322e-07
