milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,-4.122298618845602e-08,3.8768245663111006e-11,6.706382962381409e-10,-6.71981094523328e-10,-1.9413870922983545e-10,-2.953550229738916e-11,2.5924785258333467e-12,-2.6585728798650292e-09
100,4.901302102321261e-08,7.381612315452211e-11,7.963322455894804e-09,4.606114363484722e-10,-1.0726429436991652e-10,4.013360110063513e-11,1.7360417741725356e-12,3.3068177584040616e-09
200,1.360228918942073e-07,2.098756508826028e-10,5.937918920122122e-11,-1.078535082328787e-09,1.260058909464386e-10,3.8271317822292736e-11,2.4880600550613197e-12,1.57907677929469e-08
300,2.3444132261825602e-07,2.143255020646526e-10,3.996810062562349e-09,1.6745064632265984e-10,-4.9655640767946354e-11,-9.785994795552606e-12,4.373115311926918e-12,2.8007937757620022e-08
400,3.0226237141059057e-07,-7.726336957563253e-11,-3.735457334877184e-09,2.448576629240135e-10,9.41109174400473e-11,-2.1736415983210127e-11,-3.878651413361344e-12,3.514427379274283e-08
500,3.353835887304997e-07,2.172411354264692e-10,4.382365692837246e-10,-1.0258549919674142e-09,3.1394900953368765e-10,2.0439558515087238e-11,4.569287476365577e-12,3.4791270863423263e-08
600,4.6003061900522566e-07,1.8927458698921194e-10,1.008780720282035e-08,1.4439674880454168e-09,1.2470813433668546e-10,-7.490771826850103e-12,5.06087995256977e-13,4.109029531185318e-08
700,5.289470339738023e-07,4.3533876383961713e-10,2.8299297570435433e-08,1.2666074891261222e-09,4.110704176546817e-10,-3.64535281861306e-11,5.480610881968938e-12,5.840236288138195e-08
800,5.631472320601645e-07,3.23119325625987e-10,2.2211170524580293e-08,-3.899728641941925e-10,2.5951358112937036e-10,3.591047789753135e-11,1.0204126499842192e-12,6.311813236867342e-08
900,6.302405179939341e-07,4.914664340994401e-10,2.5462417494294653e-08,1.913711177236186e-09,6.034572763924958e-10,-1.0483393862616745e-11,-1.6583151492325632e-12,6.758735254769299e-08
1000,7.069724453708801e-07,5.237088222740395e-10,3.9822765351714946e-08,2.0561763873684784e-10,6.640066428687184e-10,2.715472591784001e-11,-3.9803673881004116e-13,7.759379533626836e-08
1100,7.620382098230339e-07,8.076333331335899e-10,4.1992920926209635e-08,2.0392217186550603e-09,8.326047368559271e-10,2.859101668696049e-11,5.639146285919251e-12,8.313887596760594e-08
1200,8.467147570374606e-07,9.542426630882003e-10,6.081312170083124e-08,2.5117745459629513e-09,1.229109461330054e-09,2.2249496665465698e-11,3.71025198915725e-12,9.12794185169903e-08
1300,9.122254089847922e-07,1.1094118942699362e-09,7.127805785484634e-08,7.677076221936232e-10,9.997097972769392e-10,-5.653856385464858e-12,3.14312087628521e-12,9.339317389082426e-08
1400,9.50350180116712e-07,1.2864228258765574e-09,6.428545726650146e-08,1.8367874375465358e-09,1.118784049688407e-09,8.330743577080474e-12,3.3460841319557817e-12,1.0364030904247865e-07
1500,1.0071395524996639e-06,1.2576864181721383e-09,7.911029128154937e-08,4.361098176938066e-09,1.6605199114731125e-09,9.118615321167767e-12,1.2036637682885427e-11,1.1656707776335516e-07
1600,1.11889109265543e-06,1.3968592396882387e-09,9.860320223777999e-08,3.435957258176728e-09,1.6990598550326898e-09,8.670193901958716e-11,1.086626613793683e-11,1.2340422285138945e-07
1700,1.1296575227353057e-06,1.667702412876682e-09,1.0803807523190231e-07,4.60332539108548e-09,1.9436278945856364e-09,3.70934990447394e-11,1.3230260652020974e-11,1.2645927129047988e-07
1800,1.1736312673555382e-06,1.6608192269973722e-09,1.119636290018015e-07,6.753493113412054e-09,2.1462778157784634e-09,7.84866297803453e-11,1.399881344859418e-11,1.4050272917979788e-07
1900,1.2887489800023686e-06,1.8864464537244687e-09,1.3522891652542816e-07,6.695702827405686e-09,2.2994191653494824e-09,7.616929366405764e-11,1.5068253794561998e-11,1.4709213528867287e-07
2000,1.3425438719127662e-06,2.2612611339840108e-09,1.4055424912016907e-07,7.52917527398752e-09,2.9365692700351947e-09,6.059457420228933e-11,2.503323066257438e-11,1.4589023234385846e-07
2100,1.3975730969670497e-06,2.4786082879438267e-09,1.4952512041544456e-07,8.593100123954042e-09,3.214543806666403e-09,1.219868805873358e-10,2.682641303402939e-11,1.5546959548711016e-07
2200,1.4826224289457716e-06,2.553915401528696e-09,1.706901357068875e-07,1.0110074795115556e-08,3.4334925307139295e-09,1.3953172362495382e-10,3.2236847065796536e-11,1.6060070994095522e-07
2300,1.5256408828140915e-06,2.947275240378567e-09,1.8650959558696456e-07,1.1873694437589836e-08,3.4303040578004448e-09,2.0096502268337665e-10,3.6729717846845135e-11,1.7215259688897623e-07
2400,1.5697855745784216e-06,3.09521230710415e-09,1.8569622363035725e-07,1.135466469517575e-08,3.901644730897215e-09,1.8626533601105332e-10,3.712754128529316e-11,1.782095602630442e-07
2500,1.600464491668946e-06,3.26559783750278e-09,1.955595057299561e-07,1.4045484222963363e-08,4.5606386811571235e-09,2.4219187268954165e-10,4.3395905242387315e-11,1.863547132838339e-07
2600,1.6589186272316098e-06,3.619180732360339e-09,2.2112477380829084e-07,1.5294537832018028e-08,4.610627365516202e-09,3.192743369171424e-10,4.500094038697756e-11,1.9463831736466342e-07
