miliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,-1.761782077516853e-08,-1.4700631638617928e-10,-3.096809794836545e-10,1.4145333790963919e-09,-2.0308178762657426e-10,-1.500737956824499e-11,1.934697182690835e-12,2.420156822216599e-09
100,7.387062226213103e-08,1.9385201109105063e-10,9.347976099388913e-09,7.773884483173269e-10,2.1919570475260824e-10,1.1037726596874305e-11,3.4828889018860155e-12,2.4320423147451364e-09
200,1.1892416247927913e-07,-6.980851754009435e-11,-8.495017794115225e-09,-2.2023520290121505e-10,2.8443969612790052e-12,1.7351638288162705e-11,7.320690710160444e-13,1.576578628364443e-08
300,1.873294088274513e-07,7.073512347522112e-11,-1.9301780134907684e-09,-5.611954986457188e-11,-1.4433828024024272e-10,-3.977168871250925e-11,3.4587458403765146e-13,2.3308383555239933e-08
400,3.03482014680661e-07,2.651760349601091e-10,-3.5462146521690468e-09,2.647903414176433e-10,3.7065856897739795e-10,4.326044719999162e-11,3.1570714893818965e-12,2.5352021741492713e-08
500,3.9734054075471174e-07,3.384619267038425e-10,5.48139571366079e-09,-1.0683428680532025e-09,3.047855737767835e-10,-7.696790957501584e-12,2.8048211410306363e-12,3.3569872695802905e-08
600,4.354893305056032e-07,2.5479863205082066e-11,2.2923274313020563e-08,-1.1988208313503212e-09,3.4396345578187376e-10,7.287609035372396e-12,1.8844054580265295e-12,4.466283653733245e-08
700,5.026572394910293e-07,4.778201317693442e-10,1.3737047769464166e-08,-4.676090705687216e-10,4.4515413422211974e-10,-1.4198556597828504e-11,3.0683104817225035e-12,4.7715153858152643e-08
800,5.387601355089168e-07,2.834077183866619e-10,2.3130329955322793e-08,1.1951378029728594e-10,6.031130018124131e-10,4.8792362902904293e-11,4.314431778327609e-12,5.957412045605842e-08
900,6.587363987585198e-07,3.811896902715811e-10,2.913577498248179e-08,9.116690669703876e-10,5.422536054341031e-10,-4.1112808604389544e-11,1.8110943113630956e-12,7.247228729847846e-08
1000,6.920996127749104e-07,5.217912360428467e-10,3.1052964281873694e-08,-6.855663193476294e-11,8.765882310394204e-10,-3.146500613985358e-11,4.084637612453234e-12,7.4833698812267e-08
1100,7.222080861245767e-07,8.63020425656444e-10,5.152699313569769e-08,3.1284818057871186e-10,5.895581053690038e-10,4.8017787539548576e-11,6.884753847381689e-12,8.259949240100828e-08
1200,8.109095208364183e-07,8.97179687531812e-10,5.0289984950361905e-08,3.088777085076232e-09,1.0058346642022391e-09,3.009441617052663e-11,7.11604035648036e-12,8.715246249483587e-08
1300,8.679484312719104e-07,8.218493356914125e-10,7.143201904528481e-08,3.5394486578493635e-09,1.4113156473902434e-09,-1.0248537270219468e-11,6.23681262652592e-12,1.032952691865542e-07
1400,9.96644503832378e-07,1.2301894323572923e-09,8.017864725135184e-08,3.021248228004348e-09,1.3036196962881347e-09,4.5112671263272535e-11,5.92209545999314e-12,1.1077128332728953e-07
1500,1.0509178795585163e-06,1.364006128479529e-09,9.062496241822142e-08,2.993771435946476e-09,1.7576034992882124e-09,4.686711668428036e-11,6.563704452683373e-12,1.1679054477955804e-07
1600,1.1127403870481759e-06,1.3498095214785134e-09,8.339507126944831e-08,4.7881689925536925e-09,1.5653983924994229e-09,3.958723148369902e-11,1.1721265702612482e-11,1.2542724965680452e-07
1700,1.1343179756050752e-06,1.784248316237103e-09,9.199197753298896e-08,4.778113782582671e-09,2.1561103420050273e-09,9.600859228634023e-11,1.625954261864569e-11,1.3078252584104825e-07
1800,1.1923023918815547e-06,1.8060330098990449e-09,1.2316105641883364e-07,4.064486928393259e-09,2.1406054131169263e-09,7.957372234075534e-11,1.8621999015683137e-11,1.3843359945959172e-07
1900,1.2630311771738553e-06,2.049715999805999e-09,1.256079786566274e-07,6.600929984119657e-09,2.6806647226685463e-09,6.346044703514038e-11,2.0974103981929978e-11,1.46568348292591e-07
2000,1.3367120823477365e-06,2.3859744115990847e-09,1.4313998551287418e-07,6.468838652007094e-09,2.5127753841949176e-09,1.1896315690621486e-10,2.1549472290747492e-11,1.5257720311027233e-07
2100,1.378591110407456e-06,2.493393357969191e-09,1.5705201285448256e-07,9.776270500679112e-09,3.174128314907455e-09,1.595931922191427e-10,2.463254887460872e-11,1.6135618761652555e-07
2200,1.4583708360491147e-06,2.619408765366006e-09,1.6584873653193575e-07,9.086185296462482e-09,3.3377946972127204e-09,1.6654472806489825e-10,2.630221999608509e-11,1.6078008144215077e-07
2300,1.5447155424788121e-06,2.865553788679542e-09,1.869459024072111e-07,9.833726267585918e-09,3.585572074693928e-09,2.124806332933153e-10,3.302034390202466e-11,1.7648141837894648e-07
2400,1.5988228601487053e-06,3.22914486869587e-09,1.9918572694796786e-07,1.245508731756391e-08,3.796416687813066e-09,2.5135718313003463e-10,3.627734212791841e-11,1.746883637807261e-07
2500,1.6582143875410449e-06,3.4749918839632365e-09,1.9602262678177774e-07,1.380400347719669e-08,4.427537550961103e-09,2.0679661377834103e-10,4.5994321464370014e-11,1.8789223412757529e-07
2600,1.6973373682767564e-06,3.747238772199898e-09,2.270839053718846e-07,1.5960544266851453e-08,4.606193941138662e-09,2.822914300724683e-10,4.5416273006064556e-11,1.915421570766072e-07
2700,1.706151519853017e-06,3.809547552426192e-09,2.376099390263021e-07,1.6051050578681493e-08,4.924275302621761e-09,3.0051623124017677e-10,4.924142622804876e-11,1.9573947096471435e-07
