milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,4.1337806129808216e-08,1.348948270442028e-10,6.88016097506598e-09,-8.326218041245188e-10,-6.879818108686764e-11,3.0009668186459684e-11,-1.6367650148679552e-12,-3.2212586822139866e-09
100,3.532469792178095e-08,1.7781770482600307e-11,8.844478033524553e-09,8.616498780888939e-10,-1.3528833163200606e-10,1.1410956140121097e-11,-7.081427279556933e-13,7.414595364309363e-09
200,1.7065574033406646e-07,-2.065027665915633e-12,-7.484124710382167e-09,7.8353293968991e-10,-1.736622183758237e-10,1.6121175881455214e-11,-5.679119616570412e-13,1.1647196507188535e-08
300,1.8267991146782685e-07,-4.703568124516751e-11,5.061873730788901e-09,-6.202827933291689e-12,6.638349081131947e-11,3.64517975782138e-11,-3.6508614311198365e-12,2.4066124910347203e-08
400,2.8214581636773505e-07,1.6356429488002914e-12,-1.8508930468613187e-09,-1.0528101447457531e-09,-5.869329429607465e-11,3.873658197616917e-12,1.3106298498065701e-12,2.8683931159198196e-08
500,3.608601568683305e-07,-2.9906286599543524e-11,7.441600722048251e-09,7.072270245314239e-10,3.606158804598658e-10,4.1533405639329044e-11,1.7076472400871006e-12,3.857679963934288e-08
600,4.3415693808829183e-07,2.3066728226898033e-10,4.328743149729428e-09,-5.670494298882973e-10,3.6852270931766694e-10,1.3249781794923185e-11,1.9933732451833344e-12,4.127096595792611e-08
700,5.256146857700604e-07,2.996771872305734e-10,2.710795118416776e-08,1.5596821896885532e-09,3.028658212233626e-10,1.759224272573666e-11,4.116369737148257e-12,5.189545395927079e-08
800,5.619593236300753e-07,4.929797887140093e-10,2.6092324234077942e-08,-1.162762373187039e-10,6.514713377070751e-10,3.653578266470862e-11,9.535250322097036e-13,5.836306135894597e-08
900,6.076535550242993e-07,3.7064096728801955e-10,2.4194157513518362e-08,9.62823624042705e-10,4.242575662615742e-10,2.892942772170489e-12,-1.940808415024418e-12,6.287306769718589e-08
1000,6.845935716631003e-07,4.03405850753307e-10,4.2301258430140416e-08,1.394594360975292e-10,4.927558331382058e-10,5.990179857044477e-12,1.7197131566803312e-12,7.862048796919147e-08
1100,7.826830053087055e-07,6.977474979807175e-10,4.535162136691162e-08,1.2555452541998383e-10,1.0080910819778418e-09,5.653667963497134e-11,7.609062740835227e-12,8.091896490924019e-08
1200,8.255296039034407e-07,7.71867392761221e-10,6.145109789520156e-08,1.0981850488169669e-09,1.0065964774603089e-09,-2.4546113439639358e-11,9.608133207104168e-13,9.15293240444866e-08
1300,8.528489743284943e-07,8.14539604452504e-10,6.613915748488071e-08,1.918427459987126e-09,1.1321777071357302e-09,6.1213295912979e-11,8.277976602641544e-12,9.434010382814647e-08
1400,9.772580641046116e-07,1.2390512236383984e-09,7.397723738830873e-08,3.499365906434765e-09,1.1235040290015387e-09,2.5030300260436806e-11,4.729596833167215e-12,1.0607468383218478e-07
1500,1.0474499460112237e-06,1.2873687611319062e-09,7.117726740317382e-08,4.5545479696021365e-09,1.801747400740507e-09,7.083308350224164e-11,8.139084665010273e-12,1.1823845282974045e-07
1600,1.0692791190686474e-06,1.4631487399759762e-09,8.970772326950939e-08,4.345600972563307e-09,1.9712887785398902e-09,8.918632184301114e-11,1.0152512079833961e-11,1.2236263056897294e-07
1700,1.1163250895420118e-06,1.6340923833194391e-09,9.82087758975926e-08,4.5980437378424905e-09,1.773512253162874e-09,7.461165015937608e-11,9.630236602410961e-12,1.325716917184196e-07
1800,1.2113035643699435e-06,1.8706386719301707e-09,1.1421504196157991e-07,4.953333285753023e-09,2.382051020627282e-09,9.432761587216232e-11,1.5225906346424553e-11,1.3706420971119055e-07
1900,1.2402629199311656e-06,2.0453849231286066e-09,1.161381688770645e-07,6.790427709046057e-09,2.265428629980646e-09,5.137297017469839e-11,1.8737331842226312e-11,1.4729073785274935e-07
2000,1.3391493429273163e-06,2.136216492259379e-09,1.3160885171289426e-07,8.227753058386613e-09,2.835381818613112e-09,1.1290322235374472e-10,2.1951785865045974e-11,1.4993275087986444e-07
2100,1.3522919074436415e-06,2.5077506273101247e-09,1.476445986124909e-07,9.366177327323853e-09,3.265629143332177e-09,1.5297510713159867e-10,2.5475520524985257e-11,1.5661759664172492e-07
2200,1.4789408670509535e-06,2.5702505198467265e-09,1.7164872202229245e-07,9.640422703709769e-09,3.55652759987945e-09,1.5217658997620025e-10,2.731655094059548e-11,1.6384791441748455e-07
2300,1.4825976568365572e-06,2.8574986218821355e-09,1.7105962056139011e-07,1.2459260182629513e-08,3.782535345422342e-09,2.0952350552802192e-10,3.2357928872148016e-11,1.67542665687445e-07
2400,1.587176942754339e-06,3.2267846360992643e-09,1.8744303361656646e-07,1.3166800774475498e-08,4.1221630428680565e-09,2.1802366895681187e-10,4.124170950051153e-11,1.7840856348390145e-07
2500,1.6527438747546225e-06,3.2377130616219924e-09,2.1125795142387837e-07,1.3875566206285762e-08,4.3233184176786685e-09,2.7133098618069856e-10,4.036729689737431e-11,1.889599247356368e-07
2600,1.700371674744526e-06,3.7116729485046952e-09,2.247195293687554e-07,1.699025369970424e-08,4.88728612754155e-09,2.844940525409288e-10,4.713433701894041e-11,1.8994732199305028e-07
2700,1.7164171481571159e-06,3.794108670839503e-09,2.405476211272977e-07,1.664483462229281e-08,5.195282675686058e-09,3.577815615971111e-10,4.979220971415306e-11,1.9837425259213142e-07
2800,1.7599846686859834e-06,4.342316332602744e-09,2.425450260386395e-07,1.939322575655351e-08,5.412438123425897e-09,3.515843066115027e-10,5.960603770037927e-11,2.0815215649223698e-07
2900,1.8586060666253323e-06,4.44361270427091e-09,2.677168216289223e-07,2.048693913834332e-08,5.563142733560913e-09,3.9674832205365683e-10,6.731224863314582e-11,2.1950872870844695e-07
3000,1.918441294300846e-06,4.862226885797721e-09,2.824894798346724e-07,2.213353681441869e-08,6.439514945366197e-09,4.620327033714112e-10,6.692102486991797e-11,2.2159109698038991e-07
3100,1.9489279218939218e-06,5.217683752292808e-09,3.1029851615612843e-07,2.5174565483403995e-08,6.518024618852926e-09,5.746998001762667e-10,7.467128682800618e-11,2.2483842640275456e-07
3200,2.0158240694999995e-06,5.290046942274513e-09,3.2938882693402957e-07,2.890188435027832e-08,7.132600432780419e-09,5.891622953671539e-10,8.040958481475654e-11,2.400317384494679e-07
3300,2.0571520722030153e-06,5.613958773820565e-09,3.401212230830083e-07,3.077850425263564e-08,7.257998866345345e-09,6.430248093609342e-10,8.933599870336744e-11,2.39320207627751e-07
3400,2.1281089581067927e-06,6.044252820227559e-09,3.491777050105687e-07,3.385890715690433e-08,8.155230709624071e-09,7.743936894453943e-10,9.643493707596901e-11,2.489083377883743e-07
3500,2.142396191135269e-06,6.518949947310102e-09,3.7280650107437444e-07,3.694404000134274e-08,8.334229047752581e-09,8.378837941514268e-10,1.121638257993422e-10,2.5841051080522403e-07
3600,2.187323136068862e-06,6.755948448097266e-09,3.9550509112405296e-07,3.9837787092844966e-08,9.201567285912583e-09,9.420555498275394e-10,1.1945876958895764e-10,2.675186890210545e-07
3700,2.2449788461008255e-06,6.93311613345862e-09,4.068349531450514e-07,4.0763815380358223e-08,9.473575492138244e-09,1.0650920957435237e-09,1.3193980486658685e-10,2.7524221173938315e-07
3800,2.337946485974912e-06,7.293232419621505e-09,4.253938839933348e-07,4.592682469173104e-08,1.0041028222919659e-08,1.212055188765632e-09,1.3379046592788695e-10,2.774353548785332e-07
3900,2.344652603627789e-06,7.836955355727097e-09,4.572769177089146e-07,4.8612360358293224e-08,1.037664730146407e-08,1.2850002678968312e-09,1.4479600218139772e-10,2.8515987879451884e-07
4000,2.3710659018257893e-06,8.178145460908834e-09,4.768650864953535e-07,5.252567421045989e-08,1.1303912534616907e-08,1.3707268669256451e-09,1.5553355484421007e-10,2.982939479452482e-07
4100,2.503046704878566e-06,8.471378740371733e-09,4.877430537619265e-07,5.6005101734380206e-08,1.1826779954377323e-08,1.5327891601934474e-09,1.7216449966592617e-10,3.053648833982422e-07
4200,2.529124041496815e-06,9.132253646604724e-09,5.235552137015149e-07,5.990348468357008e-08,1.2141690074485565e-08,1.719752321070503e-09,1.8317595642333708e-10,3.05210143318849e-07
4300,2.5316762438341137e-06,9.591333869557679e-09,5.445099279142276e-07,6.236312820292693e-08,1.2920807936447353e-08,1.8437364600894106e-09,1.9954709855162865e-10,3.1521184428868365e-07
4400,2.634316468706755e-06,9.652263349121153e-09,5.602304460444392e-07,6.640362979597389e-08,1.3682626732656203e-08,2.012710566974961e-09,2.0819331599138386e-10,3.1897478294879934e-07
4500,2.6375623068048416e-06,1.0074750174095513e-08,5.71290361917716e-07,7.303724647817262e-08,1.3864014101303675e-08,2.2098592105743682e-09,2.2607000610919706e-10,3.2787220645923076e-07
4600,2.6963740720353455e-06,1.0782998701657762e-08,5.917859179824474e-07,7.488898345004328e-08,1.494962357251143e-08,2.340416491315391e-09,2.341611786159066e-10,3.394701236623861e-07
