miliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
0,-3.7692664123643885e-08,-1.0887763865278043e-10,-4.488025135623788e-09,5.343265275565699e-10,2.392953017034217e-10,-1.889125521177537e-11,-3.698822098836109e-13,-1.5843554791387162e-09
100,1.0769788748951763e-07,-1.119675007100615e-10,7.370937180865873e-09,-3.6557166854056927e-10,3.334916393483139e-11,3.024147798929934e-11,3.0814774858133433e-12,3.5226322490673114e-09
200,1.3265858859540276e-07,-2.992606924802101e-11,3.818991168272253e-09,-7.202224444255844e-10,2.4906124502569505e-10,2.2186229168702055e-11,-4.788988569954312e-13,1.5584016116060528e-08
300,2.389420459014509e-07,1.1072250754346679e-10,-5.385341606797567e-09,-4.247899560808302e-10,-1.2609178005093517e-10,-3.705838353995313e-11,1.495210889934673e-12,2.7259477436071493e-08
400,2.993631136848532e-07,1.5886633377650198e-11,1.2580129466723127e-08,6.238813435654907e-10,7.729647530237499e-12,-4.4177634989387306e-11,-2.5817131562252007e-12,2.8869363571441955e-08
500,3.669446649996428e-07,2.637875490513837e-10,6.902823544148812e-09,1.1702489964471214e-09,2.8186026523436574e-10,4.071987085235815e-11,3.168812130423332e-12,3.931934566716057e-08
600,4.3899194526854746e-07,3.1334681537773413e-10,7.371890177838819e-09,1.3216262930486597e-09,4.90666647425232e-10,3.310090601040129e-11,4.7657933124127384e-12,4.592480464099957e-08
700,4.544047273496467e-07,2.0754651059859792e-10,2.2251064041387835e-08,1.7571964616648195e-09,1.0322195551943003e-10,3.2585740063988266e-11,2.4112446605892067e-12,5.197134197687808e-08
800,5.679355212460436e-07,5.372739623954282e-10,1.9912988296726438e-08,1.7215765036553453e-09,5.497660356500828e-10,4.70131261409152e-11,-1.7036804450404134e-12,5.5331886860060154e-08
900,6.562440493987416e-07,5.378255501082872e-10,3.357161241431327e-08,1.3332412366309231e-09,7.321779902744945e-10,2.4625509733606557e-12,-1.1962806517563118e-12,6.853829366242191e-08
1000,6.836353214361062e-07,6.768278493807003e-10,3.831236464866265e-08,1.2625171690848036e-09,6.393882491053964e-10,2.133109824657403e-11,2.378572417015185e-14,7.840582783070181e-08
1100,7.460237309576343e-07,6.452867808851914e-10,3.646951672371811e-08,1.4665623500488178e-09,8.277198124965097e-10,3.377724950332271e-11,6.1621979391715565e-12,8.547821208077169e-08
1200,8.059027699947679e-07,8.269790560322478e-10,6.19576303873508e-08,1.5110755788263894e-09,1.10397636956938e-09,2.2380452344784884e-11,9.096217349886156e-12,8.99188249626144e-08
1300,8.689329708315582e-07,1.0534862012030739e-09,6.806469185762782e-08,1.7249118498053776e-09,1.3304046395683985e-09,5.894372303837083e-11,7.643556565189345e-12,9.842878679288015e-08
1400,9.57002627861196e-07,1.2942953281354715e-09,6.862606737512868e-08,2.7341843223777373e-09,1.2620408974989375e-09,-5.143042440228488e-12,1.0831868420882174e-11,1.0096498315090482e-07
1500,1.0525542487625733e-06,1.1396215302413174e-09,7.218235723843465e-08,1.8384679606837599e-09,1.5916442055357145e-09,1.4497514408241648e-11,8.054415562391846e-12,1.1519613570625387e-07
1600,1.1189524627746639e-06,1.2746891295245026e-09,9.98625686160521e-08,2.832902255516479e-09,1.9162584174805937e-09,3.342804714185344e-11,1.2500352843755472e-11,1.2230836763821663e-07
1700,1.1462456635378095e-06,1.645276807071732e-09,9.098182141794371e-08,3.8889666827001174e-09,1.7517980581639526e-09,8.361130651443937e-11,1.1656432358283899e-11,1.2714681101809802e-07
1800,1.228754037301128e-06,1.7553204118155997e-09,1.1814791218253109e-07,4.37266778585346e-09,2.2084865025777978e-09,6.732389485757162e-11,1.4307652548616249e-11,1.3320828144494328e-07
1900,1.3019759435745597e-06,1.9829016194017317e-09,1.2975788798752345e-07,5.935402672347325e-09,2.713269642886933e-09,1.1512306992466013e-10,2.2583957801254434e-11,1.416650227555697e-07
2000,1.2912840141424634e-06,2.280796315010933e-09,1.399695158346127e-07,6.58001354962961e-09,2.699627403226443e-09,9.635738104687641e-11,2.479252032592398e-11,1.4587246032602422e-07
2100,1.3775632547120128e-06,2.2824476086691595e-09,1.4888139040890297e-07,7.605141613555971e-09,3.1833913761675093e-09,1.237680100458378e-10,2.6141956430336543e-11,1.604542636557236e-07
2200,1.4659644640027686e-06,2.846355539950348e-09,1.5894833547643989e-07,9.954190657157511e-09,3.5055386061197297e-09,1.8887103800383265e-10,2.4507697656117926e-11,1.6288946572850566e-07
2300,1.5422572962645093e-06,2.8293276661519065e-09,1.8695658852832247e-07,1.0643281505268398e-08,3.654423792573397e-09,1.916140317302443e-10,3.2832468736112416e-11,1.7467246567394916e-07
2400,1.5186324360682015e-06,3.2878860330618812e-09,1.9024675856639809e-07,1.2331032408125367e-08,4.100187336838681e-09,2.0988064882136152e-10,3.6793133642164384e-11,1.8452333870682342e-07
2500,1.6307222286950454e-06,3.233087616057893e-09,1.9824135204531824e-07,1.5070478553531163e-08,4.15022761437375e-09,2.56047182252547e-10,4.5587765636974486e-11,1.9153624241678646e-07
2600,1.673240261628289e-06,3.740797878395722e-09,2.219362125182546e-07,1.5674870904708967e-08,4.563284415664402e-09,2.6869155509456037e-10,4.9226822952954893e-11,1.9444466844291586e-07
2700,1.721129656673284e-06,3.796285909408166e-09,2.3022124277759434e-07,1.8834679010394705e-08,5.075891450234908e-09,3.036992126144899e-10,5.3014903824535133e-11,2.0422075910363965e-07
2800,1.7813346481259524e-06,4.1686382234213e-09,2.491296100846377e-07,1.95896915139618e-08,5.217567369264567e-09,3.9138117401013205e-10,6.029765803649e-11,2.1369182921190765e-07
2900,1.878180091097955e-06,4.426193826998228e-09,2.706788076897154e-07,2.2350073471664664e-08,5.822267334024868e-09,4.52672042205175e-10,6.718696028431781e-11,2.1500397998947386e-07
3000,1.933341264005567e-06,4.860132233480001e-09,2.932238845449897e-07,2.285168566615383e-08,6.036595883650937e-09,4.869011067128053e-10,6.963413503644378e-11,2.2490802684371613e-07
3100,1.9368067724278984e-06,5.084222684257996e-09,3.123682231006407e-07,2.593573268617224e-08,6.646029626023047e-09,5.477539061006448e-10,8.147249187779952e-11,2.2800731453980302e-07
3200,2.027409460928494e-06,5.338755687701385e-09,3.2617974151610203e-07,2.701081129616714e-08,6.824215750497789e-09,6.136649665224795e-10,7.99985834386667e-11,2.3351236852451858e-07
3300,2.065439397275032e-06,5.707996761886429e-09,3.3043319207445977e-07,3.004794933637288e-08,7.64398771806925e-09,6.838163014309965e-10,9.339880699995586e-11,2.483989042185036e-07
3400,2.0832865015523782e-06,5.943362159306864e-09,3.520766736548902e-07,3.2685299520720715e-08,7.877532264756968e-09,7.374683524230286e-10,9.980155171660385e-11,2.5317845574721086e-07
3500,2.200718278644198e-06,6.451758777083017e-09,3.7045918757425463e-07,3.5400738556828583e-08,8.597949886474774e-09,8.461064100209409e-10,1.1029904989675146e-10,2.5363311309215045e-07
3600,2.2446063229805837e-06,6.783819505038751e-09,4.0333842891462874e-07,3.7946468017362896e-08,8.90064965584572e-09,9.67683094129301e-10,1.1387349077404014e-10,2.60568789571521e-07
3700,2.298795033531762e-06,6.956815261710243e-09,4.0521670974076377e-07,4.214987151561084e-08,9.440887542694827e-09,1.0196092928612108e-09,1.3070596013925456e-10,2.758811913965745e-07
3800,2.354079126977195e-06,7.3310938250170525e-09,4.4098386811766545e-07,4.439797350054775e-08,9.761244186417134e-09,1.1560353514811647e-09,1.3616418042175324e-10,2.8294895682956475e-07
3900,2.3284608559155984e-06,7.889099040989846e-09,4.4663156166758475e-07,4.974039124812216e-08,1.074210773357682e-08,1.2765011883661551e-09,1.4775260906015966e-10,2.898234699965274e-07
4000,2.442648598937178e-06,8.41468215947936e-09,4.797642635220642e-07,5.070309070207125e-08,1.1011951496450747e-08,1.4003591812605564e-09,1.6355716712617526e-10,2.9940680463903057e-07
4100,2.441507266076727e-06,8.508906464359408e-09,4.940596221496175e-07,5.6580699913105946e-08,1.1420138176527005e-08,1.5812409224067901e-09,1.7485588419565815e-10,3.0058612114578457e-07
4200,2.5209261819529755e-06,8.938924255989186e-09,5.165439303671806e-07,5.8444508204530134e-08,1.2428626949496931e-08,1.7054683949197402e-09,1.8202789972459522e-10,3.044522954353655e-07
4300,2.5814785656687997e-06,9.57903547472527e-09,5.279445341335032e-07,6.363559033574043e-08,1.305829835060921e-08,1.8494276073786731e-09,1.9494980277160786e-10,3.163260155901685e-07
4400,2.6101503639308744e-06,9.904361740371587e-09,5.511392303991245e-07,6.648178459457086e-08,1.3706803431050387e-08,2.026562257653414e-09,2.0897635703345196e-10,3.181670066856922e-07
4500,2.688776047940012e-06,1.0056357194128823e-08,5.774011379478214e-07,7.134523675487884e-08,1.3918312081125917e-08,2.166461471439471e-09,2.2562375922363694e-10,3.3036150239832846e-07
4600,2.7409123816994237e-06,1.0662093184864366e-08,6.065878515761405e-07,7.629062241512787e-08,1.4891546899853476e-08,2.3446364141579754e-09,2.3888682010936893e-10,3.4205757228154344e-07
4700,2.782620480434159e-06,1.102898713527755e-08,6.218557784552575e-07,7.980207835595532e-08,1.5480494915727593e-08,2.6083280845647366e-09,2.535646676749166e-10,3.4544845738208685e-07
4800,2.7848313605027016e-06,1.1358835709088751e-08,6.442097426005349e-07,8.549860378676152e-08,1.5846203002972183e-08,2.7832285206412918e-09,2.7292695040843533e-10,3.4645873447293027e-07
4900,2.8084510463190764e-06,1.2064470678990682e-08,6.605108734280329e-07,8.884002091331095e-08,1.7006666641605445e-08,3.0054329382584542e-09,2.8578669021164646e-10,3.579163112227232e-07
5000,2.878206031492957e-06,1.2403758727393192e-08,6.960160607360137e-07,9.519360181686153e-08,1.771005913764119e-08,3.228809136983751e-09,3.0333914893712523e-10,3.6504662655069036e-07
