milliseconds,R,L,E,V
0,96257747.16542633,1009386.2331813524,231.0432736979187,7114484.329751495
100,98332198.00018992,985140.0452180564,18541.988477025472,5184459.0609106915
200,96121789.16778854,922784.3128647971,20875.100000123803,4157068.022432969
300,97970731.5250664,928424.67514885,20520.303285224596,3212902.6975818453
400,98029760.62863864,889004.273137096,19737.204479154698,2850772.983783081
500,103928870.29613511,867438.545540747,18253.198218005247,2432309.5920748813
600,110643366.13643436,837320.9289046291,17599.027355460745,1990318.9777465437
700,105153648.01269282,817495.5403456702,17203.836379515305,1932812.5204540805
800,108563123.63128322,786916.9195196175,16490.899408115663,1642543.2897940194
900,113062824.24871545,775511.1692523252,15423.925157184367,1494289.6385419674
1000,109803078.17894208,719695.673659128,15113.92489396704,1576712.046313365
1100,111210865.4689861,725990.5244503728,14875.737019295144,1274310.5883143726
1200,122199176.90861842,684032.3197763903,14155.472368220488,1291651.2329825594
1300,122000792.90484004,652435.4417357004,13472.707756003627,1144184.5514072957
1400,120193813.47906722,624584.0064417709,13277.566077568625,1235965.9432051382
1500,126063860.43424179,629302.1554274326,13087.175865199388,1036818.9285348632
1600,130547871.64412567,610982.1093667131,12196.425047657545,1048484.0397136256
1700,129407822.64293972,588923.701956458,11847.044687605176,1045271.1722325262
1800,130877906.7898905,582608.0481322623,11821.505131992155,922788.0056963062
1900,137288236.06676003,565521.1367302884,11031.439936657307,1029666.4743119577
2000,139399224.7486296,509692.2279659945,11245.90794309655,1022296.2413247104
2100,145253414.63221735,519071.41668429115,10864.950716680074,1023545.7085556755
2200,150799740.55522564,516476.93597493647,10385.975578282842,1019868.8535702189
2300,150049485.17653537,481243.49338557484,10542.589141850929,813125.6218853759
2400,160146779.72658578,486189.2198026598,9725.851865286106,841704.4898202034
2500,158416925.50401965,452102.4516623688,9903.693364661332,879754.6112040528
2600,168088352.8540781,418506.53185050905,9366.712934302248,916083.3451280269
2700,165082941.41749662,416503.34014737635,9530.662833123077,841273.0368437407
2800,173070319.68981734,405569.3744510141,9219.66844054067,655770.6271462472
2900,172070051.74498445,394506.9929952987,8453.517774902577,648906.3032959517
3000,173022628.42558154,380235.99843036337,8641.570133283041,840949.6402063284
3100,186913973.26080507,393066.12838860066,7915.31375154278,716887.9934836848
3200,184519797.9158409,362153.8026575261,8346.186526268655,595753.1359227654
3300,192251598.92775586,358233.19967325113,7826.160361718022,739827.6733234399
3400,192179771.50191203,336143.4406784901,7273.829347037199,755871.8748881728
3500,202113322.91612527,352914.11203232076,7467.837673590729,722961.5109538916
3600,206613235.88482672,325757.95340335835,6949.2966241417635,608555.9263577297
3700,214538341.27127966,296025.9304289511,7378.276200833918,627970.3626390258
3800,208946715.37495866,321685.8201154441,7007.140538999305,644624.2694193643
3900,219292260.11144412,289118.06180189323,6229.846895850892,503931.61466342944
4000,228940425.5993971,271504.91858859645,6598.35348770992,440320.6455623508
4100,233822758.78867626,266699.3367183586,6377.510772453328,590203.8848419884
4200,234005480.72399163,265539.9599078633,5805.237164171113,479881.09549217514
4300,239294315.16213942,261476.19198501427,5577.303422821817,581482.5239126568
4400,247906736.52015376,249510.49905640425,5405.431907146259,470237.51857008354
4500,247105142.17597008,228583.44655211238,5319.264371894807,498838.6638626364
4600,259881904.68096867,243903.92147482192,5915.858517945853,449277.6440787688
4700,259260412.98856086,226953.92083808177,5058.1416622216575,582005.8881290883
4800,265877036.25492653,219274.4436340656,5049.480811274869,565811.1948939995
4900,276639777.0984992,194108.2162461942,4964.961524128862,375019.7984436376
5000,274524510.7736887,210176.7505649177,4835.247739512825,520510.1149659342
