milliseconds,R,L,E,V
0,103768948.9497614,981901.5444263798,317.7888256386609,6878730.303320088
100,95618801.52338314,958732.2519518395,19201.976305409105,5098053.17205395
200,98260046.42327106,926279.4162295758,21160.164101486404,4040151.523619835
300,103407255.30962452,931654.3644738091,20343.572412831567,3269910.873965384
400,97373344.85121001,886573.8317098034,19036.075000604706,2736629.359316063
500,103482033.87217847,863615.4360228365,18325.309617755247,2274081.088834613
600,109369104.69403423,814692.4036357201,17846.864002082293,2010922.9303162426
700,110781535.6614543,788071.7209832007,17232.000524048693,1749943.3418973598
800,106917788.5007073,779765.0858370836,16280.727070962808,1736556.998379553
900,105747904.44423962,753519.4444174324,15333.542777772074,1525154.0324352402
1000,108271619.56362358,736897.2706033703,15519.112243819372,1531983.3715091636
1100,117679405.34187315,697407.6261780114,15113.965532570663,1330311.9843279622
1200,118365939.30983491,663916.126252917,13816.124836736708,1398254.1672946946
1300,120913369.99893832,664679.0636521981,13709.036408773276,1146024.8564659376
1400,118560630.81350873,664540.5963256403,13410.43744078379,1208791.9160781854
1500,124967542.70919527,627197.4118500192,12913.574903924593,1258530.3320911059
1600,126628029.97149174,622512.5129813656,13034.351669209787,1036046.1836574489
1700,130491318.5456882,584051.2735214332,11951.659892274587,1014318.3742265814
1800,136773312.19184119,558420.5196199381,12158.335738943755,1016744.033545739
1900,135168181.72934553,561100.8165497276,11662.695332040306,948420.4784154079
2000,145736534.39989564,521970.3666029504,11189.719602866153,875041.9463247207
2100,142175317.91019478,520517.6982840501,11170.147198899871,924531.4722946499
2200,145460936.45799813,488415.40573181276,10414.049701220987,871983.1573236429
2300,146729886.4517068,500272.3219314574,10670.53624948599,953614.8491764766
2400,151655975.86656734,456665.0257011276,10217.177720880693,933455.982936381
2500,156227156.89530715,446541.7816337119,9409.003194067389,833983.619358884
2600,158815416.49116632,459535.2342424722,9461.730745752748,713489.0825986678
2700,167234813.1433114,413384.22352584597,8995.310808297905,774122.1989539111
2800,174252613.02747378,413187.05247310817,9022.09518126122,829283.2828039364
2900,174755230.07486257,409325.11807954736,9019.535486794855,738806.0814612085
3000,182706527.93013638,371972.21451155574,8276.749307584407,841415.387839351
3100,181367204.46219328,393698.99269412004,8625.259076901755,616613.4735557837
3200,183771914.6289549,359259.6080583996,8369.957499259885,723877.3761078175
3300,188494995.32428357,361432.2958158721,7372.255741647651,621475.0376028839
3400,197607758.4917434,340919.4362672939,8009.297781392803,557126.5077025152
3500,204904397.30788606,344579.0214243574,7656.978463036131,517628.0582993346
3600,201400806.7866575,326927.4405592693,7296.328148575869,712194.9718783873
3700,214188717.45607904,309160.9876989105,7425.764467920828,649045.7304977969
3800,209921849.39867356,285225.650798213,6923.958369941446,596815.5826811681
3900,218013519.02369577,308218.16208258265,6851.564855141115,469679.0863614896
4000,225381403.85413283,262693.0259321482,6381.757040194623,471988.8596795668
4100,227329713.43139714,276897.7147013237,6152.865443759165,481322.9218673929
4200,239021753.0067902,280044.6486408087,6212.537889299933,545747.8987779906
4300,243839728.63977036,260599.63909715018,5886.9017139395,493137.0138621948
4400,243007682.94337994,256169.9727619377,6251.030466691091,609561.7015573086
4500,252534561.48477378,220948.1554819583,5852.21847600135,568709.2392967474
4600,255803699.014421,245508.66936512906,5189.400426895609,373115.41532189946
4700,259625010.04960626,215852.55440101965,5695.587243839311,554302.9180233631
4800,266954717.74536237,200559.5444931839,5547.137719657722,520154.0596359463
4900,269550158.60451853,234120.41322847892,4918.353421188258,345508.85685023956
5000,277419795.311914,202398.82291090745,4695.210575747709,491568.1514900975
