milliseconds,R,L,E,V
0,103904111.5719741,1009910.3561663262,-166.83556648563683,6888546.849612337
100,97540223.45300077,981379.818831575,18657.63370460779,5043951.387955084
200,102323787.01360781,935337.0000344951,21156.183275656298,3969706.265019923
300,98551076.35095097,928818.4971794117,20099.699818183595,3332282.342863207
400,104559999.73936053,898966.514170549,19824.57554876658,2769644.4985958524
500,102295483.37983304,873908.4578528795,18194.93958900254,2271691.606461034
600,106979902.03178714,847980.7343521602,17605.160732924458,2052472.690217376
700,109090767.70666978,795875.5702625462,16843.66033807021,1840193.572532861
800,114166134.46536097,757055.2145799075,16144.19915969972,1755469.7345042839
900,109267138.62833533,739060.8426146087,15243.832295997847,1666320.1684711075
1000,111562212.79167582,753415.7881500906,15277.316830211501,1438767.419838398
1100,112646681.34369133,703712.0508897137,14974.867446777624,1304687.1184421824
1200,122491528.65820628,684722.1484714178,14192.781724692155,1323996.5306188315
1300,120580621.38018,672593.7418277888,13555.168283981604,1285908.6678901408
1400,123378266.56808981,662961.65130334,13293.306466781585,1255989.6269828398
1500,122975378.40397926,639390.8553691038,13096.832546077312,1154270.649832441
1600,128501628.72830744,611114.0648548373,12544.209117163202,1020841.765725791
1700,128434408.02542366,586884.5492056562,11797.703243740552,1039712.7377177922
1800,139379770.31451812,588308.6426577569,11453.001147864281,1058559.743247581
1900,136866575.93881062,539383.3127279975,11789.963959415583,1071831.6547849595
2000,146841936.49778426,519811.56987449876,11100.606108731601,883337.0344632814
2100,145143033.0921094,507055.9401214985,10874.687526778549,900053.5347932873
2200,151708766.27254543,517973.32489261264,10556.040234384967,938091.0083254267
2300,151091533.11809313,463764.214981175,10558.266751513891,969508.0408713622
2400,154607621.42099872,481963.1331964635,10144.437803530287,858485.6668237664
2500,156362087.30057004,470012.51087583054,9839.413923616525,870188.6649720059
2600,161545587.55013973,429482.5459144977,9681.148439311153,836530.7204254296
2700,170850892.81790242,448732.6070172988,8944.875220983326,756914.4271891563
2800,166071004.00687096,427339.0032345678,8716.088790517913,666331.4886889257
2900,178664953.1277719,376723.3212729786,8942.290508282827,712445.71173537
3000,180766208.11825344,375225.25790278293,8686.059420525275,743273.8797799045
3100,187836868.67006353,375420.507901857,8559.667773262463,763627.2898488514
3200,187930315.34481093,359264.76619137934,7627.211747742595,601291.0531673307
3300,194475924.64652336,363587.80155062006,8065.894774290678,787616.5577299887
3400,194767033.43025175,333624.0624838009,7338.261827528442,677134.6696868591
3500,199190711.8176892,349804.8762052467,7662.785478256281,595511.3619531699
3600,199391656.82005215,342856.90233184793,7481.92489735067,691777.3536407554
3700,207649431.61405736,296251.4855579234,7462.490493536459,496557.3868880151
3800,214109894.3068529,294569.24595480773,7175.501691500962,682965.3073465889
3900,216596348.5530261,300831.169161415,6959.5158983575075,560874.8713829913
4000,225404400.61381766,292231.5134732028,6089.651712189288,502162.3675921964
4100,227148386.08739245,253449.08839596517,6199.26786839904,609651.2474202662
4200,236358938.81407604,245522.22167686,6165.673205400017,454785.1349256391
4300,241890195.02421358,267498.71373033733,6025.909898542569,604197.1366416832
4400,245285080.5104191,234871.65372507114,6079.37614319783,391832.59148134245
4500,248627177.08614638,231733.24463092213,5607.496928390035,440608.6216758342
4600,259040800.13693717,244738.395549749,5655.34624363886,527196.5611296888
4700,259187266.7238441,238486.92246682395,5457.124224957021,387178.6147036908
4800,266655176.03096148,213739.71082544714,4917.235947894377,478350.45381526306
4900,277502620.65586716,200614.7860938973,5189.534563219924,342771.86979786307
5000,274693315.33537054,195706.89100771907,5285.080697809009,443998.9375899262
