milliseconds,R,L,E,V
0,98525081.11568685,1004785.9027507959,354.0848857221909,7001844.888343953
100,95576642.94957979,985837.5791353644,18715.06105618349,5049628.889536122
200,105366425.94901708,931557.8475740184,21235.55028300198,4037781.8636127533
300,102847680.57138158,910911.5924310221,20138.997054472333,3362963.7755946475
400,101517932.92001738,904830.2042816048,19344.58957602043,2767065.9647079576
500,98874641.3294493,878909.2376708471,18621.77787371363,2374872.8103104737
600,103920599.98217902,837205.8151479115,17507.044541195108,2155909.768430952
700,109777447.28324202,807766.3921957536,17137.67840642031,1892228.195572443
800,108379867.96476233,764713.2099434386,16238.4083766381,1717438.9214633447
900,111905543.34165215,739666.8388152132,15807.472631651384,1613595.545605451
1000,108420061.77678357,746458.0793347473,15183.477207448057,1557449.0414252705
1100,120355009.53520074,687812.8759399786,14923.763274377034,1253752.6584206424
1200,121953708.34641671,673994.9050910374,14643.452503818553,1268676.3893107816
1300,119314143.08084947,641714.8489399903,13440.194164383594,1170689.3675236166
1400,127395592.4335534,653114.1115247272,13008.774223566865,1135681.3729706837
1500,126895165.00632364,618740.095287543,13189.673132349477,1054680.4244962004
1600,125910702.04389355,625451.1233853041,12716.15893350592,1128174.1344799027
1700,135598400.68069914,597782.5487057869,11793.86998687966,1040378.43938795
1800,134929080.49271354,583525.4358069932,11726.855328298954,1042793.4638334867
1900,134291282.15604797,528884.4839416883,11416.766667423475,930199.7427462044
2000,141115023.38884827,524116.2212040303,11494.119461173568,981575.6528179926
2100,141669013.72424704,509934.9356723262,10763.766905405086,1000248.4360828224
2200,152628782.1597672,491686.3667403189,10938.334140775838,1032181.0619806934
2300,148335124.10793716,501492.64452447643,10173.738691409979,1001757.2116448755
2400,151253753.32439464,488905.78620704275,9961.499640275975,769013.7189819021
2500,161556155.2657818,443876.6851875419,9634.311067626242,797065.9047891832
2600,167025054.9654814,461281.7491163937,9105.273942215783,900035.9460988984
2700,167517757.96107033,430014.64912008506,9141.446362022933,792187.1300452938
2800,174290240.29972973,391231.4023863747,9218.124344717926,821864.3254602477
2900,178448865.09468094,382314.458699722,8742.036447433995,769781.1362650904
3000,179761399.8515604,385627.9908036462,8413.985324917152,708841.4432906995
3100,179756709.3334022,366619.17272867943,7992.44220609691,757761.5995571297
3200,187973085.17616418,371991.498061474,7644.761883858661,642287.9244525933
3300,186148270.65229055,341422.97283703845,7675.106482810014,705202.3983557818
3400,195051333.7778757,353179.05002453766,7894.283238927007,588741.3597893373
3500,205140989.1538568,316337.0610582378,7077.435669410082,674031.6804401369
3600,200977859.12515783,319699.21962267096,6814.160592540976,567974.4921008489
3700,213829356.74058226,308094.7356436978,7308.5134638500485,600150.7479655622
3800,214680762.34401482,306271.1414425564,6445.058759599504,543077.2528463919
3900,224107611.2389596,309175.45273541997,7096.645782608114,573843.0243007261
4000,218702763.31938466,281436.4234087014,6081.80537355823,578806.7573515254
4100,233515400.89153415,264862.31265811715,6123.4594045467375,611428.5852548243
4200,229205582.02703652,251400.56329952145,6417.2311369977315,512137.60997882584
4300,241997278.0636392,237305.7246709198,6003.477987972054,633142.7391573128
4400,240411157.32101,242277.30310983612,5976.997573050335,446342.17412174644
4500,246032113.2204979,232140.63713728625,5256.6733631014595,606340.612853192
4600,253862485.92932254,240341.63390492744,5968.159489865608,547893.6582575131
4700,261925694.86903927,227009.55202377998,5454.290880754152,501444.40804640204
4800,269541630.24478245,203380.5299074985,5747.424279572441,467207.1916641737
4900,274779656.39813536,206206.81389940946,5415.1861416690435,534663.8092380641
5000,274482979.03483945,212823.8244519187,5212.483218912338,408364.72785263235
