milliseconds,R,L,E,V
0,101961830.09694754,993662.7036602045,-76.25718582016393,7051677.743377359
100,97647555.51222089,989436.6931237042,18873.43688904472,5095211.954717148
200,105874664.7234693,921093.0997982613,21456.79452067219,4001048.90013475
300,96237168.53445591,897123.2960967012,20415.711798281416,3229600.779979148
400,100111016.24618042,883520.8596794324,19493.15876983405,2830117.1979673374
500,106932876.0592709,839668.1599462087,18171.94412865546,2334223.6287153075
600,107814682.05032551,847819.8017799406,17687.392931773506,2117209.891682789
700,108728744.77363405,791425.1999031132,17000.708038249748,1956254.4017575204
800,107274713.50764975,796310.7471982989,16252.63103308483,1771814.8796991936
900,112981118.36603871,777086.8167244322,15920.474557843003,1449310.687232155
1000,114662778.63075626,752838.1929860531,14800.19535849104,1474616.7597118127
1100,119641996.6537771,707589.5456222771,14330.76917284017,1440803.1823802441
1200,117259953.60801099,697377.4745388954,14482.756143867671,1373172.0405453278
1300,117636736.62549181,654280.9188265267,13895.414334771333,1174767.016527119
1400,122826720.190742,647453.2609176214,13427.12532006622,1118539.4653904578
1500,122293131.33101338,608878.8584051409,12481.639504498704,1062363.5158844942
1600,132727819.7503411,615951.909625624,12982.769437888703,991823.0568710206
1700,133868234.11066918,582211.0993328323,12351.802306363268,1146274.571129181
1800,136090563.9826867,560169.107004137,11495.31921439444,1136393.2132374872
1900,133970735.59886311,553995.8661715542,11466.931890233182,1007502.9361748708
2000,138514509.73862365,509714.38841366925,11190.948673404242,996171.12719482
2100,142246652.60085836,536487.2539505556,11060.213957838909,1052126.0108393463
2200,152969583.5683767,492186.3039415388,10366.27112702868,822253.5968128456
2300,147792024.6335248,465382.52980208007,10524.682481674226,938332.9060257316
2400,151567951.6444075,462330.90768204746,9845.824321514425,910666.1405985476
2500,153537658.24529406,468263.8725431957,9317.60657869298,732135.9388827975
2600,164502853.37778494,439184.6390547578,9550.344488041503,843079.2181959129
2700,161228575.62910807,432973.99019870616,9433.46227427196,843375.0338545565
2800,165254338.3987289,420639.2695422869,8822.703634368547,790958.7296460014
2900,178275360.76779857,380927.8686134019,8848.89002673601,791401.3006209561
3000,181319651.5480742,366601.2927067418,8588.442329121204,711061.4963020438
3100,179266721.76074183,385323.03121106495,7812.130557409149,650754.5843790463
3200,185670880.9282338,374896.1963381672,7832.382617265806,667704.2889440329
3300,194675335.49383447,335330.00577212224,7410.104304261611,605990.3435974135
3400,190088509.219363,339850.80664681946,7939.700211828808,773223.7603888641
3500,203750598.64566326,341582.9874501217,6950.028921990405,702602.4247819227
3600,207914021.34730726,318347.37357792957,6850.521959331479,518649.46362912946
3700,209949015.06059536,330813.662310074,7403.317060568165,504529.4331518498
3800,214261667.45494756,286671.5906580385,6706.285590107492,645033.3084733615
3900,214296460.21808317,305702.2527993285,6361.264052171245,662427.803476842
4000,220382744.52707076,270725.6797585721,6108.455298243784,585223.9926708997
4100,230118871.87276784,265237.3176375651,6569.008530986128,606256.9205446491
4200,233532796.8859882,284007.07649634243,5689.585441396973,553796.8004653406
4300,240429799.94838905,261177.26388031212,6053.781875752831,392704.18405119254
4400,245222702.37906462,269193.21342393756,5566.849671347904,547642.9375175459
4500,248885498.50166094,243592.25573924868,5854.446279950457,505428.14682518033
4600,250768985.49419534,219283.6191413569,5343.904565692187,528773.5741284197
4700,256537300.8008103,216250.83900279956,5361.312395358639,576319.5531469937
4800,265475438.38457397,199847.40188907436,5299.088744318462,570794.6863380698
4900,268685822.9920469,236227.63140551883,4963.487858826778,391959.80748971575
5000,283420836.13998985,197499.33327072053,5489.030216062594,552713.7420058707
