miliseconds,cLc,cLm,cLn,cP7c,cP7m,cP7n,cP9c,cP9m,cP9n,cPn,cTc,cTm,cTn,cXc,cXm,cXn,cYc,cYm,cYn
0,6.77308724540623,0.855279463579116,6.829053097722618,19.965806576671667,4.292251353840524,2.1070176622414305,6.046301122562737,1.0996886211623451,3.7438671093401292,0.007328397132688237,0.17174175468825084,0.3737780517636894,7.987809575784696,13.058301480197464,8.463084109242645,31.919614875170794,7.0237762202698235,0.193920675163537,1.0681886619294845
100,6.83693710979317,0.8457191237474703,6.841720871087584,20.22895705815484,4.31637298062583,2.1515574274873197,6.07327512991102,1.1214371094902251,3.7700960263428267,0.05127469033361943,0.16555025462096853,0.35768379653459326,7.88252428434274,13.143235350278204,8.530531076781912,32.19195230126024,6.963042792663597,0.19006774835855997,1.0602289098027236
200,6.859446347801871,0.849055557277107,6.900125443062185,20.79706777923565,4.366762432808445,2.167814641405414,6.06249694275102,1.1342369940148285,3.8159444447565427,0.08132829296976193,0.16078032237446058,0.3523689564706106,7.736154634179281,13.244543165464599,8.53616040531558,32.39790676061651,6.802002333394399,0.18724585038700214,1.0359040807782307
300,6.9131796524973,0.8521816817963696,6.957111718535952,20.9692854965118,4.41200429836195,2.1775900432657664,6.134047001333388,1.15532997219268,3.817860697067719,0.13695973146582158,0.15785561081158758,0.34392096009504497,7.654230470966224,13.344939691897117,8.50057557127789,32.58736405006156,6.743691790769613,0.18270102932872365,1.028166543442382
400,6.954854017437954,0.843888849922384,7.016834460187605,21.365177698732875,4.43917955072427,2.2235378796479437,6.147620003765664,1.1688996779491019,3.8511660607894416,0.17696359640737278,0.15463041670781247,0.33411316914634315,7.520722691332559,13.415160592549833,8.519475775363683,32.84754778276933,6.637974212185327,0.18032277560828186,1.0013835829386717
500,7.017786553426034,0.8397125638866708,7.0278073066421465,21.49020853931921,4.486200151518143,2.2532283633580157,6.217340440674013,1.1885918748652917,3.9010881568270857,0.19186094113801966,0.1535480827220507,0.3249247797237985,7.428064512870073,13.509368168811267,8.484356877541146,33.05306467379384,6.538335435870237,0.1765792798904668,0.994727694037749
600,7.052801452374313,0.8293660913974816,7.095727514922526,22.240862629263003,4.534752553335516,2.2764723920060574,6.22722946173231,1.2086620993130064,3.9211799192529355,0.24199063248052008,0.14950800471788267,0.3163700550742323,7.255063885109768,13.6229411831344,8.517837849249474,33.26252669373641,6.4803884689829045,0.17405107095729183,0.9691907939594806
700,7.0689401388405075,0.8356600875683399,7.097432049246239,22.286803635214604,4.558187540711758,2.3296203286341575,6.324503009339947,1.2240190805932072,3.9219038079354505,0.2705496859685691,0.14569050710289658,0.3035318903281567,7.184730278154185,13.679145709842036,8.5040967956315,33.52962098270087,6.349469936367887,0.16958393079969614,0.9504823510932675
800,7.088711504091318,0.8319467419394189,7.142778069854302,22.478550575546308,4.603664209985935,2.37945363395539,6.326288492443876,1.2411387291743787,3.9653880576508174,0.2892914610031014,0.1450775797477466,0.2989363698483392,7.0919599078693425,13.79545503113389,8.513863205294621,33.701558429553394,6.192025432225792,0.16753880372310764,0.9389601076189517
900,7.1074923178983305,0.8205751402507665,7.184446592942819,23.22006959511934,4.633569918564436,2.4215813062933558,6.415039482962586,1.2597043861003299,3.9958587583523992,0.3253437370455529,0.14184157425081306,0.29247955166157924,7.038428841455342,13.85283263245258,8.458436679744148,33.9876504210033,6.128090965983393,0.16374838343692372,0.9182614296034542
1000,7.164106018024283,0.8179937880554005,7.202876646473663,23.260419755753485,4.676696671825283,2.458512852816078,6.446751141675684,1.2723048641745611,4.018908501716478,0.33303741651773844,0.13841072314439457,0.27705742115921017,6.791752469215361,13.927894151787841,8.44877771529062,34.09420747370604,6.079345777668818,0.16059583048782752,0.9193117224446601
1100,7.184320734072117,0.8108538712322468,7.2173100641651295,23.74404119614686,4.698902881175726,2.50250219835492,6.51148018344049,1.2844445708608687,4.03692090249774,0.3628549217667043,0.13651679541505907,0.27580554746020636,6.723933156078193,13.999290026221574,8.502822964910356,34.3970051644544,5.946209824374966,0.15873213478393386,0.891694089218847
1200,7.1751405288157954,0.8094211965451964,7.236307194611787,24.02955542040017,4.731437473009755,2.5178937503958787,6.554144779322641,1.306509255654493,4.064142293979562,0.37511710100458584,0.13265307490270284,0.2656342636165033,6.651227301466081,14.106478483690045,8.457073335619944,34.49814912046695,5.873159013833885,0.1556204347384662,0.8824248635536496
1300,7.195519362983615,0.7910438432180971,7.289090632967785,24.532563290125147,4.770302906470285,2.5306824669106773,6.5649495146749555,1.3174968469052368,4.129543733646805,0.40142988889295655,0.13089964835203752,0.25856375602800646,6.524936050096839,14.17061272386703,8.459137861861667,34.725626428000076,5.706747512965065,0.15447964883079046,0.8703187579257039
