milliseconds,Bone,HSC,Ob_m,Ob_p,Ob_p_Tgfb_A,Ob_pro,Ocl_m,Ocl_p,Ocl_p_RANKL,Ocy_A,Ocy_I,Ocy_I_PTH,MSC,LOAD,MCSF,Ob_m_PTH,Ob_p_PTH,OPG,OPG_RANKL,PTH,RANKL,Sost,Tgfb_A,Tgfb_I,Wnt_A,Wnt_I,X,newbone,Bax,Bax_Bcl2,Bcl2,CREB,CREB_P,CREB_Runx2,Runx2
0,2000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,100.0,0.0,5.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,5.0,500.0,0.0,200.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,10.0
100,2000.0,100.0,7.799324706828582e-18,3.8517066293279096e-12,7.79996512480166e-17,3.112755255762596e-07,1.0157749225013704e-20,5.4455957428600705e-06,5.081806517308497e-15,0.004261590647653068,1798.9325440001885,1.0631926096998816,100.0,0.0,5.000049999750078,1.993912606997131e-21,1.7336655760401485e-17,1.5602852379969468e-19,6.640607468185665e-29,168.9049171228143,2.799475903721959e-05,0.1349329497831132,4.999975000062499,500.0,0.5991008121426423,199.40089918785728,0.0011569999999999996,4.133097133810863e-25,100.0,1.8855642076192648e-57,1.9519878735468825e-55,100.0,3.988922151129016e-48,4.0007035864376225e-51,10.000399998000004
200,2000.0,100.0,2.4623053101239747e-16,6.154008603328696e-11,2.462693815673913e-15,2.483885064787406e-06,1.6259711290929286e-19,1.0891293842112912e-05,4.064728556077075e-14,0.016975922171272848,1797.8698115301966,2.1132089497767526,100.0,0.0,5.000099999001249,1.21782580034252e-19,5.459227656742433e-16,4.927178017012386e-18,7.957304848052457e-27,167.82322819043992,5.597963357325909e-05,0.26973207117340003,4.999950000249997,500.0,1.19640579684067,198.8035942031592,0.002313999999999999,2.5322041176012154e-23,100.0,7.201101389912015e-53,4.1324827114676195e-51,100.0,2.5904465922377734e-44,4.716256073221536e-47,10.00079999200005
300,2000.0,100.0,1.8654318401589007e-15,3.1090995627024845e-10,1.8658684141611346e-14,8.360505231854049e-06,8.231136311040158e-19,1.6337094267150573e-05,1.3716274935205713e-13,0.03803804229841136,1796.8117899219524,3.1501666405322446,100.0,0.0,5.000149997756303,1.377574692909848e-18,4.124987169425582e-15,3.733768256960204e-17,1.3558545269540374e-25,166.7548129159221,8.395551271125094e-05,0.40439777140047567,4.999925000562479,500.0,1.7919172140240076,198.20808278597585,0.0034710000000000058,2.873512819478942e-22,100.0,3.0143036083127235e-50,1.2986037376171123e-48,100.0,4.420853464769463e-42,1.1010890470523247e-44,10.001199982000177
400,2000.0,100.0,7.846478786081531e-15,9.803750775917444e-10,7.84890154086575e-14,1.9761034829198512e-05,2.6009981088243646e-18,2.1782996987389427e-05,3.250820956541113e-13,0.06734392502486532,1795.7584659638048,4.17418291962529,100.0,0.0,5.000199996019861,7.694311905324052e-18,1.7305127552502474e-14,1.570918300964968e-16,1.0080288999037397e-24,165.69955141862562,0.00011192327637328537,0.5389304566059315,4.999900000999914,500.0,2.3856352648664974,197.61436473513334,0.004628000000000005,1.6100048170112516e-21,100.0,2.037331176008599e-48,7.355619077295948e-47,100.0,1.703438924905137e-40,5.188307674421863e-43,10.001599968000424
500,2000.0,100.0,2.3907296972524707e-14,2.3878255312319174e-09,2.3916457697791706e-13,3.8479115992124504e-05,6.3493188964555595e-18,2.7229001972271284e-05,6.348404150079266e-13,0.10479049708046133,1794.7098259045363,5.185374611694648,100.0,0.0,5.000249993798349,2.9290783721916316e-17,5.258558885043311e-14,4.787636985173161e-16,4.8344513480467375e-24,164.65732425528157,0.00013988379511336045,0.6733305317024638,4.9998750015622475,500.0,2.9775581147658805,197.02244188523395,0.005785000000000007,6.1489885159618605e-21,100.0,1.3519164627417917e-46,3.284407409636437e-45,100.0,3.6664506989344316e-39,1.6027354269481141e-41,10.001999950000831
600,2000.0,100.0,5.939730054708706e-14,4.939109281172431e-09,5.942442125274614e-13,6.627969080013215e-05,1.3164479769942009e-17,3.267510919126613e-05,1.0968622363100976e-12,0.15027561201409034,1793.6658554545281,6.18385815274374,100.0,0.0,5.0002999910999755,8.731217495542543e-17,1.3029594813291196e-13,1.1897877359659864e-15,1.7403546401192508e-23,163.62801239494019,0.00016783793038262898,0.8075984004098122,4.999850002249382,500.0,3.567681925052063,196.43231807494774,0.0069420000000000115,1.8389413078421534e-20,100.0,2.349320222171328e-45,4.866785909435684e-44,100.0,3.8139086276596286e-38,2.007389225630597e-40,10.002399928001438
700,2000.0,100.0,1.2809517818490726e-13,9.126658908476595e-09,1.2816278969220905e-12,0.00010489648082123674,2.438617373486108e-17,3.8121318613873894e-05,1.7415627354394911e-12,0.20369804911567405,1792.626539788688,7.169749588376121,100.0,0.0,5.0003499879347,2.1912745220257352e-16,2.802435327532234e-13,2.566526380088635e-15,5.095957951491287e-23,162.61149722070508,0.00019578653457597603,0.9417344652121146,4.999825003061183,500.0,4.156000878312676,195.84399912168712,0.008099000000000018,4.6298019725113856e-20,100.0,2.2694765980935756e-44,4.198367175599424e-43,100.0,2.6015525180153694e-37,1.5456134847422874e-39,10.002799902002286
800,2000.0,100.0,2.4909452779302117e-13,1.5527847506395884e-08,2.4924326979979495e-12,0.00015602915577816296,4.1597413035349216e-17,4.3567630209626134e-05,2.599347524045382e-12,0.26495751770779896,1791.591863550492,8.143164565802909,100.0,0.0,5.000399984314197,4.853349112734223e-16,5.435117526897205e-13,4.992130826002858e-15,1.2904457071700954e-22,161.60766053783126,0.00022373045103574874,1.0757391272913546,4.9998000039974535,500.0,4.742507206274132,195.25749279372565,0.009256000000000018,1.0286714344698381e-19,100.0,1.6311297602943544e-43,2.752232475441744e-42,100.0,1.4194958461311581e-36,9.261852050876471e-39,10.003199872003412
900,2000.0,100.0,4.4765148901437986e-13,2.4803208175621228e-08,4.479490836599985e-12,0.00022134083589828713,6.662444850623764e-17,4.901404394808802e-05,3.700614638228231e-12,0.3339546533630623,1790.561810855871,9.104218333649735,100.0,0.0,5.000449980251826,9.777221734247336e-16,9.741498802943842e-13,8.973662002154373e-15,2.929122847439288e-22,160.61638457381858,0.00025167051411943947,1.2096127864893362,4.999775005057944,500.0,5.327191218543772,194.672808781456,0.010413000000000016,2.0788720915280648e-19,100.0,9.323831547817296e-43,1.455047724204197e-41,100.0,6.363891559963783e-36,4.5282354053803783e-38,10.003599838004858
