milliseconds,R,O,I1,S,A,I2
0,1.0,0.0,0.0,0.0,0.0,0.0
100,0.23067604407147071,0.004564979377495849,0.01521499419388578,2.145472898654862e-05,0.6764908624070839,0.07303164810577147
200,0.05400814659658866,0.0011733282813313733,0.017515179622438308,6.430722020103459e-06,0.7375188199603919,0.18977807770192864
300,0.013340470925844254,0.0003787812927656488,0.01694259075342958,1.8892691888429328e-06,0.6754241548423514,0.2939120958011193
400,0.003919197865695056,0.00018411643847506326,0.015796372142640056,7.520961321044479e-07,0.6024484362258961,0.37765110811586056
500,0.0016836304634731511,0.00012983838499841679,0.014597926824332209,4.5575182885274666e-07,0.5403948622633883,0.4431932691966781
600,0.0011063335980904033,0.00010983007540320095,0.01346085012140718,3.6197765599686226e-07,0.4912033826715123,0.4941192244406299
700,0.0009166642090165763,9.926859923984863e-05,0.01240553526475997,3.2022907689278944e-07,0.4529530555418576,0.533625139040748
800,0.0008218546870242231,9.210414556717333e-05,0.011431398389948355,2.946163586864932e-07,0.42337708546397723,0.5642772455818232
900,0.0007539041388034167,8.667754167388665e-05,0.010533437221718803,2.7596986064294245e-07,0.40054649687255256,0.5880791911400897
1000,0.0006965562181580694,8.239868255424188e-05,0.00970600666618272,2.6146957972873196e-07,0.3829318060352816,0.6065829538129427
1100,0.0006455483973193444,7.897008996740944e-05,0.008943659107185475,2.4991534091426644e-07,0.3693436030957678,0.6209879522791181
1200,0.0005994527123127585,7.619773314491379e-05,0.008241312511797624,2.4060263677880296e-07,0.3588621503853,0.6322206289395069
1300,0.0005575624152801649,7.393946855426305e-05,0.007594265310512674,2.330370337595879e-07,0.35077747428330064,0.6409965083700174
1400,0.0005193860243703837,7.208665890955561e-05,0.00699817785351639,2.268458173764037e-07,0.34454169773427945,0.6478684077678056
1500,0.0004845308698291147,7.055522872509239e-05,0.006449047269489836,2.2174206710629147e-07,0.33973204839294385,0.6532635793816438
1600,0.00045266591639762856,6.927984559472477e-05,0.005943182585185221,2.175034004943702e-07,0.3360226912599027,0.657511945774218
1700,0.00042349589611194585,6.820930164493505e-05,0.00547718119445368,2.1395531128726014e-07,0.33316198349306314,0.6608688990441138
1800,0.00039676789077552796,6.73036222131085e-05,0.005047906517249915,2.109619959664727e-07,0.330955813053576,0.6635319808388883
1900,0.000372258028036151,6.653145096213304e-05,0.004652467710606702,2.0841701651611458e-07,0.32925457765295046,0.6656539396251269
2000,0.0003497652362312211,6.586805360164698e-05,0.0042882006779352555,2.0623639548946818e-07,0.32794282785919415,0.6673531148213411
2100,0.0003291115363722894,6.529391284674347e-05,0.003952650391347871,2.0435402420704115e-07,0.32693147875366907,0.6687212439364387
2200,0.00031013700892905285,6.479354888363234e-05,0.0036435546805908626,2.0271752722386653e-07,0.32615183262177355,0.6698294623069945
2300,0.0002926975267950029,6.435462669867451e-05,0.003358829199589261,2.0128522534008536e-07,0.32555089106394375,0.6707330091824469
2400,0.0002766632922014276,6.396728440083859e-05,0.0030965535679164566,2.0002387224923235e-07,0.32508780156679895,0.6714747971495091
2500,0.00026191671240621936,6.362358337457719e-05,0.0028549584997338835,1.9890675681435178e-07,0.32473104694282906,0.6720882382395984
2600,0.0002483509629617013,6.331708112163586e-05,0.002632413865737001,1.9791224693226238e-07,0.32445623897141396,0.6725994640912177
2700,0.0002358687916515368,6.304252668748111e-05,0.00242741787707542,1.9702274983459217e-07,0.324244563200658,0.6730288934658769
2800,0.0002243815695831637,6.279562348853188e-05,0.0022385871012656254,1.9622390683490704e-07,0.3240815695937934,0.6733924527726616
2900,0.00021380843623029333,6.257282574958974e-05,0.0020646471235422578,1.955039026167267e-07,0.3239561387760749,0.6737026202191995
3000,0.00020407546572881805,6.237117557576172e-05,0.0019044239130089299,1.948529082657464e-07,0.32385967038898833,0.673969247088489
3100,0.00019511495272847148,6.218818568395243e-05,0.0017568359279166558,1.9426267993827764e-07,0.3237855108411962,0.6742001387144939
3200,0.00018686485206779888,6.202175296255416e-05,0.0016208868698420957,1.937262660536781e-07,0.32372853493918513,0.6744014807443756
3300,0.00017926828500514154,6.187008678391342e-05,0.001495658983375078,1.9323776523977165e-07,0.32368480193362115,0.6745781903581487
3400,0.00017227306862629038,6.173165158324474e-05,0.0013803069775787818,1.9279213081089515e-07,0.3236512879176593,0.6747341904771208
3500,0.00016583127138696777,6.160511455236695e-05,0.0012740521071445982,1.923849931077085e-07,0.32362564369670854,0.6748726583099136
3600,0.00015989888473902288,6.148932174766468e-05,0.0011761773590021533,1.9201257874778042e-07,0.32360609727792805,0.6749961280287036
3700,0.00015443538230348582,6.138323909179396e-05,0.0010860213825370718,1.9167151144338172e-07,0.3235911743994018,0.6751067768098535
3800,0.0001494035401691026,6.128596638095903e-05,0.0010029753860596338,1.913588593791056e-07,0.3235797945974316,0.6752063320357985
3900,0.00014476914417693013,6.119670799781591e-05,0.0009264788038919752,1.910720368324714e-07,0.32357114018089767,0.675296206975698
4000,0.00014050067320972167,6.111474697680747e-05,0.0008560146869129209,1.908087165753491e-07,0.32356454622944325,0.6753776157394401
4100,0.00013656918674368322,6.103945382667207e-05,0.0007911075505180186,1.9056686042585752e-07,0.32355956100085975,0.6754515151258909
4200,0.00013294804122418772,6.097025840495363e-05,0.0007313193336673877,1.9034462422616385e-07,0.3235558203837096,0.6755187345230691
4300,0.00012961269489133713,6.09066446577003e-05,0.000676246245088073,1.901403405451309e-07,0.323553039254273,0.6755799879054487
4400,0.00012654056185219627,6.0848143719262413e-05,0.0006255164973750216,1.8995249557462578e-07,0.3235509886470365,0.6756358990822208
4500,0.00012371085327201022,6.07943310502403e-05,0.000578787678853596,1.8977971997710612e-07,0.3235494965425239,0.6756870036992797
4600,0.00012110439918020037,6.074481687463166e-05,0.0005357439995861214,1.8962075685242097e-07,0.32354841371592774,0.6757337863323739
