miliseconds,P,I,M,T,U
0,1.0050416167234877,1.0079710570048257,0.8139861654979997,0.9724940304164699,0.5790787677900069
100,1.011604844222986,0.9281930447884642,1.131454605561708,1.417989352729761,1.7115236333218262
200,1.041686303193325,0.8433394764737303,1.4685982474467345,1.7971912734026487,0.9971661796425881
300,1.0727900424447476,0.7793217727255787,1.6805092461563278,2.175866210346559,1.6611174465697016
400,1.0906613086027606,0.7268316995437311,1.903811062355211,2.585248579526477,1.5159649591703666
500,1.1211620847587596,0.6606940270640104,2.082637137391887,3.0579723680702875,2.2047966765831766
600,1.1647694081518076,0.5944301890513575,2.6638130789315753,3.479154871855459,1.7994547869163011
700,1.1822334246757955,0.5360796898908446,2.7542230512112273,3.8661560021984958,2.677062988610292
800,1.1993387640626367,0.47832574402726546,2.943940916615005,4.185333135805094,2.605431442185347
900,1.230112345444498,0.40419573372367373,3.412288564114062,4.492387727172463,3.5955419446065777
1000,1.2566150679280974,0.3541517881941724,3.687045262650883,4.750451384305633,4.145818748962892
1100,1.3170125448810377,0.30003762534471085,3.7288742952570133,4.9692127495737095,3.856957856205566
1200,1.3449243080629838,0.25679216361908663,4.078355675046149,5.488816438767905,4.721129214146781
1300,1.358316436426625,0.21332244162642353,4.1647706997424585,5.5217594978722735,5.167326316527261
1400,1.4058844422652885,0.17834859013374182,4.821650565779866,5.959288427291953,6.6333437360481735
1500,1.430836245475847,0.15369022700712626,4.802191436919675,6.103564333027905,6.37397212429132
1600,1.4431924326670202,0.11622752766975232,5.313576788152823,6.537867048630551,7.07736680117935
1700,1.4645467812961135,0.1012520297055581,5.639405084881163,6.672227561082864,8.306307778669085
1800,1.498285883055938,0.06126428941739776,5.848100568791747,6.830589175576279,8.623365424907092
1900,1.5456605950674303,0.051885816077925306,6.287497586884959,7.165134765923733,9.228834824605636
2000,1.55497024326235,0.046061342236847935,6.616761009200694,7.460295868012777,10.983520503066227
2100,1.578130817590677,0.04624227262440116,6.68144149113362,7.421290205831145,11.051986343383467
2200,1.6265547082639418,0.03848503724103402,6.991711370653988,7.647853104219568,12.227496534349477
2300,1.6637778953991746,0.014962127834345761,7.382694522514525,7.8297773398718835,13.735112848687365
2400,1.6837870380029494,0.016649009276447645,7.464668641736443,8.013282352101266,14.0552698775505
2500,1.723241814407611,0.0076510086770019805,7.946807609453559,8.400410063232524,14.73352488535865
2600,1.7358575770125,0.02530234645273953,8.3440491687198,8.463837809419037,15.334068334057985
2700,1.7510513084420314,0.020503445202313723,8.49771283612211,8.736799557126986,16.881934529420914
2800,1.7678263346867746,0.015415208849731802,8.779460007277246,8.808622984656951,18.029995144315404
2900,1.8013229987373522,-0.004759259141240214,9.14085143818674,8.853205732414269,18.682255278757193
3000,1.820675257153967,0.004689747854017529,9.673225230077714,9.016360777158882,19.43219064886863
3100,1.8421725708533112,0.012156505562299153,10.139310436506127,9.031815315060213,20.98496144503058
3200,1.8680979370451964,0.012896455852431474,10.233935804761229,9.219712103902218,21.586506284019926
3300,1.8900835863017338,0.0015098064543069565,10.626067649420756,9.54248421947372,22.503814395860196
3400,1.9244079028080165,-0.0017266186555094957,11.322709447570933,9.426553333950165,23.636023597054784
3500,1.9634979505474726,0.014447325927381464,11.635338911819165,9.55995264762651,25.81262144342561
3600,1.979578388536051,0.0180860176235033,11.868457824042697,9.652851934782898,26.90284123711119
3700,1.9944516153701093,-0.001833489109864848,12.26362484677709,9.744387833195546,27.12301256546643
3800,2.0269565180436664,0.01802688475056994,12.521434293509046,9.960068934073183,29.087876168198903
3900,2.026891883887979,0.01067685760515549,12.851887385429395,10.068250416297898,30.29937917011459
4000,2.0553396644203565,-0.0027955134268231275,12.997026103260707,10.275298197914038,31.522890838785703
4100,2.0711289408679785,-0.0015371225710553889,13.398376290387429,10.37992102354919,31.64293809078675
4200,2.070099268324513,0.015516783430813814,14.067177921129352,10.35367719096397,33.44332712089748
4300,2.088662352101604,0.0110847699995138,14.146803085870628,10.305009059832887,34.730277216300145
4400,2.1137065181012233,0.009411373771101503,14.581743778005784,10.435938106904327,35.074836708956795
4500,2.145277787416645,0.007775818761520475,15.225904847230066,10.506950571722216,36.188839691518886
4600,2.140367908855215,0.016838421536680828,15.404052114482752,10.566111546987617,37.34690547701732
4700,2.1823843960993026,-0.007295460833418472,15.590870189775064,10.673172785871474,38.5716273452733
4800,2.169654740992762,-0.010743300893771943,16.143713962093667,10.831675701216698,40.013386068218495
4900,2.184702576417231,0.011532187091352201,16.679527093100834,10.91339477285725,40.9579631486332
5000,2.216456198585512,-0.008732053534466976,16.994327106134097,10.824438143391198,42.17334828215188
