milliseconds,T_Tumour_Cells,N_Natural_Killer_Cells,L_CD8_T_Cells,C_Lymphocytes,M_Chemotherapy_Drug,I_IL_2
0,10000000.0,250000000.0,526800.0,2250000000.0,0.0,1073.0
100,10435659.049158828,250005976.5627195,234621.91545136564,2250000000.0,0.0,748.9092016746217
200,10890084.927862031,250009465.85149455,178506.58411997557,2250000000.0,0.0,425.630747779151
300,11364067.123714216,250011281.22352645,161137.82708440654,2250000000.0,0.0,248.40913533184602
400,11858426.638976462,250012223.01424718,156267.26278717176,2250000000.0,0.0,160.02442287063303
500,12374017.112650052,250012733.53391027,156584.27784414595,2250000000.0,0.0,117.25451797804473
600,12911725.954558656,250013035.0671913,159311.69868475286,2250000000.0,0.0,96.9879774286964
700,13472475.503835682,250013236.77160272,163209.63749521135,2250000000.0,0.0,87.75379176250388
800,14057224.210833952,250013392.21544963,167671.18922126578,2250000000.0,0.0,83.96727513533428
900,14666967.841289135,250013527.9173476,172381.83173680567,2250000000.0,0.0,82.91023796185293
1000,15302740.701340778,250013657.1814304,177172.0926455939,2250000000.0,0.0,83.2485590324907
1100,15965616.881752376,250013786.78763995,181948.14881068145,2250000000.0,0.0,84.31851383687287
1200,16656711.519509107,250013920.2396237,186657.3456171454,2250000000.0,0.0,85.78481408299731
1300,17377182.07455068,250014059.36878282,191270.3479679168,2250000000.0,0.0,87.47479162075537
1400,18128229.619068272,250014205.1364464,195771.6069298683,2250000000.0,0.0,89.29730146064252
1500,18911100.13684215,250014358.03272927,200154.2157262457,2250000000.0,0.0,91.20366061440369
1600,19727085.82922697,250014518.28915462,204416.8838944528,2250000000.0,0.0,93.16735362274
1700,20577526.4239729,250014685.9958276,208562.0802582909,2250000000.0,0.0,95.17337853300184
1800,21463810.483589116,250014861.1573005,212594.92144024148,2250000000.0,0.0,97.21368282121743
1900,22387376.708570022,250015043.72539765,216522.35608049956,2250000000.0,0.0,99.28472918094201
2000,23349715.229907006,250015233.62744877,220352.48207722697,2250000000.0,0.0,101.38529541682617
2100,24352368.88666466,250015430.7795886,224094.04126148706,2250000000.0,0.0,103.51576445936306
2200,25396934.48128856,250015635.09363374,227756.0266986682,2250000000.0,0.0,105.67795001375927
2300,26485064.00624679,250015846.4854192,231347.3429306374,2250000000.0,0.0,107.87460857260513
2400,27618465.835850984,250016064.8806731,234876.517421664,2250000000.0,0.0,110.10914287779471
2500,28798905.881092604,250016290.21852726,238351.46371256746,2250000000.0,0.0,112.38549498467859
2600,30028208.688239057,250016522.45374933,241779.36204056433,2250000000.0,0.0,114.70798178773093
2700,31308258.472782098,250016761.55831456,245166.50886998905,2250000000.0,0.0,117.08124792534339
2800,32641000.08341622,250017007.52255356,248518.29187048684,2250000000.0,0.0,119.51007982902927
2900,34028439.88805607,250017260.35553086,251839.19463064507,2250000000.0,0.0,121.99925449838481
3000,35472646.566771984,250017520.0844566,255132.8293928997,2250000000.0,0.0,124.55347177515878
3100,36975751.80408843,250017786.75352898,258401.98649487417,2250000000.0,0.0,127.17733737413802
3200,38539950.8533256,250018060.42245248,261648.7124907486,2250000000.0,0.0,129.8753478309861
3300,40167502.87782054,250018341.16495514,264874.43378480524,2250000000.0,0.0,132.65181336938963
3400,41860731.453056455,250018629.0673351,268080.045235449,2250000000.0,0.0,135.51082505614553
3500,43622024.181050636,250018924.22608244,271266.05951239023,2250000000.0,0.0,138.45628146463537
3600,45453833.82555704,250019226.74713567,274432.6161494629,2250000000.0,0.0,141.4918654386546
3700,47358676.26145974,250019536.7428577,277579.67428856477,2250000000.0,0.0,144.62115335350407
3800,49339132.18575948,250019854.33167496,280707.01065261784,2250000000.0,0.0,147.8475364519722
3900,51397844.00183168,250020179.63610953,283814.33642581495,2250000000.0,0.0,151.17435880329333
4000,53537516.956453525,250020512.7817634,286901.34954053233,2250000000.0,0.0,154.60484579316272
4100,55760916.250668615,250020853.8968308,289967.7641236107,2250000000.0,0.0,158.14216441817717
4200,58070866.38378035,250021203.11092663,293013.3426136328,2250000000.0,0.0,161.7894345896872
4300,60470249.3452226,250021560.55456832,296037.9264367311,2250000000.0,0.0,165.54974473037674
4400,62962001.096736476,250021926.3592519,299041.3519438795,2250000000.0,0.0,169.42621430605547
4500,65549111.49230817,250022300.65601987,302023.5668427076,2250000000.0,0.0,173.42197852634763
4600,68234617.89697401,250022683.57674357,304984.4821491409,2250000000.0,0.0,177.5402068482796
4700,71021605.27228357,250023075.2525241,307924.07795686845,2250000000.0,0.0,181.78410813222752
4800,73913198.87260032,250023475.81462076,310842.3590852013,2250000000.0,0.0,186.156830710955
4900,76912562.74801567,250023885.39325467,313739.36948945146,2250000000.0,0.0,190.66154392673707
5000,80022892.7820104,250024304.11763278,316615.21430392633,2250000000.0,0.0,195.30133300636038
