milliseconds,Susceptible,Exposed,Infectious,Asymptomatic,Hospitalized,Recovered,Deceased,Cumulative_Cases
0,9902523.336195143,37276.373931554284,739.5028616087372,2313.6113564222205,-48.056645241196044,-2352.410271817758,0.7348957373372821,60.408524432585864
100,9901090.699917788,35991.07310992423,745.0839684195782,3181.536441456127,28.105311907114068,1792.1347494176925,-0.6709969348073699,-11.7707103484111
200,9896075.02231289,34738.800418354454,764.7787275141479,3956.9938775537353,40.71519040753196,403.34775724896315,0.7267666434567677,242.56259936832828
300,9898546.334918374,34217.693096368435,808.0547267241569,5012.3747276513595,128.4397865128822,321.25120941678415,-0.4918012405509653,271.4031910599409
400,9893843.90025646,33887.66907914627,804.2552060855371,5557.5347372720025,176.91475538514183,784.0202943691329,1.493232086571045,271.4791230834244
500,9893032.163433222,34258.68312662225,825.2825430544768,6084.7791531656785,192.76820149952616,2191.9338625589926,2.281462138299034,540.4363790888004
600,9893624.958241347,34237.395872176705,852.3515878592843,6257.795882736004,264.2668385280654,4265.629715303629,3.31623338535758,521.6345635623395
700,9891196.719875159,34063.38726676939,870.8448377868616,6484.438942609444,289.3071397183154,8160.2350900702395,3.197582355891859,604.3796195935412
800,9888956.934119722,34653.477631024616,876.6389147661888,6802.000553474937,358.2315448802558,9170.228052472597,4.154750083937547,513.552930588985
900,9890780.014457028,35086.0006178469,898.765196558117,7530.920979407348,329.7257954844593,8677.248516562853,2.6911539259408688,874.9614495369498
1000,9885622.346766075,35689.47929945908,901.4515233033311,7739.095809821323,425.6603340607914,8826.426843681375,4.72463375848786,793.7115940245059
1100,9887626.377188575,34935.783675786064,906.9758899389669,7802.943741314835,438.84381796942006,9487.578084362665,5.994248736786474,918.1108149888801
1200,9880559.554009706,36135.13848750634,931.781762014854,8061.0940122942475,423.11354209019845,9600.932946772995,5.7125052804645335,1120.6978509492387
