miliseconds,FeIII,FeII,FeII_O2,FeIII_star,FeII_star,FeII_star_O2,FeIII_NO,FeII_NO,FeIII_t
0,1.0029979201230836,8.560209834457939e-05,-0.0003192288147251148,0.003735538896967783,-6.340286659858436e-05,-0.0002288289722151725,-0.0012812914411649546,-0.002520025507623363,1.000069137847878
100,0.7732407955162108,0.016289267850582316,0.07759841771342611,0.12578469521450886,0.0023208908512138836,0.00593162896222056,0.003921494022053484,-0.007977207561993459,0.8901870312132488
200,0.604761463949437,0.012656883639123205,0.06689440653364358,0.2661967822017293,0.005207762332863331,0.020466434113778516,0.02796171377186426,0.011192831894202988,0.8557731261305923
300,0.4805696095713277,0.010210394123595597,0.053448282622641695,0.33650170728979223,0.006907125996778601,0.030972986041969703,0.05979025708780546,0.022516459062035313,0.8204454301019323
400,0.40451395461039513,0.00857960846626878,0.04460869055156388,0.3733439752128916,0.00769321473236392,0.03566101439739574,0.09042876451432397,0.038936493759731204,0.7875647276399398
500,0.3642645712569163,0.0074821888722508174,0.03788342945242201,0.3796945737944607,0.007828261065142589,0.03780432409220296,0.10938243093126927,0.06841027673408887,0.7360762917451897
600,0.3213675244294857,0.006908023203513836,0.034742658057074986,0.3763270375027122,0.0077454438988873355,0.037419798532804846,0.1197455161557378,0.08781581534756026,0.7114891840629065
700,0.3050685640514777,0.006444101058072886,0.03159326057298223,0.3634274060639356,0.007480941528435108,0.03731650724410636,0.12546580012407876,0.10966752872504588,0.6690450296865248
800,0.3032686374990939,0.006103527322077289,0.02975004747260956,0.3541157588169834,0.007332693981713646,0.035861361824941214,0.12561614590285033,0.1398144403246523,0.6551432744211965
900,0.28532344567436346,0.005842618339716642,0.029429937522904983,0.34153838162949485,0.0070350046802925585,0.03457680286374848,0.12206695586768751,0.1803500580987137,0.61627536671641
1000,0.27094230993885426,0.005682532948289832,0.028467701271980554,0.32547111594924205,0.006678201935691849,0.03292893047344755,0.11748676512037431,0.21538769927757695,0.6028049388584236
1100,0.2741294703732269,0.005622006129530844,0.026618813872443334,0.3161825432619364,0.006517551889092187,0.03217166468994409,0.11503840844135985,0.24100671337159474,0.5796391215638182
1200,0.25789589723007017,0.005421994879488154,0.02608589760733214,0.30096410337535917,0.0063678758137133504,0.030927789412650238,0.11214867662919384,0.26166320636048407,0.5595114421389631
1300,0.2599671134518191,0.005280911902315786,0.024931937274789158,0.2909867323824371,0.006014944204945795,0.029475087714668825,0.10712347837789975,0.2849493853688966,0.5522434673362542
1400,0.24243198706774077,0.005017939450002887,0.024234641703320205,0.28299689596553507,0.00593739798847046,0.029167145552033612,0.10289077681199113,0.30117230464546774,0.5308424068322138
1500,0.24571882531082154,0.004964426311593084,0.024799969281240695,0.27631689847274704,0.005755528635563274,0.02808506156152906,0.09869214163014949,0.31464034071503355,0.5158415419354576
1600,0.23353367766157668,0.004787202916445257,0.023480505301288295,0.26776954103206946,0.005579259453733099,0.026698659626375933,0.09715267147741541,0.33866023055991806,0.5004205727399756
1700,0.22250857474116223,0.004783873533335994,0.023443974532263573,0.257032011961308,0.005312361737251571,0.025872005712456167,0.0929920741732277,0.35738871285751006,0.48617070496308973
1800,0.22515063351109627,0.0045598061994421395,0.021941376333526046,0.25236028747915756,0.005126363307847336,0.025324978500124433,0.09017520692832011,0.3699810705730154,0.4692872223225458
1900,0.21178030280201227,0.004387836122992328,0.021397578525039627,0.24218044203247974,0.005111873018940606,0.025197265871299553,0.089583234851762,0.38710643135693523,0.4588892646335377
2000,0.21054227285476804,0.004345317947095773,0.021692645407155556,0.23949814817809098,0.004992709348463085,0.024503508589718694,0.08702236686255638,0.40192308223732603,0.44513150213596175
2100,0.20472475047261537,0.004156574257931857,0.02123145605431806,0.2292919790020141,0.0047808902728978695,0.02375453141419754,0.08462033681841863,0.42087291102788993,0.43628773865250287
2200,0.2077530277983709,0.004163066667691512,0.020554103128467737,0.22904168124864804,0.0046103714015031105,0.022597634648018606,0.08094743866071998,0.42953577370560614,0.43388520995528446
2300,0.19429941792305477,0.004131068976703644,0.020704424742587706,0.2187064072865678,0.0046017820703942065,0.022055861130960717,0.0783870148828163,0.44706153197832466,0.42076739757064596
2400,0.19661409891622295,0.00405843802439697,0.019385011928768906,0.21777450050800315,0.004492169647163394,0.022112462157492158,0.07602949532356447,0.4554792050139709,0.4141703903393803
2500,0.19021061478517293,0.003837541282512574,0.01908241142634527,0.20877225703235527,0.00443984070769871,0.021293568355998268,0.07633041256216964,0.4785369262847291,0.40592827915271507
2600,0.1899496392523118,0.003813376127591291,0.018932221040767604,0.21023178612683058,0.004333566248470504,0.0208477954191369,0.07430059076308311,0.48252341777200064,0.3928020107088531
2700,0.18428628162355512,0.0037405470257684463,0.01829654387418604,0.20491695147592068,0.004123677041822189,0.020811320627905094,0.07326445059130446,0.48896567510010686,0.3920841752182362
2800,0.17549312126856922,0.003743761335295957,0.018155626418883738,0.19708498401906427,0.004145259484825324,0.019615790449778226,0.06935759151520773,0.5120482561050882,0.38658934317650295
2900,0.18497050932787323,0.003583380206018916,0.017587030383711715,0.1919369064006868,0.004023965797000839,0.01965166693742735,0.06958200028753118,0.5083485241925657,0.37500322836030486
3000,0.17187963311435905,0.003708776331348144,0.017108100636949522,0.19444167075035526,0.003912099184547787,0.019137334665971097,0.06866644152138604,0.5196514371521577,0.35957201487776536
3100,0.17938947273312167,0.0036711413199146193,0.017569870550384108,0.18703237815217058,0.003796001776356667,0.018871262311617485,0.06647696876587003,0.5226214608300055,0.35263208161722204
3200,0.1679555834753652,0.003599621179670198,0.01707727444713601,0.1847992143998549,0.003818543162269863,0.018530925867563205,0.06491762444272162,0.5424207804979851,0.35246876447419534
3300,0.16142496237400764,0.0035178553906446996,0.016877085057411832,0.1813351695348829,0.0036929559156540868,0.01787439581230624,0.06528036066672027,0.5427202722253776,0.34975396221882815
3400,0.15994984773893628,0.0034435290185210335,0.01686565476991158,0.17779720763754783,0.0037339307615465315,0.018080180373886864,0.06170587705706896,0.5539114230320193,0.3532855928628328
3500,0.16717958294474483,0.0032954693197212014,0.016167303785571796,0.17848937362831352,0.0036228711704615556,0.017981652493480854,0.062109267028136954,0.5603822448504112,0.33825010696044233
3600,0.16859770059426016,0.0032749896698987735,0.01622921116296064,0.17579234422659565,0.0035699826832845246,0.017305180964965656,0.06000524542417451,0.5610762601312919,0.33998160037908925
3700,0.16573974156824078,0.0032594962229708455,0.01609945848396961,0.16805940139541417,0.003610411355263037,0.017052179937097494,0.059026330075020145,0.5670964757976446,0.3269713527081484
3800,0.16395294776469493,0.0033221651338317744,0.016428702567938307,0.16640297445145422,0.0035659819301729094,0.017141371272484985,0.059978836962820796,0.5712345563993856,0.3295400544953564
3900,0.1581258338690617,0.0031589176664327577,0.015437739353978335,0.168166949429005,0.0034491376949985046,0.01711054234529394,0.05755575595204637,0.5858051088995007,0.31752484194569863
4000,0.16483794691422915,0.0032164168631736417,0.015993207638689486,0.1644215192790554,0.003370744306114262,0.01663110332496471,0.05777064929117369,0.5909956591351171,0.32859688055082953
4100,0.1575183733020988,0.0032380670433487693,0.015542393298469003,0.16476568639174982,0.003381180890893693,0.01670759675209629,0.05659865283485888,0.5943619111296153,0.3182103473543497
4200,0.15595063664160816,0.0032712055465472117,0.015186945667403643,0.16059929000819523,0.003279813334019924,0.016217919911440733,0.057600779094448724,0.5854182270159927,0.31935007722843967
4300,0.159787365542405,0.0032651648966165905,0.015184887478717903,0.15640490166226367,0.0033053051805056943,0.015996408942548862,0.05604659618809222,0.5969163452898703,0.31928246548070754
4400,0.15185611660451478,0.0032581868241246975,0.014751848217089988,0.1571729170679403,0.0032216161708400314,0.015648220680956282,0.05493488769245206,0.5970990171301144,0.3065975849164242
4500,0.15328101232613733,0.003245093679241176,0.014821635519948534,0.15669839941193592,0.0033083292022787424,0.01558609831154132,0.05500873856673549,0.6017301779119638,0.306042377592834
4600,0.14506075599852772,0.002991630870539444,0.01566831111783754,0.15927557846392906,0.003282872009176386,0.015808424627882563,0.05359511717585254,0.6086309353756935,0.30056007129455764
4700,0.15104483527200377,0.0031749247680023587,0.014342390853705068,0.15265473288697726,0.003235523328906889,0.015180855713733222,0.05355417032236269,0.6160362731796619,0.30322469395505003
4800,0.14819268087151982,0.0029707613434528405,0.014974837939219972,0.14968507124110064,0.003108413621150413,0.015319962387735338,0.05235637563503707,0.6012189270732786,0.306778595777461
4900,0.14661604624258054,0.0030283614887177,0.014767316156942701,0.15018157322020642,0.0031435587201349416,0.014998682768605442,0.05151762933367981,0.6194562032794512,0.3060322893967266
5000,0.1487269619428428,0.003052063283425416,0.014513870985023618,0.15051033311428572,0.0030647860484935494,0.015052987379715539,0.0522812712944575,0.6074620279920849,0.3038620832534777
